date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2024-12-05,5550.0,0.0,0.0,6650.0,6650.0,6650.0,1100.0,459400.0,3055010000.0,1891.0,119.8,0.0,0.0,6650.0,433438600.0,7786891760.0,7786891760.0,778689200.0,3000.0,0.0,,4913500.0,30282545600.0,74.0
2024-12-06,6650.0,0.0,0.0,7975.0,7975.0,7975.0,1325.0,446600.0,3561635000.0,1652.0,143.7,0.0,0.0,7975.0,228535700.0,7786891760.0,7786891760.0,778689200.0,2000.0,55000.0,,4995100.0,34909034500.0,35.0
2024-12-09,7975.0,9550.0,9550.0,9550.0,9550.0,9550.0,1575.0,43658100.0,416934855000.0,14582.0,172.1,0.0,0.0,9550.0,72552300.0,7786891760.0,7786891760.0,778689200.0,4926900.0,700000.0,,5527560351.0,32951804289280.0,132.0
2024-12-10,9550.0,10500.0,10475.0,11375.0,9600.0,10275.0,725.0,228636600.0,2386633100000.0,140177.0,185.1,10275.0,176500.0,10250.0,310200.0,7786891760.0,7786891760.0,778689200.0,13376200.0,4198100.0,,145358698.0,870437021101.0,278.0
2024-12-11,10275.0,10275.0,10250.0,10450.0,9575.0,9600.0,-675.0,100219900.0,990807535000.0,75058.0,173.0,9600.0,99100.0,9575.0,418700.0,7786891760.0,7786891760.0,778689200.0,15285800.0,2991900.0,,146283657.0,872251406799.0,452.0
2024-12-12,9600.0,9525.0,9500.0,9775.0,9025.0,9200.0,-400.0,71848600.0,670746390000.0,46540.0,165.8,9225.0,184100.0,9200.0,2100.0,7786891760.0,7786891760.0,778689200.0,10577700.0,1448600.0,,1241085.0,11507635190.0,551.0
2024-12-13,9200.0,9225.0,9225.0,9525.0,9150.0,9200.0,0.0,34171200.0,318038532500.0,21506.0,165.8,9200.0,946000.0,9175.0,326800.0,7786891760.0,7786891760.0,778689200.0,2690500.0,515800.0,,2105.0,16352915.0,45.0
2024-12-16,9200.0,9200.0,9200.0,9375.0,8825.0,9250.0,50.0,36485400.0,333452900000.0,21208.0,166.7,9250.0,272800.0,9225.0,1091900.0,7786891760.0,7786891760.0,778689200.0,1603900.0,353900.0,,347271.0,3360960533.0,58.0
2024-12-17,9250.0,9400.0,9400.0,9400.0,8875.0,8925.0,-325.0,28673300.0,260294792500.0,17676.0,160.8,8925.0,86300.0,8900.0,581500.0,7786891760.0,7786891760.0,778689200.0,4215700.0,1952300.0,,1031885.0,9635752026.0,49.0
2024-12-18,8925.0,9000.0,9000.0,9125.0,8575.0,8650.0,-275.0,31870800.0,279337470000.0,20380.0,155.9,8675.0,130400.0,8650.0,254300.0,7786891760.0,7786891760.0,778689200.0,3687600.0,2188400.0,,1262352.0,5657737482.0,38.0
2024-12-19,8650.0,8500.0,8500.0,8525.0,8200.0,8350.0,-300.0,29111500.0,242983900000.0,19297.0,150.5,8350.0,258200.0,8325.0,99400.0,7786891760.0,7786891760.0,778689200.0,392600.0,1372000.0,,2396670.0,19172933500.0,28.0
2024-12-20,8350.0,8350.0,8350.0,8450.0,8025.0,8075.0,-275.0,23208900.0,189954770000.0,13275.0,145.5,8100.0,22100.0,8075.0,25000.0,7786891760.0,7786891760.0,778689200.0,3322300.0,1258800.0,,1879.0,14942338.0,40.0
2024-12-23,8075.0,8150.0,8150.0,8175.0,7600.0,7600.0,-475.0,46265000.0,358735145000.0,23563.0,136.9,7625.0,51500.0,7600.0,411100.0,7786891760.0,7786891760.0,778689200.0,11172500.0,2986500.0,,4071636.0,33196341784.0,37.0
2024-12-24,7600.0,7600.0,7625.0,8050.0,7225.0,7725.0,125.0,54599400.0,421886145000.0,25905.0,139.2,7750.0,171800.0,7725.0,500100.0,7786891760.0,7786891760.0,778689200.0,9941700.0,3525900.0,,167590.0,1403007800.0,32.0
2024-12-27,7725.0,7750.0,7775.0,8175.0,7550.0,8175.0,450.0,25098400.0,199631557500.0,14001.0,147.3,8200.0,374200.0,8175.0,138400.0,7786891760.0,7786891760.0,778689200.0,429600.0,3159300.0,,28634618.0,190743061800.0,38.0
2024-12-30,8175.0,8250.0,8250.0,8650.0,8200.0,8475.0,300.0,31693100.0,268921922500.0,19687.0,152.7,8475.0,18000.0,8450.0,114000.0,7786891760.0,7786891760.0,778689200.0,1426700.0,2588900.0,,1390228.0,11958005191.0,48.0
2025-01-02,8475.0,8600.0,8575.0,8700.0,8200.0,8225.0,-250.0,21152800.0,177538190000.0,14241.0,148.2,8250.0,27400.0,8225.0,42300.0,7786891760.0,7786891760.0,778689176.0,1301500.0,779500.0,,489398.0,4058484425.0,82.0
2025-01-03,8225.0,8225.0,8225.0,8275.0,7800.0,7850.0,-375.0,22675900.0,181199885000.0,15720.0,141.4,7875.0,46700.0,7850.0,19800.0,7786891760.0,7786891760.0,778689176.0,1757900.0,1195800.0,,2015.0,14737185.0,40.0
2025-01-06,7850.0,7875.0,7900.0,7925.0,7650.0,7675.0,-175.0,13110900.0,101746620000.0,9127.0,138.3,7700.0,97100.0,7675.0,164400.0,7786891760.0,7786891760.0,778689176.0,920500.0,1488000.0,,3634.0,27666130.0,30.0
2025-01-07,7675.0,7675.0,7675.0,8075.0,7650.0,7875.0,200.0,19520000.0,153781790000.0,10080.0,141.9,7875.0,81200.0,7850.0,67100.0,7786891760.0,7786891760.0,778689176.0,1213000.0,1770700.0,,98978.0,778152824.0,22.0
2025-01-08,7875.0,7875.0,7875.0,7950.0,7725.0,7800.0,-75.0,10791400.0,84231987500.0,6303.0,140.5,7825.0,28000.0,7775.0,195100.0,7786891760.0,7786891760.0,778689176.0,901500.0,277900.0,,886.0,6429200.0,21.0
2025-01-09,7800.0,7800.0,7800.0,7825.0,7650.0,7700.0,-100.0,7906700.0,60930137500.0,5798.0,138.7,7700.0,436800.0,7675.0,130600.0,7786891760.0,7786891760.0,778689176.0,1293600.0,338000.0,,531.0,3593056.0,10.0
