date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2023-09-11,100.0,0.0,0.0,107.0,92.0,95.0,-5.0,280433800.0,27943059700.0,26033.0,95.0,95.0,201600.0,94.0,1252400.0,1006000000.0,400000000.0,0.0,3765800.0,1902200.0,,144580100.0,14728010000.0,6.0
2023-09-12,95.0,0.0,0.0,95.0,86.0,86.0,-9.0,62041100.0,5430642500.0,5656.0,86.0,86.0,66114600.0,0.0,0.0,1006000000.0,400000000.0,0.0,1388600.0,1000000.0,,0.0,0.0,0.0
2023-09-13,86.0,0.0,0.0,94.0,78.0,78.0,-8.0,53215200.0,4264726300.0,5536.0,78.0,78.0,2298700.0,0.0,0.0,1006000000.0,400000000.0,0.0,117200.0,0.0,,0.0,0.0,0.0
2023-09-14,78.0,0.0,0.0,81.0,71.0,73.0,-5.0,106880100.0,8051829200.0,6957.0,73.0,73.0,500000.0,72.0,1519300.0,1006000000.0,400000000.0,0.0,32400.0,0.0,,0.0,0.0,0.0
2023-09-15,73.0,0.0,0.0,76.0,66.0,68.0,-5.0,44884000.0,3129144500.0,2263.0,68.0,69.0,6157100.0,68.0,155900.0,1006000000.0,400000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2023-09-18,68.0,0.0,0.0,70.0,62.0,64.0,-4.0,22746700.0,1458951800.0,1631.0,64.0,64.0,12300.0,63.0,716200.0,1006000000.0,400000000.0,0.0,0.0,38200.0,,0.0,0.0,0.0
2023-09-19,64.0,0.0,0.0,69.0,59.0,61.0,-3.0,35355200.0,2273712300.0,1696.0,61.0,62.0,93823100.0,61.0,1069400.0,1006000000.0,400000000.0,0.0,0.0,2400.0,,1200000.0,90000000.0,1.0
2023-09-20,61.0,0.0,0.0,64.0,56.0,60.0,-1.0,9711700.0,594398800.0,1312.0,60.0,61.0,12101200.0,60.0,584800.0,1006000000.0,400000000.0,0.0,1156200.0,0.0,,0.0,0.0,0.0
2023-09-21,60.0,0.0,0.0,66.0,60.0,66.0,6.0,11820100.0,773732000.0,833.0,66.0,0.0,0.0,66.0,7141800.0,1006000000.0,400000000.0,0.0,2200.0,0.0,,0.0,0.0,0.0
2023-09-22,66.0,0.0,0.0,72.0,70.0,72.0,6.0,10040200.0,721794300.0,558.0,72.0,0.0,0.0,72.0,7681400.0,1006000000.0,400000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2023-09-25,72.0,0.0,0.0,79.0,65.0,65.0,-7.0,140619500.0,9539170900.0,2587.0,65.0,66.0,4427200.0,65.0,359000.0,1006000000.0,400000000.0,0.0,0.0,22000.0,,0.0,0.0,0.0
2023-09-26,65.0,0.0,0.0,68.0,62.0,62.0,-3.0,7097300.0,463606900.0,734.0,62.0,63.0,5824400.0,62.0,876500.0,1006000000.0,400000000.0,0.0,95500.0,0.0,,0.0,0.0,0.0
2023-09-27,62.0,0.0,0.0,64.0,57.0,59.0,-3.0,24530900.0,1449607500.0,659.0,59.0,60.0,7888000.0,59.0,1548800.0,1006000000.0,400000000.0,0.0,13600.0,10500.0,,0.0,0.0,0.0
2023-09-29,59.0,0.0,0.0,64.0,59.0,64.0,5.0,9327800.0,594610700.0,491.0,64.0,64.0,21727800.0,63.0,25000.0,1006000000.0,400000000.0,0.0,5000.0,15000.0,,0.0,0.0,0.0
2023-10-02,64.0,0.0,0.0,66.0,60.0,63.0,-1.0,5761500.0,359729600.0,484.0,63.0,64.0,5086200.0,63.0,960200.0,1006000000.0,400000000.0,0.0,5000.0,0.0,,300.0,19200.0,1.0
2023-10-03,63.0,0.0,0.0,65.0,63.0,65.0,2.0,4640800.0,299116500.0,413.0,65.0,66.0,5020800.0,65.0,200.0,1006000000.0,400000000.0,0.0,5000.0,0.0,,0.0,0.0,0.0
2023-10-04,65.0,0.0,0.0,71.0,65.0,70.0,5.0,16053500.0,1116441000.0,1041.0,70.0,70.0,17032800.0,69.0,373100.0,1006000000.0,400000000.0,0.0,500.0,0.0,,0.0,0.0,0.0
2023-10-05,70.0,0.0,0.0,73.0,66.0,68.0,-2.0,6196400.0,423090100.0,466.0,68.0,69.0,5871300.0,68.0,602000.0,1006000000.0,400000000.0,0.0,10000.0,0.0,,0.0,0.0,0.0
2023-10-06,68.0,0.0,0.0,70.0,63.0,63.0,-5.0,6560300.0,442396300.0,424.0,63.0,66.0,5774100.0,63.0,949900.0,1006000000.0,400000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2023-10-09,63.0,0.0,0.0,68.0,60.0,62.0,-1.0,6387700.0,394021800.0,466.0,62.0,63.0,5462100.0,62.0,216400.0,1006000000.0,400000000.0,0.0,5000.0,0.0,,0.0,0.0,0.0
2023-10-10,62.0,0.0,0.0,63.0,59.0,59.0,-3.0,4657600.0,280067900.0,467.0,59.0,60.0,72000.0,59.0,1488300.0,1006000000.0,400000000.0,0.0,5000.0,0.0,,0.0,0.0,0.0
2023-10-11,59.0,0.0,0.0,60.0,57.0,57.0,-2.0,8177400.0,470568700.0,511.0,57.0,58.0,5951900.0,57.0,504200.0,1006000000.0,400000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2023-10-12,57.0,0.0,0.0,57.0,55.0,55.0,-2.0,4503300.0,251372100.0,418.0,55.0,56.0,5834700.0,55.0,1934200.0,1006000000.0,400000000.0,0.0,5000.0,0.0,,0.0,0.0,0.0
2023-10-13,55.0,0.0,0.0,56.0,50.0,53.0,-2.0,3657300.0,197658600.0,351.0,53.0,54.0,5846300.0,53.0,3476500.0,1006000000.0,400000000.0,0.0,19000.0,0.0,,0.0,0.0,0.0
2023-10-16,53.0,0.0,0.0,56.0,51.0,53.0,0.0,9720400.0,520481100.0,736.0,53.0,54.0,1025500.0,53.0,695300.0,1006000000.0,400000000.0,0.0,1500.0,0.0,,0.0,0.0,0.0
2023-10-17,53.0,0.0,0.0,57.0,53.0,54.0,1.0,2037800.0,111033800.0,376.0,54.0,55.0,100.0,54.0,118300.0,1006000000.0,400000000.0,0.0,1000.0,0.0,,0.0,0.0,0.0
2023-10-18,54.0,0.0,0.0,59.0,54.0,59.0,5.0,3810300.0,218744200.0,404.0,59.0,0.0,0.0,59.0,3904400.0,1006000000.0,400000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2023-10-19,59.0,0.0,0.0,64.0,58.0,62.0,3.0,14049500.0,879447900.0,825.0,62.0,63.0,4371900.0,62.0,300800.0,1006000000.0,400000000.0,0.0,1000.0,0.0,,0.0,0.0,0.0
2023-10-20,62.0,0.0,0.0,63.0,59.0,60.0,-2.0,5221700.0,319989400.0,457.0,60.0,62.0,20500.0,60.0,231700.0,1006000000.0,400000000.0,0.0,2000.0,0.0,,0.0,0.0,0.0
2023-10-23,60.0,0.0,0.0,60.0,58.0,58.0,-2.0,1631200.0,95867400.0,301.0,58.0,58.0,33100.0,57.0,1259800.0,1006000000.0,400000000.0,0.0,1000.0,0.0,,0.0,0.0,0.0
2023-10-24,58.0,0.0,0.0,60.0,56.0,57.0,-1.0,3490800.0,205879400.0,483.0,57.0,58.0,2864100.0,57.0,17000.0,1006000000.0,400000000.0,0.0,1000.0,0.0,,0.0,0.0,0.0
2023-10-25,57.0,0.0,0.0,59.0,55.0,56.0,-1.0,8712100.0,489338100.0,1075.0,56.0,57.0,19700.0,56.0,856200.0,1006000000.0,400000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2023-10-26,56.0,0.0,0.0,61.0,51.0,55.0,-1.0,12973700.0,733998300.0,940.0,55.0,56.0,2243600.0,55.0,141900.0,1006000000.0,400000000.0,0.0,1000.0,8000.0,,0.0,0.0,0.0
2023-10-27,55.0,0.0,0.0,57.0,51.0,54.0,-1.0,6129200.0,326330100.0,345.0,54.0,57.0,41000.0,54.0,377200.0,1006000000.0,400000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2023-10-30,54.0,0.0,0.0,58.0,54.0,55.0,1.0,1114900.0,62084400.0,240.0,55.0,56.0,7500.0,55.0,48900.0,1006000000.0,400000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2023-10-31,55.0,0.0,0.0,60.0,50.0,53.0,-2.0,7664700.0,430492000.0,363.0,53.0,54.0,500.0,53.0,103100.0,1006000000.0,400000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2023-11-01,53.0,0.0,0.0,54.0,48.0,49.0,-4.0,29574900.0,1459912300.0,536.0,49.0,49.0,87981900.0,48.0,2273500.0,1006000000.0,400000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2023-11-02,49.0,0.0,0.0,50.0,45.0,47.0,-2.0,9251700.0,429132900.0,341.0,47.0,48.0,2618300.0,47.0,129700.0,1006000000.0,400000000.0,0.0,1000.0,0.0,,0.0,0.0,0.0
2023-11-03,47.0,0.0,0.0,51.0,43.0,48.0,1.0,17344000.0,813827000.0,522.0,48.0,49.0,2946400.0,48.0,3800.0,1006000000.0,400000000.0,0.0,15000.0,0.0,,0.0,0.0,0.0
2023-11-06,48.0,0.0,0.0,49.0,46.0,48.0,0.0,6591300.0,304626800.0,424.0,48.0,49.0,30700.0,47.0,91900.0,1006000000.0,400000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2023-11-07,48.0,0.0,0.0,52.0,46.0,52.0,4.0,6189200.0,292531000.0,480.0,52.0,0.0,0.0,52.0,1733000.0,1006000000.0,400000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2023-11-08,52.0,0.0,0.0,57.0,52.0,57.0,5.0,2571900.0,146116900.0,186.0,57.0,0.0,0.0,57.0,2696800.0,1006000000.0,400000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2023-11-09,57.0,0.0,0.0,62.0,59.0,62.0,5.0,3136400.0,194205500.0,192.0,62.0,0.0,0.0,62.0,691400.0,1006000000.0,400000000.0,0.0,49000.0,0.0,,0.0,0.0,0.0
2023-11-10,62.0,0.0,0.0,68.0,56.0,58.0,-4.0,11783900.0,778821400.0,1115.0,58.0,62.0,20000.0,58.0,40300.0,1006000000.0,400000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2023-11-13,58.0,0.0,0.0,63.0,59.0,63.0,5.0,1464900.0,91003200.0,304.0,63.0,0.0,0.0,63.0,139000.0,1006000000.0,400000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
