date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2024-04-16,100.0,0.0,0.0,135.0,132.0,135.0,35.0,80462200.0,10847205300.0,7593.0,135.0,0.0,0.0,135.0,399933100.0,6199500000.0,2000000000.0,2000000000.0,659400.0,0.0,,1043000.0,105805000.0,10.0
2024-04-17,135.0,0.0,0.0,182.0,171.0,182.0,47.0,611915100.0,110972005000.0,19020.0,182.0,0.0,0.0,182.0,55297400.0,6199500000.0,2000000000.0,2000000000.0,254700.0,1130100.0,,0.0,0.0,0.0
2024-04-18,182.0,0.0,0.0,244.0,182.0,244.0,62.0,501598200.0,107336636100.0,31968.0,244.0,0.0,0.0,244.0,221496500.0,6199500000.0,2000000000.0,2000000000.0,5600000.0,3809200.0,,1000.0,125000.0,1.0
2024-04-19,244.0,0.0,0.0,288.0,200.0,212.0,-32.0,569159700.0,143196589000.0,44333.0,212.0,214.0,14000.0,210.0,233700.0,6199500000.0,2000000000.0,2000000000.0,12053300.0,12263000.0,,0.0,0.0,0.0
2024-04-22,212.0,0.0,0.0,264.0,212.0,264.0,52.0,287647200.0,71070694600.0,8040.0,264.0,0.0,0.0,264.0,206988300.0,6199500000.0,2000000000.0,2000000000.0,4750400.0,4750400.0,,800000.0,184000000.0,2.0
2024-04-23,264.0,0.0,0.0,298.0,198.0,198.0,-66.0,212434000.0,55410567300.0,10788.0,198.0,198.0,36829400.0,0.0,0.0,6199500000.0,2000000000.0,2000000000.0,1300.0,40200.0,,0.0,0.0,0.0
2024-04-24,198.0,0.0,0.0,230.0,188.0,222.0,24.0,245021600.0,51905552500.0,19754.0,222.0,224.0,378400.0,222.0,1182500.0,6199500000.0,2000000000.0,2000000000.0,38100.0,1444900.0,,1500600.0,282112800.0,8.0
2024-04-25,222.0,0.0,0.0,276.0,214.0,276.0,54.0,473778500.0,119188212400.0,19246.0,276.0,0.0,0.0,276.0,24580500.0,6199500000.0,2000000000.0,2000000000.0,659800.0,649500.0,,0.0,0.0,0.0
2024-04-26,276.0,0.0,0.0,314.0,270.0,290.0,14.0,187427200.0,55850416400.0,28643.0,290.0,290.0,311500.0,288.0,362500.0,6199500000.0,2000000000.0,2000000000.0,195500.0,352900.0,,0.0,0.0,0.0
2024-04-29,290.0,0.0,0.0,300.0,260.0,272.0,-18.0,65932000.0,18057950000.0,17775.0,272.0,274.0,534500.0,272.0,1179600.0,6199500000.0,2000000000.0,2000000000.0,1008400.0,1021600.0,,0.0,0.0,0.0
