date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,6195.0,6220.0,6220.0,6230.0,6160.0,6190.0,-5.0,68509500.0,424672625000.0,4855.0,17685.7,6200.0,56000.0,6190.0,6252000.0,122042295600.0,122042295600.0,24408459120.0,20995500.0,18914000.0,,33035415.0,205627178440.0,39.0
2019-07-30,6190.0,6205.0,6205.0,6250.0,6190.0,6220.0,30.0,38225500.0,237524347500.0,4765.0,17771.4,6220.0,5741000.0,6215.0,9500.0,122042295600.0,122042295600.0,24408459120.0,19297500.0,21391500.0,,41372470.0,257053816078.0,44.0
2019-07-31,6220.0,6190.0,6220.0,6240.0,6180.0,6190.0,-30.0,64129000.0,397760297500.0,5938.0,17685.7,6210.0,5000.0,6190.0,6115000.0,122042295600.0,122042295600.0,24408459120.0,39786500.0,43401000.0,,50110465.0,311341567250.0,57.0
2019-08-01,6190.0,6190.0,6190.0,6270.0,6185.0,6210.0,20.0,78228000.0,486541865000.0,6747.0,17742.9,6235.0,16000.0,6210.0,97500.0,122042295600.0,122042295600.0,24408459120.0,33418500.0,66454000.0,,35456440.0,221074494350.0,35.0
2019-08-02,6210.0,6160.0,6165.0,6205.0,6160.0,6165.0,-45.0,62989500.0,389229522500.0,5819.0,17614.3,6170.0,2000.0,6165.0,5135000.0,122042295600.0,122042295600.0,24408459120.0,45975000.0,13195500.0,,10515300.0,65232551850.0,32.0
2019-08-05,6165.0,6215.0,6215.0,6215.0,6000.0,6000.0,-165.0,90924000.0,550756647500.0,10609.0,17142.9,6045.0,16500.0,6000.0,6338000.0,122042295600.0,122042295600.0,24408459120.0,70238000.0,18585500.0,,18553615.0,115043404700.0,35.0
2019-08-06,6000.0,5880.0,5880.0,5955.0,5765.0,5880.0,-120.0,183296000.0,1076796287500.0,21231.0,16800.0,5885.0,1452000.0,5880.0,6136000.0,122042295600.0,122042295600.0,24408459120.0,159033500.0,48778000.0,,1345.0,7857050.0,6.0
2019-08-07,5880.0,5975.0,5975.0,6050.0,5905.0,6010.0,130.0,92102000.0,552659125000.0,11813.0,17171.4,6015.0,17000.0,6010.0,12329000.0,122042295600.0,122042295600.0,24408459120.0,57937000.0,52291000.0,,2389145.0,14158419238.0,34.0
2019-08-08,6010.0,6010.0,6010.0,6080.0,5980.0,6005.0,-5.0,58295500.0,351453445000.0,6419.0,17157.1,6010.0,33500.0,6005.0,17993500.0,122042295600.0,122042295600.0,24408459120.0,33589000.0,34553000.0,,2560990.0,15387363500.0,64.0
2019-08-09,6005.0,6055.0,6055.0,6120.0,6055.0,6065.0,60.0,48118500.0,292215927500.0,6182.0,17328.6,6070.0,204500.0,6065.0,5462000.0,122042295600.0,122042295600.0,24408459120.0,27012500.0,21262500.0,,8522635.0,51973662150.0,29.0
2019-08-12,6065.0,6070.0,6070.0,6080.0,6000.0,6040.0,-25.0,52705000.0,318259527500.0,5436.0,17257.1,6040.0,3899500.0,6035.0,10523500.0,122042295600.0,122042295600.0,24408459120.0,16147000.0,16878000.0,,15010520.0,91126934800.0,20.0
2019-08-13,6040.0,6000.0,6000.0,6040.0,6000.0,6015.0,-25.0,84406000.0,508427422500.0,6034.0,17185.7,6015.0,2637500.0,6010.0,157000.0,122042295600.0,122042295600.0,24408459120.0,69801000.0,34426500.0,,14469150.0,87822110630.0,19.0
2019-08-14,6015.0,6040.0,6045.0,6060.0,5980.0,6010.0,-5.0,81942000.0,493084057500.0,8001.0,17171.4,6015.0,15500.0,6010.0,5412000.0,122042295600.0,122042295600.0,24408459120.0,59793500.0,22130500.0,,5247060.0,31636383550.0,24.0
2019-08-15,6010.0,5920.0,5920.0,6000.0,5860.0,6000.0,-10.0,52561500.0,312862445000.0,9551.0,17142.9,6005.0,25000.0,6000.0,7295000.0,122042295600.0,122042295600.0,24408459120.0,35976000.0,19611500.0,,13312570.0,79834895600.0,13.0
2019-08-16,6000.0,6040.0,6040.0,6040.0,5960.0,5960.0,-40.0,49821500.0,298139660000.0,5576.0,17028.6,5995.0,50000.0,5960.0,1875500.0,122042295600.0,122042295600.0,24408459120.0,42152500.0,21656000.0,,22883230.0,137712239775.0,23.0
2019-08-19,5960.0,6030.0,6030.0,6030.0,5965.0,6015.0,55.0,30619000.0,183845462500.0,6494.0,17185.7,6015.0,45500.0,6000.0,58500.0,122042295600.0,122042295600.0,24408459120.0,26145500.0,23788000.0,,9889020.0,59358440375.0,30.0
2019-08-20,6015.0,6035.0,6035.0,6035.0,5985.0,5985.0,-30.0,58393500.0,349754415000.0,4732.0,17100.0,5990.0,29500.0,5985.0,872500.0,122042295600.0,122042295600.0,24408459120.0,53586000.0,23251500.0,,21045550.0,125721033875.0,22.0
2019-08-21,5985.0,6000.0,6000.0,6005.0,5975.0,5975.0,-10.0,55927500.0,334400132500.0,4669.0,17071.4,5975.0,2754000.0,5970.0,662000.0,122042295600.0,122042295600.0,24408459120.0,51336500.0,22163500.0,,19002125.0,113637332867.0,10.0
2019-08-22,5975.0,5925.0,5925.0,6000.0,5920.0,6000.0,25.0,65888000.0,393128197500.0,5072.0,17142.9,6000.0,589000.0,5975.0,51500.0,122042295600.0,122042295600.0,24408459120.0,54944000.0,45326000.0,,6530130.0,39030423300.0,21.0
2019-08-23,6000.0,5920.0,5940.0,5995.0,5905.0,5995.0,-5.0,33083500.0,197088602500.0,5732.0,17128.6,6000.0,3260000.0,5995.0,242500.0,122042295600.0,122042295600.0,24408459120.0,26470000.0,18710500.0,,715235.0,4261732125.0,24.0
2019-08-26,5995.0,5940.0,5940.0,6000.0,5860.0,5990.0,-5.0,41388500.0,246294477500.0,5714.0,17114.3,5990.0,42500.0,5980.0,402000.0,122042295600.0,122042295600.0,24408459120.0,28856500.0,21183500.0,,5285.0,31408025.0,22.0
2019-08-27,5990.0,6040.0,6040.0,6040.0,5950.0,6005.0,15.0,123780000.0,743175792500.0,5387.0,17157.1,6005.0,8034000.0,6000.0,1688500.0,122042295600.0,122042295600.0,24408459120.0,102581500.0,116093000.0,,7891910.0,47315479600.0,29.0
2019-08-28,6005.0,6000.0,5995.0,6020.0,5985.0,5995.0,-10.0,55688000.0,333840952500.0,4409.0,17128.6,5995.0,2306500.0,5990.0,34000.0,122042295600.0,122042295600.0,24408459120.0,46086500.0,29075500.0,,1977530.0,11885348650.0,20.0
2019-08-29,5995.0,5990.0,5995.0,6025.0,5985.0,6005.0,10.0,51525500.0,309096430000.0,5760.0,17157.1,6005.0,2290500.0,6000.0,10500.0,122042295600.0,122042295600.0,24408459120.0,28100000.0,40532500.0,,17072530.0,102341224175.0,33.0
2019-08-30,6005.0,6080.0,6060.0,6100.0,6005.0,6100.0,95.0,73650000.0,445949827500.0,5429.0,17428.6,6100.0,13904000.0,6085.0,3087500.0,122042295600.0,122042295600.0,24408459120.0,43605500.0,61553000.0,,18994400.0,114777336274.0,26.0
2019-09-02,6100.0,6100.0,6095.0,6100.0,6000.0,6000.0,-100.0,42429000.0,255039465000.0,4743.0,17142.9,6005.0,6500.0,6000.0,639500.0,122042295600.0,122042295600.0,24408459120.0,33709000.0,16955500.0,,1656500.0,10016932165.0,28.0
2019-09-03,6000.0,6000.0,6020.0,6055.0,6000.0,6055.0,55.0,42743500.0,257225360000.0,4447.0,17300.0,6055.0,10562500.0,6010.0,8500.0,122042295600.0,122042295600.0,24408459120.0,31741500.0,27760000.0,,10596615.0,63745088375.0,16.0
2019-09-04,6055.0,6060.0,6060.0,6060.0,6005.0,6020.0,-35.0,41979000.0,252851017500.0,8421.0,17200.0,6025.0,15500.0,6020.0,1108500.0,122042295600.0,122042295600.0,24408459120.0,26284500.0,33681000.0,,11433815.0,68867638300.0,11.0
2019-09-05,6020.0,6085.0,6075.0,6085.0,6015.0,6040.0,20.0,53650500.0,323919235000.0,7278.0,17257.1,6040.0,13712000.0,6035.0,12610000.0,122042295600.0,122042295600.0,24408459120.0,31658500.0,39982500.0,,18862525.0,113864146350.0,24.0
2019-09-06,6040.0,6060.0,6060.0,6060.0,6025.0,6025.0,-15.0,54349000.0,327716575000.0,4199.0,17214.3,6030.0,148000.0,6025.0,12736500.0,122042295600.0,122042295600.0,24408459120.0,41318000.0,22946500.0,,83675.0,504394050.0,16.0
2019-09-09,6025.0,6050.0,6045.0,6055.0,5980.0,6035.0,10.0,25912000.0,156116060000.0,4095.0,17242.9,6035.0,10213500.0,6030.0,1000.0,122042295600.0,122042295600.0,24408459120.0,13578500.0,14257500.0,,3599570.0,21715901175.0,32.0
2019-09-10,6035.0,6020.0,6020.0,6055.0,5985.0,6055.0,20.0,40291000.0,242564587500.0,4691.0,17300.0,6055.0,15367500.0,6020.0,500.0,122042295600.0,122042295600.0,24408459120.0,25087000.0,22681500.0,,2909500.0,17511444700.0,21.0
2019-09-11,6055.0,6050.0,6045.0,6100.0,6010.0,6100.0,45.0,45243500.0,274096287500.0,5576.0,17428.6,6100.0,13918500.0,6045.0,3000.0,122042295600.0,122042295600.0,24408459120.0,25654500.0,42077500.0,,951355.0,5741510025.0,17.0
2019-09-12,6100.0,6100.0,6095.0,6105.0,6010.0,6020.0,-80.0,40034000.0,242030890000.0,5913.0,17200.0,6025.0,1000.0,6020.0,5988500.0,122042295600.0,122042295600.0,24408459120.0,31824000.0,29410000.0,,3267240.0,19720157075.0,17.0
2019-09-13,6020.0,6080.0,6080.0,6090.0,6010.0,6030.0,10.0,28419500.0,171723570000.0,4469.0,17228.6,6035.0,17500.0,6030.0,26000.0,122042295600.0,122042295600.0,24408459120.0,17500000.0,22861000.0,,9449400.0,56911538325.0,29.0
2019-09-16,6030.0,6000.0,6005.0,6015.0,5985.0,6005.0,-25.0,77289000.0,463661287500.0,5164.0,17157.1,6005.0,2627000.0,6000.0,13000.0,122042295600.0,122042295600.0,24408459120.0,67214000.0,40349000.0,,10572475.0,63472775775.0,32.0
2019-09-17,6005.0,5990.0,5990.0,6035.0,5985.0,6030.0,25.0,92037500.0,553383142500.0,3975.0,17228.6,6030.0,2827000.0,6010.0,1500000.0,122042295600.0,122042295600.0,24408459120.0,85529500.0,61258500.0,,24496200.0,147008824750.0,73.0
