date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,50.0,0.0,0.0,53.0,50.0,50.0,0.0,155362500.0,7882976700.0,6010.0,35.7,51.0,4535400.0,50.0,47479700.0,40423478364.0,40423478364.0,44693066193.0,600000.0,2100000.0,,16000000.0,896000000.0,1.0
2019-07-30,50.0,0.0,0.0,51.0,50.0,50.0,0.0,56817800.0,2850546500.0,1679.0,35.7,50.0,2195600.0,0.0,0.0,40423478364.0,40423478364.0,44693066193.0,0.0,0.0,,3590800.0,215448000.0,2.0
2019-07-31,50.0,0.0,0.0,50.0,50.0,50.0,0.0,3217900.0,160895000.0,159.0,35.7,50.0,10364400.0,0.0,0.0,40423478364.0,40423478364.0,44693066193.0,0.0,0.0,,0.0,0.0,0.0
2019-08-01,50.0,0.0,0.0,50.0,50.0,50.0,0.0,3204100.0,160205000.0,94.0,35.7,50.0,33278900.0,0.0,0.0,40423478364.0,40423478364.0,44693066193.0,0.0,0.0,,0.0,0.0,0.0
2019-08-02,50.0,0.0,0.0,50.0,50.0,50.0,0.0,629100.0,31455000.0,53.0,35.7,50.0,23538600.0,0.0,0.0,40423478364.0,40423478364.0,44693066193.0,0.0,0.0,,7333300.0,425331400.0,1.0
2019-08-05,50.0,0.0,0.0,50.0,50.0,50.0,0.0,1099300.0,54965000.0,47.0,35.7,50.0,34199600.0,0.0,0.0,40423478364.0,40423478364.0,44693066193.0,0.0,0.0,,141059600.0,2024635600.0,2.0
2019-08-06,50.0,0.0,0.0,50.0,50.0,50.0,0.0,402300.0,20115000.0,20.0,35.7,50.0,40573600.0,0.0,0.0,44693066193.0,44693066193.0,44693066193.0,0.0,0.0,,250000.0,7500000.0,1.0
2019-08-07,50.0,0.0,0.0,50.0,50.0,50.0,0.0,93200.0,4660000.0,24.0,35.7,50.0,37020600.0,0.0,0.0,44693066193.0,44693066193.0,44693066193.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08,50.0,0.0,0.0,50.0,50.0,50.0,0.0,293000.0,14650000.0,29.0,35.7,50.0,27442700.0,0.0,0.0,44693066193.0,44693066193.0,44693066193.0,0.0,0.0,,2302500.0,127109800.0,2.0
2019-08-09,50.0,0.0,0.0,50.0,50.0,50.0,0.0,170400.0,8520000.0,30.0,35.7,50.0,33594000.0,0.0,0.0,44693066193.0,44693066193.0,44693066193.0,0.0,0.0,,2109100.0,117100600.0,3.0
2019-08-12,50.0,0.0,0.0,50.0,50.0,50.0,0.0,90300.0,4515000.0,33.0,35.7,50.0,35936100.0,0.0,0.0,44693066193.0,44693066193.0,44693066193.0,0.0,0.0,,1370000.0,58230000.0,4.0
2019-08-13,50.0,0.0,0.0,50.0,50.0,50.0,0.0,430700.0,21535000.0,21.0,35.7,50.0,45540500.0,0.0,0.0,44693066193.0,44693066193.0,44693066193.0,0.0,0.0,,718200.0,43092000.0,1.0
2019-08-14,50.0,0.0,0.0,50.0,50.0,50.0,0.0,115500.0,5775000.0,18.0,35.7,50.0,32767300.0,0.0,0.0,44693066193.0,44693066193.0,44693066193.0,0.0,0.0,,6100.0,253900.0,2.0
2019-08-15,50.0,0.0,0.0,50.0,50.0,50.0,0.0,70900.0,3545000.0,11.0,35.7,50.0,33510000.0,0.0,0.0,44693066193.0,44693066193.0,44693066193.0,0.0,0.0,,4803900.0,288187200.0,2.0
2019-08-16,50.0,0.0,0.0,50.0,50.0,50.0,0.0,257500.0,12875000.0,16.0,35.7,50.0,27410100.0,0.0,0.0,44693066193.0,44693066193.0,44693066193.0,0.0,0.0,,7449100.0,402756800.0,3.0
2019-08-19,50.0,0.0,0.0,50.0,50.0,50.0,0.0,77800.0,3890000.0,20.0,35.7,50.0,31278100.0,0.0,0.0,44693066193.0,44693066193.0,44693066193.0,0.0,36700.0,,1411600.0,78134600.0,3.0
2019-08-20,50.0,0.0,0.0,50.0,50.0,50.0,0.0,11500.0,575000.0,11.0,35.7,50.0,25633400.0,0.0,0.0,44693066193.0,44693066193.0,44693066193.0,0.0,0.0,,400000.0,17645000.0,4.0
2019-08-21,50.0,0.0,0.0,50.0,50.0,50.0,0.0,96400.0,4820000.0,20.0,35.7,50.0,34173000.0,0.0,0.0,44693066193.0,44693066193.0,44693066193.0,0.0,0.0,,925276300.0,46267061800.0,7.0
