date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2024-07-08,183.0,0.0,0.0,246.0,224.0,246.0,63.0,103621400.0,25403590600.0,10126.0,134.4,0.0,0.0,246.0,121087100.0,8890206400.0,1443805900.0,1445206400.0,75700.0,1580400.0,,12001100.0,2952253000.0,2.0
2024-07-09,246.0,0.0,0.0,306.0,276.0,306.0,60.0,334993000.0,99009062200.0,36549.0,167.2,0.0,0.0,306.0,68259500.0,8890206400.0,1443805900.0,1445206400.0,11053900.0,11492400.0,,200.0,58000.0,1.0
2024-07-10,306.0,0.0,0.0,318.0,252.0,274.0,-32.0,351708500.0,101103316600.0,38253.0,149.7,276.0,44800.0,274.0,572300.0,8890206400.0,1443805900.0,1445206400.0,22706600.0,20645700.0,,0.0,0.0,0.0
2024-07-11,274.0,0.0,0.0,292.0,258.0,276.0,2.0,139814200.0,38873075000.0,15419.0,150.8,276.0,724000.0,274.0,65500.0,8890206400.0,1443805900.0,1445206400.0,3032000.0,2541900.0,,0.0,0.0,0.0
2024-07-12,276.0,0.0,0.0,280.0,254.0,258.0,-18.0,56748200.0,14946105400.0,8125.0,141.0,260.0,99700.0,258.0,613000.0,8890206400.0,1443805900.0,1445206400.0,738500.0,679700.0,,0.0,0.0,0.0
2024-07-15,258.0,0.0,0.0,262.0,226.0,248.0,-10.0,108981900.0,26431130800.0,9826.0,135.5,248.0,74600.0,246.0,154000.0,8890206400.0,1443805900.0,1445206400.0,18841300.0,18697900.0,,10701000.0,2632500000.0,2.0
2024-07-16,248.0,0.0,0.0,264.0,242.0,254.0,6.0,47669400.0,12176499800.0,5730.0,138.8,256.0,7400.0,254.0,584800.0,8890206400.0,1443805900.0,1445206400.0,18300.0,523600.0,,8000000.0,1968000000.0,1.0
2024-07-17,254.0,0.0,0.0,258.0,234.0,240.0,-14.0,36063700.0,8797132800.0,4577.0,131.1,242.0,198400.0,240.0,2085400.0,8890206400.0,1443805900.0,1445206400.0,488200.0,0.0,,0.0,0.0,0.0
2024-07-18,240.0,0.0,0.0,242.0,224.0,230.0,-10.0,55336900.0,12752805400.0,4952.0,125.7,232.0,20100.0,230.0,2714500.0,8890206400.0,1443805900.0,1445206400.0,75200.0,66300.0,,0.0,0.0,0.0
2024-07-19,230.0,0.0,0.0,246.0,230.0,234.0,4.0,53003500.0,12631853800.0,4405.0,127.9,234.0,262300.0,232.0,942200.0,8890206400.0,1443805900.0,1445206400.0,966700.0,1151900.0,,0.0,0.0,0.0
2024-07-22,234.0,0.0,0.0,238.0,224.0,224.0,-10.0,29265200.0,6682571600.0,3235.0,122.4,226.0,103800.0,224.0,1402600.0,8890206400.0,1443805900.0,1445206400.0,609000.0,1334700.0,,0.0,0.0,0.0
2024-07-23,224.0,0.0,0.0,230.0,218.0,222.0,-2.0,29460200.0,6569717000.0,2814.0,121.3,224.0,1874300.0,222.0,34100.0,8890206400.0,1443805900.0,1445206400.0,984600.0,819300.0,,0.0,0.0,0.0
2024-07-24,222.0,0.0,0.0,244.0,220.0,224.0,2.0,60127400.0,13952077800.0,5729.0,122.4,226.0,500300.0,224.0,3946400.0,8890206400.0,1443805900.0,1445206400.0,2556600.0,2004700.0,,0.0,0.0,0.0
2024-07-25,224.0,0.0,0.0,228.0,218.0,220.0,-4.0,15138500.0,3357493400.0,1728.0,120.2,222.0,733100.0,220.0,500.0,8890206400.0,1443805900.0,1445206400.0,617200.0,541100.0,,28500.0,6555000.0,7.0
2024-07-26,220.0,0.0,0.0,224.0,214.0,218.0,-2.0,10090200.0,2189806800.0,1338.0,119.1,218.0,94800.0,216.0,81600.0,8890206400.0,1443805900.0,1445206400.0,206100.0,243000.0,,0.0,0.0,0.0
2024-07-29,218.0,0.0,0.0,220.0,196.0,202.0,-16.0,46762500.0,9519689100.0,4435.0,110.4,202.0,379200.0,200.0,586100.0,8890206400.0,1443805900.0,1445206400.0,1808200.0,1474500.0,,0.0,0.0,0.0
2024-07-30,202.0,0.0,0.0,210.0,198.0,200.0,-2.0,27257700.0,5514183000.0,1745.0,109.3,202.0,844400.0,200.0,2020700.0,8890206400.0,1443805900.0,1445206400.0,993900.0,1333400.0,,0.0,0.0,0.0
2024-07-31,200.0,0.0,0.0,210.0,200.0,204.0,4.0,19484600.0,3982494600.0,1756.0,111.5,204.0,2400.0,202.0,757000.0,8890206400.0,1443805900.0,1445206400.0,422500.0,74600.0,,13250000.0,2650000000.0,2.0
2024-08-01,204.0,0.0,0.0,208.0,202.0,204.0,0.0,10752300.0,2203810000.0,773.0,111.5,206.0,302900.0,204.0,1268700.0,8890206400.0,1443805900.0,1445206400.0,85300.0,92200.0,,0.0,0.0,0.0
2024-08-02,204.0,0.0,0.0,218.0,204.0,212.0,8.0,28205500.0,5987726000.0,2193.0,115.8,214.0,803300.0,212.0,832900.0,8890206400.0,1443805900.0,1445206400.0,263400.0,544000.0,,0.0,0.0,0.0
2024-08-05,212.0,0.0,0.0,218.0,204.0,206.0,-6.0,22856800.0,4802032000.0,1706.0,112.6,208.0,536800.0,206.0,27500.0,8890206400.0,1443805900.0,1445206400.0,479000.0,32400.0,,0.0,0.0,0.0
2024-08-06,206.0,0.0,0.0,212.0,206.0,212.0,6.0,7220800.0,1509041800.0,718.0,115.8,212.0,406600.0,210.0,156300.0,8890206400.0,1443805900.0,1445206400.0,24600.0,51200.0,,0.0,0.0,0.0
2024-08-07,212.0,0.0,0.0,216.0,210.0,210.0,-2.0,7634300.0,1623930600.0,728.0,114.8,212.0,452100.0,210.0,6426400.0,8890206400.0,1443805900.0,1445206400.0,9700.0,28300.0,,0.0,0.0,0.0
2024-08-08,210.0,0.0,0.0,216.0,210.0,216.0,6.0,7742900.0,1649476000.0,793.0,118.0,216.0,1147700.0,214.0,11800.0,8890206400.0,1443805900.0,1445206400.0,42600.0,14900.0,,0.0,0.0,0.0
2024-08-09,216.0,0.0,0.0,222.0,216.0,216.0,0.0,9183300.0,2011134200.0,1023.0,118.0,218.0,407500.0,216.0,1458100.0,8890206400.0,1443805900.0,1445206400.0,22300.0,7400.0,,0.0,0.0,0.0
2024-08-12,216.0,0.0,0.0,218.0,208.0,208.0,-8.0,7139500.0,1504325400.0,910.0,113.7,210.0,5000.0,208.0,2029400.0,8890206400.0,1443805900.0,1445206400.0,69300.0,23900.0,,0.0,0.0,0.0
2024-08-13,208.0,0.0,0.0,214.0,208.0,212.0,4.0,4557100.0,957614400.0,609.0,115.8,214.0,524700.0,212.0,75500.0,8890206400.0,1443805900.0,1445206400.0,13000.0,51600.0,,0.0,0.0,0.0
