date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2022-08-09,388.0,0.0,0.0,484.0,388.0,484.0,96.0,50060300.0,23137054200.0,10312.0,124.7,0.0,0.0,484.0,9973600.0,1000000000.0,196249900.0,200000000.0,533000.0,187700.0,,308500.0,119698000.0,3.0
2022-08-10,484.0,0.0,0.0,580.0,452.0,476.0,-8.0,95748200.0,47264979900.0,18510.0,122.7,478.0,227000.0,476.0,206400.0,1000000000.0,196249900.0,200000000.0,409600.0,167300.0,,0.0,0.0,0.0
2022-08-11,476.0,0.0,0.0,476.0,444.0,448.0,-28.0,27406300.0,12249342800.0,4259.0,115.5,448.0,228300.0,446.0,52100.0,1000000000.0,196249900.0,200000000.0,11800.0,158800.0,,0.0,0.0,0.0
2022-08-12,448.0,0.0,0.0,480.0,444.0,458.0,10.0,20897900.0,9692376000.0,3213.0,118.0,460.0,23500.0,458.0,40200.0,1000000000.0,196249900.0,200000000.0,179600.0,65000.0,,0.0,0.0,0.0
2022-08-15,458.0,0.0,0.0,472.0,440.0,466.0,8.0,17726300.0,8071374000.0,2075.0,120.1,466.0,164400.0,464.0,38000.0,1000000000.0,196249900.0,200000000.0,18500.0,30000.0,,2193600.0,899376000.0,4.0
2022-08-16,466.0,0.0,0.0,474.0,458.0,462.0,-4.0,13969600.0,6537808800.0,1454.0,119.1,464.0,4000.0,462.0,15000.0,1000000000.0,196249900.0,200000000.0,0.0,16800.0,,27000.0,12960000.0,1.0
2022-08-18,462.0,0.0,0.0,540.0,454.0,525.0,63.0,23057700.0,11532894800.0,4311.0,135.3,530.0,321200.0,525.0,675300.0,1000000000.0,196249900.0,200000000.0,437200.0,125500.0,,0.0,0.0,0.0
2022-08-19,525.0,0.0,0.0,555.0,492.0,535.0,10.0,22807100.0,12119934200.0,4638.0,137.9,535.0,263700.0,530.0,219500.0,1000000000.0,196249900.0,200000000.0,246700.0,132100.0,,1546300.0,811807500.0,1.0
2022-08-22,535.0,0.0,0.0,580.0,505.0,530.0,-5.0,15509900.0,8503429500.0,3623.0,136.6,530.0,159000.0,525.0,77700.0,1000000000.0,196249900.0,200000000.0,13400.0,134500.0,,0.0,0.0,0.0
2022-08-23,530.0,0.0,0.0,605.0,530.0,555.0,25.0,28680400.0,16206546500.0,6614.0,143.0,555.0,89000.0,550.0,11500.0,1000000000.0,196249900.0,200000000.0,601600.0,165300.0,,0.0,0.0,0.0
