date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2025-01-13,4060.0,5075.0,5075.0,5075.0,5075.0,5075.0,1015.0,224900.0,1141367500.0,1385.0,125.0,0.0,0.0,5075.0,166996800.0,5668944500.0,3066894500.0,566894500.0,1000.0,0.0,,54264500.0,236244324500.0,143.0
2025-01-14,5075.0,6075.0,6075.0,6075.0,6075.0,6075.0,1000.0,230700.0,1401502500.0,1234.0,149.6,0.0,0.0,6075.0,108500200.0,5668944500.0,3066894500.0,566894500.0,2000.0,0.0,,22893377.0,104327491870.0,167.0
2025-01-15,6075.0,7275.0,7275.0,7275.0,7275.0,7275.0,1200.0,818300.0,5953132500.0,3431.0,179.2,0.0,0.0,7275.0,49872900.0,5668944500.0,3066894500.0,566894500.0,2700.0,0.0,,777800.0,6034317500.0,59.0
2025-01-16,7275.0,8725.0,8725.0,8725.0,6675.0,8725.0,1450.0,278371900.0,2209906247500.0,204482.0,214.9,0.0,0.0,8725.0,8915600.0,5668944500.0,3066894500.0,566894500.0,217700.0,1154500.0,,2835700.0,19711402000.0,81.0
2025-01-17,8725.0,9200.0,9175.0,10450.0,9175.0,10450.0,1725.0,111883800.0,1128704842500.0,80852.0,257.4,0.0,0.0,10450.0,819500.0,5668944500.0,3066894500.0,566894500.0,321600.0,983800.0,,5073300.0,21141517000.0,51.0
2025-01-20,10450.0,10800.0,10775.0,11450.0,10250.0,10450.0,0.0,79325400.0,845643352500.0,58458.0,257.4,10475.0,165900.0,10450.0,1040800.0,5668944500.0,3066894500.0,566894500.0,59900.0,2169800.0,,1000.0,9000000.0,2.0
2025-01-21,10450.0,10600.0,10600.0,10675.0,9550.0,9975.0,-475.0,58886300.0,590903430000.0,63364.0,245.7,9975.0,2270300.0,9950.0,31700.0,5668944500.0,3066894500.0,566894500.0,1044500.0,4133000.0,,5000.0,49750000.0,1.0
2025-01-22,9975.0,9800.0,9800.0,9925.0,9125.0,9425.0,-550.0,39033500.0,373661767500.0,30926.0,232.1,9425.0,40500.0,9400.0,196600.0,5668944500.0,3066894500.0,566894500.0,895800.0,2826300.0,,0.0,0.0,0.0
2025-01-23,9425.0,9225.0,9225.0,9350.0,7550.0,7550.0,-1875.0,93551000.0,779573555000.0,67714.0,186.0,7550.0,2570100.0,0.0,0.0,5668944500.0,3066894500.0,566894500.0,618900.0,3137800.0,,608700.0,5709600000.0,5.0
2025-01-24,7550.0,9050.0,8875.0,9050.0,7375.0,8750.0,1200.0,63740100.0,537958212500.0,41813.0,215.5,8750.0,207000.0,8725.0,45700.0,5668944500.0,3066894500.0,566894500.0,1139300.0,1392600.0,,220000.0,1782000000.0,1.0
2025-01-30,8750.0,8900.0,8900.0,8900.0,8050.0,8250.0,-500.0,13004700.0,108495612500.0,14169.0,203.2,8250.0,118700.0,8225.0,900.0,5668944500.0,3066894500.0,566894500.0,842000.0,600300.0,,0.0,0.0,0.0
2025-01-31,8250.0,8225.0,8225.0,8825.0,7975.0,8025.0,-225.0,17964200.0,150079405000.0,16164.0,197.7,8050.0,10900.0,8025.0,10400.0,5668944500.0,3066894500.0,566894500.0,884700.0,305400.0,,101000.0,848292000.0,2.0
2025-02-03,8025.0,7600.0,7575.0,7700.0,6500.0,7450.0,-575.0,35728600.0,255227572500.0,27791.0,183.5,7475.0,3800.0,7450.0,100.0,5668944500.0,3066894500.0,566894500.0,2106400.0,837400.0,,203000.0,1529950000.0,4.0
2025-02-04,7450.0,7650.0,7650.0,8175.0,7650.0,7850.0,400.0,19050800.0,151336602500.0,16009.0,193.3,7850.0,8900.0,7825.0,50700.0,5668944500.0,3066894500.0,566894500.0,2029500.0,2087200.0,,50000.0,400000000.0,1.0
2025-02-05,7850.0,7950.0,7950.0,8300.0,7800.0,8050.0,200.0,17675100.0,142556122500.0,12534.0,198.3,8075.0,42800.0,8025.0,300.0,5668944500.0,3066894500.0,566894500.0,2161600.0,1726900.0,,3.0,23550.0,1.0
2025-02-06,8050.0,8100.0,8125.0,8175.0,7575.0,7700.0,-350.0,9657100.0,75100082500.0,8651.0,189.7,7700.0,11300.0,7675.0,16700.0,5668944500.0,3066894500.0,566894500.0,1190000.0,116700.0,,0.0,0.0,0.0
