date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,1995.0,0.0,0.0,0.0,0.0,1995.0,0.0,0.0,0.0,0.0,4004.3,2000.0,800.0,1995.0,500.0,676000000.0,676000000.0,676000000.0,0.0,0.0,,0.0,0.0,0.0
2019-07-30,1995.0,0.0,0.0,1995.0,1995.0,1995.0,0.0,500.0,997500.0,1.0,4004.3,1995.0,500.0,1990.0,500.0,676000000.0,676000000.0,676000000.0,0.0,0.0,,0.0,0.0,0.0
2019-07-31,1995.0,0.0,0.0,1995.0,1995.0,1995.0,0.0,500.0,997500.0,1.0,4004.3,1995.0,500.0,1990.0,600.0,676000000.0,676000000.0,676000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-01,1995.0,0.0,0.0,1995.0,1985.0,1985.0,-10.0,1700.0,3385500.0,3.0,3984.2,1990.0,400.0,1985.0,300.0,676000000.0,676000000.0,676000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-02,1985.0,0.0,0.0,0.0,0.0,1985.0,0.0,0.0,0.0,0.0,3984.2,1990.0,800.0,1985.0,700.0,676000000.0,676000000.0,676000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05,1985.0,0.0,0.0,1985.0,1955.0,1955.0,-30.0,6800.0,13381000.0,13.0,3924.0,1960.0,500.0,1950.0,500.0,676000000.0,676000000.0,676000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-06,1955.0,0.0,0.0,1955.0,1930.0,1930.0,-25.0,4800.0,9320000.0,13.0,3873.8,1930.0,700.0,1925.0,700.0,676000000.0,676000000.0,676000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-07,1930.0,0.0,0.0,1925.0,1920.0,1920.0,-10.0,1600.0,3075500.0,2.0,3853.7,1920.0,900.0,1915.0,700.0,676000000.0,676000000.0,676000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08,1920.0,0.0,0.0,0.0,0.0,1920.0,0.0,0.0,0.0,0.0,3853.7,1920.0,900.0,1915.0,800.0,676000000.0,676000000.0,676000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09,1920.0,0.0,0.0,0.0,0.0,1920.0,0.0,0.0,0.0,0.0,3853.7,1920.0,900.0,1915.0,800.0,676000000.0,676000000.0,676000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-12,1920.0,0.0,0.0,0.0,0.0,1920.0,0.0,0.0,0.0,0.0,3853.7,1920.0,900.0,1915.0,800.0,676000000.0,676000000.0,676000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-13,1920.0,0.0,0.0,1915.0,1910.0,1915.0,-5.0,7500.0,14352500.0,7.0,3843.7,1920.0,900.0,1915.0,300.0,676000000.0,676000000.0,676000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-14,1915.0,0.0,0.0,1915.0,1915.0,1915.0,0.0,500.0,957500.0,1.0,3843.7,1920.0,800.0,1915.0,200.0,676000000.0,676000000.0,676000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-15,1915.0,0.0,0.0,1915.0,1910.0,1910.0,-5.0,2000.0,3824000.0,5.0,3833.6,1915.0,700.0,1910.0,800.0,676000000.0,676000000.0,676000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-16,1910.0,0.0,0.0,0.0,0.0,1910.0,0.0,0.0,0.0,0.0,3833.6,1915.0,800.0,1910.0,700.0,676000000.0,676000000.0,676000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-19,1910.0,0.0,0.0,1910.0,1910.0,1910.0,0.0,700.0,1337000.0,1.0,3833.6,1910.0,300.0,1905.0,300.0,676000000.0,676000000.0,676000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-20,1910.0,0.0,0.0,1910.0,1910.0,1910.0,0.0,400.0,764000.0,1.0,3833.6,1915.0,500.0,1910.0,700.0,676000000.0,676000000.0,676000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-21,1910.0,0.0,0.0,1910.0,1910.0,1910.0,0.0,1000.0,1910000.0,2.0,3833.6,1915.0,6700.0,1905.0,400.0,676000000.0,676000000.0,676000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-22,1910.0,0.0,0.0,0.0,0.0,1910.0,0.0,0.0,0.0,0.0,3833.6,1915.0,900.0,1910.0,800.0,676000000.0,676000000.0,676000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-23,1910.0,0.0,0.0,1910.0,1910.0,1910.0,0.0,800.0,1528000.0,2.0,3833.6,1915.0,900.0,1905.0,1000.0,676000000.0,676000000.0,676000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-26,1910.0,0.0,0.0,1910.0,1905.0,1905.0,-5.0,1600.0,3051500.0,5.0,3823.6,1910.0,400.0,1900.0,500.0,676000000.0,676000000.0,676000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-27,1905.0,0.0,0.0,1900.0,1900.0,1900.0,-5.0,1000.0,1900000.0,4.0,3813.6,1905.0,700.0,1895.0,800.0,676000000.0,676000000.0,676000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-28,1900.0,0.0,0.0,1900.0,1900.0,1900.0,0.0,800.0,1520000.0,2.0,3813.6,1900.0,200.0,1895.0,900.0,676000000.0,676000000.0,676000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-29,1900.0,0.0,0.0,0.0,0.0,1900.0,0.0,0.0,0.0,0.0,3813.6,1900.0,900.0,1895.0,800.0,676000000.0,676000000.0,676000000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-30,1900.0,0.0,0.0,1895.0,1895.0,1895.0,-5.0,800.0,1516000.0,1.0,3803.5,1895.0,10200.0,1890.0,800.0,676000000.0,676000000.0,676000000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-02,1895.0,0.0,0.0,0.0,0.0,1895.0,0.0,0.0,0.0,0.0,3803.5,1900.0,20400.0,1895.0,300.0,676000000.0,676000000.0,676000000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-03,1895.0,0.0,0.0,0.0,0.0,1895.0,0.0,0.0,0.0,0.0,3803.5,1900.0,20400.0,1895.0,300.0,676000000.0,676000000.0,676000000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-04,1895.0,0.0,0.0,1895.0,1890.0,1890.0,-5.0,1300.0,2459000.0,5.0,3793.5,1890.0,100.0,1885.0,400.0,676000000.0,676000000.0,676000000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-05,1890.0,0.0,0.0,1885.0,1880.0,1880.0,-10.0,1700.0,3200000.0,4.0,3773.4,1880.0,100.0,1875.0,500.0,676000000.0,676000000.0,676000000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-06,1880.0,0.0,0.0,1880.0,1880.0,1880.0,0.0,700.0,1316000.0,1.0,3773.4,1880.0,9300.0,1875.0,800.0,676000000.0,676000000.0,676000000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-09,1880.0,0.0,0.0,1880.0,1870.0,1870.0,-10.0,2300.0,4311500.0,5.0,3753.4,1875.0,700.0,1865.0,400.0,676000000.0,676000000.0,676000000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-10,1870.0,0.0,0.0,1865.0,1865.0,1865.0,-5.0,800.0,1492000.0,1.0,3743.3,1865.0,200.0,1860.0,900.0,676000000.0,676000000.0,676000000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-11,1865.0,0.0,0.0,1865.0,1865.0,1865.0,0.0,700.0,1305500.0,1.0,3743.3,1870.0,800.0,1860.0,800.0,676000000.0,676000000.0,676000000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-12,1865.0,0.0,0.0,1865.0,1865.0,1865.0,0.0,500.0,932500.0,1.0,3743.3,1870.0,1000.0,1865.0,100.0,676000000.0,676000000.0,676000000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-13,1865.0,0.0,0.0,1865.0,1865.0,1865.0,0.0,800.0,1492000.0,1.0,3743.3,1870.0,800.0,1860.0,1000.0,676000000.0,676000000.0,676000000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-16,1865.0,0.0,0.0,1865.0,1865.0,1865.0,0.0,900.0,1678500.0,1.0,3743.3,1870.0,900.0,1860.0,1100.0,676000000.0,676000000.0,676000000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-17,1865.0,0.0,0.0,1865.0,1855.0,1865.0,0.0,2700.0,5021000.0,5.0,3743.3,1865.0,300.0,1855.0,100.0,676000000.0,676000000.0,676000000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-18,1865.0,0.0,0.0,0.0,0.0,1865.0,0.0,0.0,0.0,0.0,3743.3,1865.0,900.0,1855.0,700.0,676000000.0,676000000.0,676000000.0,0.0,0.0,,0.0,0.0,0.0
