date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2025-01-13,230.0,250.0,250.0,286.0,250.0,286.0,56.0,259560500.0,71063516800.0,61872.0,124.3,0.0,0.0,286.0,35724500.0,5882353000.0,882353000.0,882353000.0,2768300.0,1513800.0,,0.0,0.0,0.0
2025-01-14,286.0,290.0,290.0,330.0,256.0,314.0,28.0,212092500.0,63544024000.0,30040.0,136.5,316.0,218500.0,314.0,16245900.0,5882353000.0,882353000.0,882353000.0,1069500.0,108300.0,,0.0,0.0,0.0
2025-01-15,314.0,316.0,316.0,320.0,292.0,304.0,-10.0,48252900.0,14726042400.0,9207.0,132.2,304.0,1909100.0,302.0,1338200.0,5882353000.0,882353000.0,882353000.0,14600.0,16200.0,,0.0,0.0,0.0
2025-01-16,304.0,304.0,304.0,304.0,274.0,282.0,-22.0,29804400.0,8504905200.0,6860.0,122.6,284.0,245700.0,282.0,10324000.0,5882353000.0,882353000.0,882353000.0,185400.0,223700.0,,0.0,0.0,0.0
2025-01-17,282.0,288.0,288.0,316.0,284.0,290.0,8.0,48082600.0,14417465400.0,9490.0,126.1,290.0,887300.0,288.0,58200.0,5882353000.0,882353000.0,882353000.0,814500.0,687700.0,,0.0,0.0,0.0
2025-01-20,290.0,284.0,286.0,296.0,282.0,286.0,-4.0,11358800.0,3248671600.0,2762.0,124.3,288.0,71800.0,286.0,176000.0,5882353000.0,882353000.0,882353000.0,545700.0,552100.0,,0.0,0.0,0.0
2025-01-21,286.0,286.0,286.0,290.0,276.0,280.0,-6.0,9205200.0,2580451600.0,2314.0,121.7,282.0,153400.0,278.0,112900.0,5882353000.0,882353000.0,882353000.0,1050600.0,316600.0,,0.0,0.0,0.0
2025-01-22,280.0,278.0,278.0,288.0,276.0,282.0,2.0,14166100.0,4007838800.0,4882.0,122.6,282.0,321800.0,280.0,1071200.0,5882353000.0,882353000.0,882353000.0,575800.0,72400.0,,0.0,0.0,0.0
2025-01-23,282.0,284.0,284.0,310.0,280.0,302.0,20.0,25246900.0,7480021600.0,5265.0,131.3,304.0,203600.0,302.0,1100.0,5882353000.0,882353000.0,882353000.0,746600.0,1040100.0,,0.0,0.0,0.0
2025-01-24,302.0,304.0,304.0,334.0,298.0,310.0,8.0,31485100.0,9765313800.0,7064.0,134.8,312.0,68800.0,310.0,1571500.0,5882353000.0,882353000.0,882353000.0,773500.0,1090900.0,,0.0,0.0,0.0
2025-01-30,310.0,310.0,312.0,370.0,302.0,350.0,40.0,44343700.0,14918381000.0,9445.0,152.2,352.0,45400.0,350.0,74400.0,5882353000.0,882353000.0,882353000.0,3188900.0,3162900.0,,0.0,0.0,0.0
2025-01-31,350.0,352.0,352.0,356.0,334.0,344.0,-6.0,27440600.0,9379857000.0,5633.0,149.6,346.0,173500.0,344.0,186500.0,5882353000.0,882353000.0,882353000.0,778500.0,2212700.0,,0.0,0.0,0.0
2025-02-03,344.0,342.0,340.0,366.0,328.0,358.0,14.0,32458600.0,11251897000.0,8401.0,155.7,360.0,231400.0,358.0,454100.0,5882353000.0,882353000.0,882353000.0,318900.0,1106900.0,,0.0,0.0,0.0
2025-02-04,358.0,360.0,360.0,416.0,360.0,402.0,44.0,50719600.0,19742878200.0,12673.0,174.8,404.0,11700.0,402.0,236000.0,5882353000.0,882353000.0,882353000.0,1072700.0,3239500.0,,0.0,0.0,0.0
2025-02-05,402.0,404.0,404.0,494.0,394.0,480.0,78.0,79381400.0,36081746200.0,16702.0,208.7,482.0,11700.0,480.0,4529900.0,5882353000.0,882353000.0,882353000.0,6803600.0,12243400.0,,0.0,0.0,0.0
2025-02-06,480.0,484.0,484.0,545.0,412.0,430.0,-50.0,98636400.0,47416455700.0,24147.0,187.0,432.0,30400.0,430.0,117200.0,5882353000.0,882353000.0,882353000.0,10694200.0,11850900.0,,0.0,0.0,0.0
2025-02-07,430.0,430.0,430.0,434.0,384.0,408.0,-22.0,38188800.0,15681633800.0,10330.0,177.4,410.0,200.0,408.0,14500.0,5882353000.0,882353000.0,882353000.0,3585200.0,2743100.0,,0.0,0.0,0.0
2025-02-10,408.0,412.0,412.0,446.0,376.0,400.0,-8.0,27317600.0,11024585600.0,6987.0,173.9,402.0,176900.0,400.0,77300.0,5882353000.0,882353000.0,882353000.0,4253900.0,1779900.0,,0.0,0.0,0.0
2025-02-11,400.0,400.0,402.0,404.0,384.0,386.0,-14.0,31661800.0,12373305200.0,9034.0,167.8,386.0,24300.0,384.0,284500.0,5882353000.0,882353000.0,882353000.0,1001300.0,2239900.0,,2000000.0,800000000.0,1.0
2025-02-12,386.0,386.0,390.0,434.0,384.0,434.0,48.0,40930500.0,16800209600.0,10939.0,188.7,436.0,188000.0,434.0,173100.0,5882353000.0,882353000.0,882353000.0,2518200.0,2905900.0,,0.0,0.0,0.0
2025-02-13,434.0,436.0,436.0,438.0,402.0,402.0,-32.0,30794600.0,12781922200.0,8482.0,174.8,404.0,10000.0,402.0,61200.0,5882353000.0,882353000.0,882353000.0,3963100.0,764300.0,,0.0,0.0,0.0
2025-02-14,402.0,404.0,404.0,412.0,386.0,412.0,10.0,34730400.0,13818575600.0,10576.0,179.1,414.0,129900.0,412.0,102300.0,5882353000.0,882353000.0,882353000.0,1707300.0,1736900.0,,0.0,0.0,0.0
2025-02-17,412.0,412.0,412.0,418.0,404.0,414.0,2.0,17881900.0,7362715200.0,3168.0,180.0,414.0,282900.0,410.0,267500.0,5882353000.0,882353000.0,882353000.0,967700.0,1400400.0,,0.0,0.0,0.0
2025-02-18,414.0,410.0,412.0,424.0,408.0,418.0,4.0,16498400.0,6889035400.0,2797.0,181.7,420.0,72800.0,418.0,377800.0,5882353000.0,882353000.0,882353000.0,593700.0,2006500.0,,0.0,0.0,0.0
2025-02-19,418.0,418.0,420.0,440.0,416.0,432.0,14.0,26794900.0,11514454000.0,4656.0,187.8,434.0,10300.0,432.0,14100.0,5882353000.0,882353000.0,882353000.0,237400.0,2594100.0,,0.0,0.0,0.0
2025-02-20,432.0,434.0,436.0,446.0,412.0,420.0,-12.0,24266000.0,10401992000.0,4002.0,182.6,422.0,173200.0,420.0,146600.0,5882353000.0,882353000.0,882353000.0,3408300.0,3908900.0,,0.0,0.0,0.0
2025-02-21,420.0,420.0,424.0,436.0,414.0,426.0,6.0,22303000.0,9512436600.0,3281.0,185.2,426.0,20400.0,424.0,16500.0,5882353000.0,882353000.0,882353000.0,1459800.0,2092500.0,,0.0,0.0,0.0
2025-02-24,426.0,428.0,428.0,462.0,426.0,450.0,24.0,31641400.0,13964661800.0,4275.0,195.7,452.0,97700.0,450.0,544700.0,5882353000.0,882353000.0,882353000.0,3563500.0,6863200.0,,0.0,0.0,0.0
2025-02-25,450.0,452.0,452.0,454.0,426.0,436.0,-14.0,15810000.0,6927240200.0,3317.0,189.6,438.0,6000.0,436.0,18100.0,5882353000.0,882353000.0,882353000.0,4376600.0,2072600.0,,0.0,0.0,0.0
2025-02-26,436.0,436.0,436.0,444.0,414.0,420.0,-16.0,24394700.0,10473102400.0,3865.0,182.6,422.0,6500.0,420.0,16600.0,5882353000.0,882353000.0,882353000.0,3384200.0,2983100.0,,0.0,0.0,0.0
2025-02-27,420.0,420.0,420.0,422.0,390.0,390.0,-30.0,20620100.0,8389014600.0,2884.0,169.6,390.0,43500.0,388.0,102500.0,5882353000.0,882353000.0,882353000.0,2378300.0,3183900.0,,0.0,0.0,0.0
2025-02-28,390.0,388.0,388.0,400.0,382.0,394.0,4.0,23292800.0,9103320800.0,3024.0,171.3,396.0,2000.0,392.0,107800.0,5882353000.0,882353000.0,882353000.0,3294400.0,3652300.0,,0.0,0.0,0.0
2025-03-03,394.0,394.0,396.0,422.0,394.0,408.0,14.0,26120700.0,10684391400.0,3921.0,177.4,410.0,11200.0,408.0,900.0,5882353000.0,882353000.0,882353000.0,1773200.0,3890700.0,,0.0,0.0,0.0
2025-03-04,408.0,408.0,408.0,418.0,360.0,394.0,-14.0,29300500.0,11504482400.0,5233.0,171.3,394.0,38600.0,392.0,1200.0,5882353000.0,882353000.0,882353000.0,8653500.0,2417800.0,,0.0,0.0,0.0
2025-03-05,394.0,394.0,392.0,396.0,384.0,384.0,-10.0,20695300.0,8075521800.0,3683.0,167.0,388.0,24100.0,384.0,23300.0,5882353000.0,882353000.0,882353000.0,1946300.0,373200.0,,0.0,0.0,0.0
2025-03-06,384.0,384.0,384.0,392.0,380.0,386.0,2.0,20276400.0,7851791400.0,2219.0,167.8,386.0,16000.0,384.0,276900.0,5882353000.0,882353000.0,882353000.0,1875000.0,2447000.0,,0.0,0.0,0.0
2025-03-07,386.0,386.0,386.0,394.0,376.0,392.0,6.0,20370700.0,7865355400.0,3379.0,170.4,392.0,201000.0,390.0,41600.0,5882353000.0,882353000.0,882353000.0,1919600.0,1182900.0,,0.0,0.0,0.0
2025-03-10,392.0,392.0,392.0,398.0,388.0,390.0,-2.0,15173500.0,5933910600.0,2169.0,169.6,390.0,96500.0,388.0,200900.0,5882353000.0,882353000.0,882353000.0,1080500.0,1238600.0,,0.0,0.0,0.0
2025-03-11,390.0,388.0,388.0,392.0,386.0,386.0,-4.0,13253700.0,5138868000.0,1848.0,167.8,386.0,11500.0,384.0,259900.0,5882353000.0,882353000.0,882353000.0,259900.0,487700.0,,0.0,0.0,0.0
2025-03-12,386.0,386.0,386.0,390.0,382.0,388.0,2.0,14848000.0,5739600000.0,2313.0,168.7,388.0,136100.0,386.0,38100.0,5882353000.0,882353000.0,882353000.0,426800.0,518200.0,,0.0,0.0,0.0
2025-03-13,388.0,388.0,388.0,412.0,388.0,404.0,16.0,19923900.0,7974731600.0,2867.0,175.7,404.0,8100.0,402.0,101700.0,5882353000.0,882353000.0,882353000.0,1211700.0,3344100.0,,0.0,0.0,0.0
2025-03-14,404.0,404.0,404.0,406.0,396.0,400.0,-4.0,15617800.0,6264032200.0,1760.0,173.9,400.0,2200.0,398.0,225100.0,5882353000.0,882353000.0,882353000.0,1205200.0,722300.0,,0.0,0.0,0.0
2025-03-17,400.0,400.0,400.0,412.0,398.0,402.0,2.0,16548300.0,6670561400.0,2056.0,174.8,402.0,4300.0,398.0,389700.0,5882353000.0,882353000.0,882353000.0,1515800.0,1150800.0,,0.0,0.0,0.0
2025-03-18,402.0,400.0,402.0,402.0,352.0,362.0,-40.0,16738500.0,6244431200.0,1571.0,157.4,374.0,3000.0,362.0,14700.0,5882353000.0,882353000.0,882353000.0,5388800.0,2308200.0,,0.0,0.0,0.0
