date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,14250.0,0.0,0.0,0.0,0.0,14250.0,0.0,0.0,0.0,0.0,950.0,17100.0,200.0,13000.0,5000.0,770552320.0,770552320.0,770552320.0,0.0,0.0,,0.0,0.0,0.0
2019-07-30,14250.0,0.0,0.0,17050.0,14250.0,17050.0,2800.0,5400.0,78880000.0,14.0,1136.7,16875.0,100.0,13050.0,100.0,770552320.0,770552320.0,770552320.0,0.0,0.0,,0.0,0.0,0.0
2019-07-31,17050.0,0.0,0.0,17100.0,16950.0,16950.0,-100.0,200.0,3405000.0,2.0,1130.0,16950.0,4400.0,15750.0,200.0,770552320.0,770552320.0,770552320.0,0.0,0.0,,0.0,0.0,0.0
2019-08-01,16950.0,0.0,0.0,17375.0,17200.0,17375.0,425.0,200.0,3457500.0,2.0,1158.3,17175.0,300.0,13600.0,100.0,770552320.0,770552320.0,770552320.0,0.0,0.0,,0.0,0.0,0.0
2019-08-02,17375.0,0.0,0.0,20000.0,17375.0,20000.0,2625.0,1200.0,22362500.0,12.0,1333.3,19900.0,2400.0,14000.0,1400.0,770552320.0,770552320.0,770552320.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05,20000.0,0.0,0.0,19975.0,19975.0,19975.0,-25.0,100.0,1997500.0,1.0,1331.7,19675.0,2500.0,16000.0,200.0,770552320.0,770552320.0,770552320.0,0.0,0.0,,0.0,0.0,0.0
2019-08-06,19975.0,0.0,0.0,0.0,0.0,19975.0,0.0,0.0,0.0,0.0,1331.7,19750.0,100.0,0.0,0.0,770552320.0,770552320.0,770552320.0,0.0,0.0,,0.0,0.0,0.0
2019-08-07,19975.0,0.0,0.0,0.0,0.0,19975.0,0.0,0.0,0.0,0.0,1331.7,19500.0,200.0,0.0,0.0,770552320.0,770552320.0,770552320.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08,19975.0,0.0,0.0,0.0,0.0,19975.0,0.0,0.0,0.0,0.0,1331.7,19700.0,200.0,0.0,0.0,770552320.0,770552320.0,770552320.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09,19975.0,0.0,0.0,0.0,0.0,19975.0,0.0,0.0,0.0,0.0,1331.7,19875.0,100.0,16000.0,100.0,770552320.0,770552320.0,770552320.0,0.0,0.0,,0.0,0.0,0.0
