date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,2440.0,0.0,0.0,2400.0,2400.0,2400.0,-40.0,4200.0,10080000.0,4.0,3774.5,2450.0,101600.0,2270.0,200.0,1995138579.0,1995138579.0,1995138579.0,0.0,0.0,,0.0,0.0,0.0
2019-07-30,2400.0,0.0,0.0,2550.0,2400.0,2500.0,100.0,59600.0,148286000.0,22.0,3931.7,2500.0,400.0,2360.0,500.0,1995138579.0,1995138579.0,1995138579.0,100.0,5000.0,,0.0,0.0,0.0
2019-07-31,2500.0,0.0,0.0,2860.0,2600.0,2700.0,200.0,259800.0,716423000.0,31.0,4246.3,2700.0,59700.0,2550.0,400.0,1995138579.0,1995138579.0,1995138579.0,67500.0,0.0,,0.0,0.0,0.0
2019-08-01,2700.0,0.0,0.0,2800.0,2700.0,2770.0,70.0,96600.0,262946000.0,41.0,4356.4,2780.0,2900.0,2770.0,100.0,1995138579.0,1995138579.0,1995138579.0,27200.0,70600.0,,0.0,0.0,0.0
2019-08-02,2770.0,0.0,0.0,2810.0,2770.0,2800.0,30.0,8100.0,22506000.0,24.0,4403.6,2800.0,391000.0,2790.0,100.0,1995138579.0,1995138579.0,1995138579.0,700.0,400.0,,0.0,0.0,0.0
2019-08-05,2800.0,0.0,0.0,2800.0,2770.0,2770.0,-30.0,4500.0,12495000.0,18.0,4356.4,2790.0,2900.0,2770.0,600.0,1995138579.0,1995138579.0,1995138579.0,0.0,400.0,,0.0,0.0,0.0
2019-08-06,2770.0,0.0,0.0,2770.0,2750.0,2760.0,-10.0,1000.0,2761000.0,8.0,4340.6,2770.0,5700.0,2440.0,500.0,1995138579.0,1995138579.0,1995138579.0,0.0,0.0,,22.0,55000.0,1.0
2019-08-07,2760.0,0.0,0.0,2760.0,2750.0,2750.0,-10.0,2400.0,6604000.0,11.0,4324.9,2800.0,1000.0,2750.0,500.0,1995138579.0,1995138579.0,1995138579.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08,2750.0,0.0,0.0,2750.0,2750.0,2750.0,0.0,8200.0,22550000.0,6.0,4324.9,2820.0,100.0,2600.0,200.0,1995138579.0,1995138579.0,1995138579.0,5000.0,5000.0,,0.0,0.0,0.0
2019-08-09,2750.0,0.0,0.0,2750.0,2750.0,2750.0,0.0,300.0,825000.0,2.0,4324.9,2750.0,12500.0,2480.0,300.0,1995138579.0,1995138579.0,1995138579.0,0.0,0.0,,0.0,0.0,0.0
2019-08-12,2750.0,0.0,0.0,2750.0,2720.0,2750.0,0.0,3600.0,9876000.0,12.0,4324.9,2750.0,100.0,2740.0,300.0,1995138579.0,1995138579.0,1995138579.0,0.0,0.0,,0.0,0.0,0.0
2019-08-13,2750.0,0.0,0.0,2750.0,2750.0,2750.0,0.0,100.0,275000.0,1.0,4324.9,2750.0,1400.0,2530.0,400.0,1995138579.0,1995138579.0,1995138579.0,0.0,0.0,,0.0,0.0,0.0
2019-08-14,2750.0,0.0,0.0,2750.0,2750.0,2750.0,0.0,800.0,2200000.0,4.0,4324.9,2750.0,900.0,2600.0,300.0,1995138579.0,1995138579.0,1995138579.0,0.0,0.0,,0.0,0.0,0.0
2019-08-15,2750.0,0.0,0.0,2750.0,2750.0,2750.0,0.0,300.0,825000.0,2.0,4324.9,2700.0,100.0,2460.0,500.0,1995138579.0,1995138579.0,1995138579.0,0.0,0.0,,0.0,0.0,0.0
2019-08-16,2750.0,0.0,0.0,2700.0,2700.0,2700.0,-50.0,15200.0,41040000.0,4.0,4246.3,2700.0,800.0,2620.0,500.0,1995138579.0,1995138579.0,1995138579.0,0.0,0.0,,0.0,0.0,0.0
2019-08-19,2700.0,0.0,0.0,2710.0,2710.0,2710.0,10.0,500.0,1355000.0,3.0,4262.0,2710.0,800.0,2700.0,100.0,1995138579.0,1995138579.0,1995138579.0,0.0,0.0,,0.0,0.0,0.0
2019-08-20,2710.0,0.0,0.0,2710.0,2420.0,2610.0,-100.0,500.0,1305000.0,4.0,4104.7,2680.0,100.0,2430.0,900.0,1995138579.0,1995138579.0,1995138579.0,0.0,0.0,,0.0,0.0,0.0
