date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2021-07-08,200.0,0.0,0.0,220.0,220.0,220.0,20.0,111700.0,24574000.0,15.0,110.0,0.0,0.0,220.0,7804500.0,781250000.0,156250000.0,0.0,0.0,0.0,,44597500.0,8919500000.0,5.0
2021-07-09,220.0,0.0,0.0,242.0,242.0,242.0,22.0,5700.0,1379400.0,4.0,121.0,0.0,0.0,242.0,5235400.0,781250000.0,156250000.0,0.0,0.0,0.0,,4000000.0,800000000.0,1.0
2021-07-12,242.0,0.0,0.0,266.0,266.0,266.0,24.0,56100.0,14922600.0,18.0,133.0,0.0,0.0,266.0,3296200.0,781250000.0,156250000.0,0.0,0.0,0.0,,14500000.0,2921000000.0,2.0
2021-07-13,266.0,0.0,0.0,292.0,292.0,292.0,26.0,33800.0,9869600.0,13.0,146.0,0.0,0.0,292.0,2169400.0,781250000.0,156250000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-07-14,292.0,0.0,0.0,320.0,300.0,300.0,8.0,1727300.0,547928000.0,337.0,150.0,300.0,594500.0,296.0,900.0,781250000.0,156250000.0,0.0,0.0,150000.0,,0.0,0.0,0.0
2021-07-15,300.0,0.0,0.0,270.0,270.0,270.0,-30.0,249400.0,67338000.0,81.0,135.0,270.0,1011600.0,0.0,0.0,781250000.0,156250000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-07-16,270.0,0.0,0.0,296.0,244.0,296.0,26.0,9862000.0,2573986600.0,1010.0,148.0,0.0,0.0,296.0,117400.0,781250000.0,156250000.0,0.0,0.0,150000.0,,0.0,0.0,0.0
2021-07-19,296.0,0.0,0.0,324.0,294.0,324.0,28.0,8028600.0,2488037000.0,1548.0,162.0,324.0,444900.0,320.0,17600.0,781250000.0,156250000.0,0.0,0.0,868000.0,,0.0,0.0,0.0
2021-07-21,324.0,0.0,0.0,336.0,322.0,330.0,6.0,1944400.0,642116200.0,425.0,165.0,330.0,1000.0,328.0,6300.0,781250000.0,156250000.0,0.0,0.0,256000.0,,0.0,0.0,0.0
2021-07-22,330.0,0.0,0.0,354.0,330.0,344.0,14.0,6065100.0,2079962400.0,1388.0,172.0,346.0,62900.0,344.0,5400.0,781250000.0,156250000.0,0.0,0.0,80000.0,,0.0,0.0,0.0
2021-07-23,344.0,0.0,0.0,358.0,344.0,354.0,10.0,2616500.0,911904400.0,495.0,177.0,354.0,19500.0,350.0,39200.0,781250000.0,156250000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021-07-26,354.0,0.0,0.0,356.0,342.0,344.0,-10.0,1377600.0,480563000.0,443.0,172.0,348.0,6600.0,344.0,17700.0,781250000.0,156250000.0,0.0,0.0,100000.0,,0.0,0.0,0.0
