date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2023-02-27,100.0,0.0,0.0,108.0,93.0,100.0,0.0,688205100.0,67364589400.0,37828.0,100.0,101.0,155500.0,100.0,15088100.0,6390000000.0,1278000000.0,1278000000.0,1929500.0,4281200.0,,20000.0,1960000.0,1.0
2023-02-28,100.0,0.0,0.0,121.0,98.0,121.0,21.0,161703700.0,17146673700.0,13943.0,121.0,121.0,1067400.0,120.0,1001300.0,6390000000.0,1278000000.0,1278000000.0,690800.0,665900.0,,0.0,0.0,0.0
2023-03-01,121.0,0.0,0.0,163.0,114.0,163.0,42.0,616358700.0,86815190200.0,46516.0,163.0,163.0,8150300.0,162.0,6013200.0,6390000000.0,1278000000.0,1278000000.0,1559400.0,1211100.0,,0.0,0.0,0.0
2023-03-02,163.0,0.0,0.0,170.0,152.0,152.0,-11.0,183139100.0,29354324800.0,12942.0,152.0,152.0,24135100.0,0.0,0.0,6390000000.0,1278000000.0,1278000000.0,22000.0,686600.0,,0.0,0.0,0.0
2023-03-03,152.0,0.0,0.0,142.0,142.0,142.0,-10.0,3038000.0,431396000.0,417.0,142.0,142.0,44015300.0,0.0,0.0,6390000000.0,1278000000.0,1278000000.0,0.0,100000.0,,0.0,0.0,0.0
2023-03-06,142.0,0.0,0.0,157.0,133.0,150.0,8.0,356829200.0,51067632600.0,27210.0,150.0,150.0,1020800.0,149.0,2613800.0,6390000000.0,1278000000.0,1278000000.0,1197800.0,496800.0,,0.0,0.0,0.0
2023-03-07,150.0,0.0,0.0,156.0,140.0,140.0,-10.0,121382800.0,17893688900.0,11123.0,140.0,140.0,12163100.0,0.0,0.0,6390000000.0,1278000000.0,1278000000.0,102100.0,609200.0,,0.0,0.0,0.0
2023-03-08,140.0,0.0,0.0,149.0,131.0,144.0,4.0,38250400.0,5235182000.0,4263.0,144.0,144.0,3393700.0,143.0,3201600.0,6390000000.0,1278000000.0,1278000000.0,497100.0,27600.0,,0.0,0.0,0.0
2023-03-09,144.0,0.0,0.0,151.0,138.0,147.0,3.0,107602300.0,15646381500.0,13482.0,147.0,147.0,1525900.0,146.0,4389100.0,6390000000.0,1278000000.0,1278000000.0,841800.0,324400.0,,0.0,0.0,0.0
2023-03-10,147.0,0.0,0.0,177.0,137.0,143.0,-4.0,304708300.0,45126017800.0,32525.0,143.0,143.0,6328600.0,142.0,5390000.0,6390000000.0,1278000000.0,1278000000.0,172900.0,417500.0,,0.0,0.0,0.0
2023-03-13,143.0,0.0,0.0,148.0,133.0,134.0,-9.0,303113500.0,42067790400.0,13076.0,134.0,134.0,5434000.0,133.0,38232300.0,6390000000.0,1278000000.0,1278000000.0,308300.0,900000.0,,0.0,0.0,0.0
2023-03-14,134.0,0.0,0.0,135.0,125.0,125.0,-9.0,162946400.0,20981781200.0,4024.0,125.0,125.0,8975900.0,0.0,0.0,6390000000.0,1278000000.0,1278000000.0,119600.0,240000.0,,0.0,0.0,0.0
2023-03-15,125.0,0.0,0.0,134.0,118.0,131.0,6.0,114990000.0,14214727200.0,10037.0,131.0,131.0,3252600.0,130.0,4310500.0,6390000000.0,1278000000.0,1278000000.0,269600.0,481000.0,,0.0,0.0,0.0
2023-03-16,131.0,0.0,0.0,137.0,126.0,135.0,4.0,326985100.0,43241552100.0,27550.0,135.0,135.0,2125600.0,134.0,14770600.0,6390000000.0,1278000000.0,1278000000.0,1525600.0,955600.0,,0.0,0.0,0.0
2023-03-17,135.0,0.0,0.0,144.0,126.0,126.0,-9.0,282872900.0,36877841500.0,10064.0,126.0,126.0,7891300.0,0.0,0.0,6390000000.0,1278000000.0,1278000000.0,595700.0,1485100.0,,0.0,0.0,0.0
2023-03-20,126.0,0.0,0.0,124.0,118.0,118.0,-8.0,67310700.0,7964591100.0,4432.0,118.0,118.0,30403200.0,0.0,0.0,6390000000.0,1278000000.0,1278000000.0,942200.0,1721800.0,,0.0,0.0,0.0
2023-03-21,118.0,0.0,0.0,123.0,110.0,119.0,1.0,133081600.0,15474763100.0,7597.0,119.0,119.0,1689100.0,118.0,2755000.0,6390000000.0,1278000000.0,1278000000.0,3879600.0,2110100.0,,0.0,0.0,0.0
