date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,19400.0,0.0,0.0,19500.0,19500.0,19500.0,100.0,500.0,9750000.0,3.0,3391.3,19500.0,300.0,17600.0,100.0,101538000.0,101538000.0,101538000.0,100.0,0.0,,0.0,0.0,0.0
2019-07-30,19500.0,0.0,0.0,19600.0,19600.0,19600.0,100.0,500.0,9800000.0,3.0,3408.7,19600.0,300.0,17625.0,100.0,101538000.0,101538000.0,101538000.0,100.0,0.0,,0.0,0.0,0.0
2019-07-31,19600.0,0.0,0.0,19900.0,19850.0,19900.0,300.0,133100.0,2648355000.0,11.0,3460.9,19900.0,100.0,17700.0,100.0,101538000.0,101538000.0,101538000.0,3800.0,0.0,,0.0,0.0,0.0
2019-08-01,19900.0,0.0,0.0,19700.0,19700.0,19700.0,-200.0,100.0,1970000.0,1.0,3426.1,19700.0,100.0,17650.0,100.0,101538000.0,101538000.0,101538000.0,100.0,0.0,,0.0,0.0,0.0
2019-08-02,19700.0,0.0,0.0,19900.0,19900.0,19900.0,200.0,100.0,1990000.0,1.0,3460.9,19900.0,100.0,17100.0,100.0,101538000.0,101538000.0,101538000.0,100.0,0.0,,0.0,0.0,0.0
2019-08-05,19900.0,0.0,0.0,19800.0,19800.0,19800.0,-100.0,100.0,1980000.0,1.0,3443.5,19800.0,100.0,17150.0,100.0,101538000.0,101538000.0,101538000.0,100.0,0.0,,0.0,0.0,0.0
2019-08-06,19800.0,0.0,0.0,19750.0,19750.0,19750.0,-50.0,100.0,1975000.0,1.0,3434.8,19750.0,100.0,17100.0,100.0,101538000.0,101538000.0,101538000.0,100.0,0.0,,0.0,0.0,0.0
2019-08-07,19750.0,0.0,0.0,19900.0,19900.0,19900.0,150.0,100.0,1990000.0,1.0,3460.9,19900.0,100.0,17200.0,100.0,101538000.0,101538000.0,101538000.0,100.0,0.0,,0.0,0.0,0.0
2019-08-08,19900.0,0.0,0.0,19900.0,19900.0,19900.0,0.0,1500.0,29850000.0,3.0,3460.9,19900.0,10500.0,17150.0,200.0,101538000.0,101538000.0,101538000.0,100.0,0.0,,0.0,0.0,0.0
2019-08-09,19900.0,0.0,0.0,19900.0,19900.0,19900.0,0.0,100.0,1990000.0,1.0,3460.9,19900.0,11000.0,16350.0,300.0,101538000.0,101538000.0,101538000.0,100.0,0.0,,0.0,0.0,0.0
2019-08-12,19900.0,0.0,0.0,19600.0,19600.0,19600.0,-300.0,500.0,9800000.0,2.0,3408.7,19600.0,10500.0,16600.0,200.0,101538000.0,101538000.0,101538000.0,100.0,0.0,,0.0,0.0,0.0
2019-08-13,19600.0,0.0,0.0,19800.0,19800.0,19800.0,200.0,200.0,3960000.0,2.0,3443.5,19800.0,10800.0,16500.0,200.0,101538000.0,101538000.0,101538000.0,100.0,0.0,,0.0,0.0,0.0
2019-08-14,19800.0,0.0,0.0,19800.0,19800.0,19800.0,0.0,100.0,1980000.0,1.0,3443.5,19800.0,100.0,16600.0,200.0,101538000.0,101538000.0,101538000.0,100.0,0.0,,0.0,0.0,0.0
2019-08-15,19800.0,0.0,0.0,19900.0,19900.0,19900.0,100.0,200.0,3980000.0,2.0,3460.9,19900.0,200.0,16700.0,200.0,101538000.0,101538000.0,101538000.0,100.0,0.0,,0.0,0.0,0.0
2019-08-16,19900.0,0.0,0.0,19800.0,19800.0,19800.0,-100.0,300.0,5940000.0,2.0,3443.5,19800.0,10700.0,15975.0,200.0,101538000.0,101538000.0,101538000.0,100.0,0.0,,0.0,0.0,0.0
2019-08-19,19800.0,0.0,0.0,19900.0,19900.0,19900.0,100.0,300.0,5970000.0,2.0,3460.9,19900.0,100.0,16325.0,100.0,101538000.0,101538000.0,101538000.0,100.0,0.0,,0.0,0.0,0.0
2019-08-20,19900.0,0.0,0.0,19900.0,19900.0,19900.0,0.0,200.0,3980000.0,2.0,3460.9,19900.0,200.0,16000.0,200.0,101538000.0,101538000.0,101538000.0,100.0,0.0,,0.0,0.0,0.0
2019-08-21,19900.0,0.0,0.0,19900.0,19900.0,19900.0,0.0,200.0,3980000.0,2.0,3460.9,19900.0,11200.0,16375.0,300.0,101538000.0,101538000.0,101538000.0,100.0,0.0,,0.0,0.0,0.0
2019-08-22,19900.0,0.0,0.0,19900.0,19900.0,19900.0,0.0,400.0,7960000.0,3.0,3460.9,19900.0,100.0,16400.0,200.0,101538000.0,101538000.0,101538000.0,100.0,0.0,,0.0,0.0,0.0
2019-08-23,19900.0,0.0,0.0,19700.0,19700.0,19700.0,-200.0,100.0,1970000.0,1.0,3426.1,19700.0,100.0,15950.0,300.0,101538000.0,101538000.0,101538000.0,100.0,0.0,,0.0,0.0,0.0
2019-08-26,19700.0,0.0,0.0,19700.0,19700.0,19700.0,0.0,100.0,1970000.0,1.0,3426.1,19700.0,7000.0,16125.0,300.0,101538000.0,101538000.0,101538000.0,100.0,0.0,,0.0,0.0,0.0
2019-08-27,19700.0,0.0,0.0,19900.0,19900.0,19900.0,200.0,200.0,3980000.0,1.0,3460.9,19900.0,800.0,16350.0,200.0,101538000.0,101538000.0,101538000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-28,19900.0,0.0,0.0,19900.0,19900.0,19900.0,0.0,200.0,3980000.0,2.0,3460.9,19900.0,200.0,16300.0,200.0,101538000.0,101538000.0,101538000.0,100.0,0.0,,0.0,0.0,0.0
2019-08-29,19900.0,0.0,0.0,19800.0,19800.0,19800.0,-100.0,100.0,1980000.0,1.0,3443.5,19800.0,100.0,16300.0,200.0,101538000.0,101538000.0,101538000.0,100.0,0.0,,0.0,0.0,0.0
2019-08-30,19800.0,0.0,0.0,19800.0,19800.0,19800.0,0.0,100.0,1980000.0,1.0,3443.5,19800.0,100.0,16375.0,200.0,101538000.0,101538000.0,101538000.0,100.0,0.0,,0.0,0.0,0.0
2019-09-02,19800.0,0.0,0.0,19800.0,19800.0,19800.0,0.0,500.0,9900000.0,2.0,3443.5,19800.0,700.0,16325.0,200.0,101538000.0,101538000.0,101538000.0,100.0,0.0,,0.0,0.0,0.0
2019-09-03,19800.0,0.0,0.0,19800.0,19800.0,19800.0,0.0,100.0,1980000.0,1.0,3443.5,19800.0,100.0,16350.0,300.0,101538000.0,101538000.0,101538000.0,100.0,0.0,,0.0,0.0,0.0
2019-09-04,19800.0,0.0,0.0,19800.0,19800.0,19800.0,0.0,500.0,9900000.0,2.0,3443.5,19800.0,700.0,16025.0,100.0,101538000.0,101538000.0,101538000.0,100.0,0.0,,0.0,0.0,0.0
2019-09-05,19800.0,0.0,0.0,19800.0,19800.0,19800.0,0.0,100.0,1980000.0,1.0,3443.5,19800.0,100.0,16300.0,200.0,101538000.0,101538000.0,101538000.0,100.0,0.0,,0.0,0.0,0.0
2019-09-06,19800.0,0.0,0.0,19800.0,19800.0,19800.0,0.0,100.0,1980000.0,1.0,3443.5,19800.0,100.0,15875.0,300.0,101538000.0,101538000.0,101538000.0,100.0,0.0,,0.0,0.0,0.0
2019-09-09,19800.0,0.0,0.0,19000.0,19000.0,19000.0,-800.0,2500.0,47500000.0,2.0,3304.3,19000.0,4500.0,15900.0,100.0,101538000.0,101538000.0,101538000.0,0.0,0.0,,0.0,0.0,0.0
