date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2024-07-08,200.0,0.0,0.0,270.0,216.0,270.0,70.0,1150773200.0,290039118400.0,87659.0,135.0,0.0,0.0,270.0,50501200.0,19486760000.0,1950000000.0,1950000000.0,64186700.0,68725600.0,,0.0,0.0,0.0
2024-07-09,270.0,0.0,0.0,302.0,252.0,272.0,2.0,783190000.0,221452230600.0,56348.0,136.0,272.0,1371000.0,270.0,6220800.0,19486760000.0,1950000000.0,1950000000.0,43571900.0,38688100.0,,300000000.0,61200000000.0,1.0
2024-07-10,272.0,0.0,0.0,276.0,238.0,240.0,-32.0,269412700.0,67854941400.0,26475.0,120.0,242.0,2314100.0,240.0,1014700.0,19486760000.0,1950000000.0,1950000000.0,22189000.0,20604800.0,,0.0,0.0,0.0
2024-07-11,240.0,0.0,0.0,262.0,224.0,240.0,0.0,221429900.0,52753490600.0,21165.0,120.0,240.0,754200.0,238.0,813300.0,19486760000.0,1950000000.0,1950000000.0,9894500.0,10753200.0,,0.0,0.0,0.0
2024-07-12,240.0,0.0,0.0,242.0,230.0,230.0,-10.0,68403400.0,15947070400.0,6284.0,115.0,230.0,1035700.0,228.0,561500.0,19486760000.0,1950000000.0,1950000000.0,785500.0,357500.0,,1076899000.0,217967995600.0,6.0
2024-07-15,230.0,0.0,0.0,240.0,214.0,218.0,-12.0,90159200.0,19968396200.0,8738.0,109.0,220.0,2022300.0,218.0,8637700.0,19486760000.0,1950000000.0,1950000000.0,6718600.0,5690000.0,,115000.0,28020000.0,2.0
2024-07-16,218.0,0.0,0.0,232.0,200.0,224.0,6.0,101814000.0,22916016400.0,7255.0,112.0,226.0,97500.0,224.0,15702600.0,19486760000.0,1950000000.0,1950000000.0,9517100.0,11056600.0,,0.0,0.0,0.0
2024-07-17,224.0,0.0,0.0,228.0,206.0,210.0,-14.0,83824400.0,17897468600.0,6986.0,105.0,212.0,826300.0,210.0,802400.0,19486760000.0,1950000000.0,1950000000.0,6865500.0,5448400.0,,300000.0,74400000.0,1.0
2024-07-18,210.0,0.0,0.0,214.0,204.0,204.0,-6.0,91975400.0,18976715200.0,4247.0,102.0,206.0,234100.0,204.0,15161900.0,19486760000.0,1950000000.0,1950000000.0,951600.0,935600.0,,0.0,0.0,0.0
2024-07-19,204.0,0.0,0.0,212.0,202.0,206.0,2.0,73713600.0,15281211000.0,4099.0,103.0,206.0,509500.0,204.0,4300600.0,19486760000.0,1950000000.0,1950000000.0,3888500.0,4001200.0,,300000.0,74400000.0,1.0
2024-07-22,206.0,0.0,0.0,208.0,202.0,206.0,0.0,61307600.0,12526235600.0,2887.0,103.0,206.0,1595100.0,204.0,3029700.0,19486760000.0,1950000000.0,1950000000.0,3410900.0,4196200.0,,0.0,0.0,0.0
2024-07-23,206.0,0.0,0.0,224.0,204.0,224.0,18.0,117944300.0,25495620800.0,8063.0,112.0,226.0,2261700.0,224.0,834700.0,19486760000.0,1950000000.0,1950000000.0,1349600.0,3897000.0,,0.0,0.0,0.0
