date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2024-11-13,68.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,50571730000.0,50571730000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2024-11-14,68.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,50571730000.0,50571730000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2024-11-15,68.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,50571730000.0,50571730000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2024-11-18,68.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,50571730000.0,50571730000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2024-11-19,68.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,50571730000.0,50571730000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2024-11-20,68.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,50571730000.0,50571730000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2024-11-21,68.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,50571730000.0,50571730000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2024-11-22,68.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,50571730000.0,50571730000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2024-11-25,68.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,50571730000.0,50571730000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2024-11-26,68.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,50571730000.0,50571730000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2024-11-28,68.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,50571730000.0,50571730000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2024-11-29,68.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,50571730000.0,50571730000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2024-12-02,68.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,50571730000.0,50571730000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2024-12-03,68.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,50571730000.0,50571730000.0,0.0,0.0,0.0,,0.0,0.0,0.0
