date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2024-01-18,103.0,0.0,0.0,134.0,67.0,118.0,15.0,1764119400.0,190228478800.0,104093.0,114.6,120.0,252900.0,118.0,1407300.0,1000000000.0,200000000.0,200000000.0,28738100.0,23294400.0,,50000.0,5450000.0,1.0
2024-01-19,118.0,0.0,0.0,131.0,106.0,108.0,-10.0,449245100.0,54709686500.0,37168.0,104.9,108.0,83100.0,107.0,148200.0,1000000000.0,200000000.0,200000000.0,10200100.0,9725600.0,,0.0,0.0,0.0
2024-01-22,108.0,0.0,0.0,116.0,82.0,100.0,-8.0,381960800.0,39256516800.0,34553.0,97.1,100.0,573200.0,99.0,28400.0,1000000000.0,200000000.0,200000000.0,11236800.0,10909900.0,,0.0,0.0,0.0
2024-01-23,100.0,0.0,0.0,107.0,90.0,98.0,-2.0,111025400.0,11241078700.0,10845.0,95.1,98.0,71600.0,97.0,411700.0,1000000000.0,200000000.0,200000000.0,4400.0,1000000.0,,0.0,0.0,0.0
2024-01-24,98.0,0.0,0.0,99.0,86.0,86.0,-12.0,63129500.0,5789078800.0,7853.0,83.5,87.0,119900.0,86.0,1756900.0,1000000000.0,200000000.0,200000000.0,1301000.0,1163000.0,,0.0,0.0,0.0
2024-01-25,86.0,0.0,0.0,96.0,81.0,83.0,-3.0,48093900.0,4126181800.0,6048.0,80.6,84.0,144300.0,83.0,319700.0,1000000000.0,200000000.0,200000000.0,550000.0,646000.0,,0.0,0.0,0.0
2024-01-26,83.0,0.0,0.0,86.0,74.0,77.0,-6.0,47868600.0,3776638100.0,4813.0,74.8,78.0,271300.0,77.0,4169900.0,1000000000.0,200000000.0,200000000.0,100400.0,4382500.0,,0.0,0.0,0.0
2024-01-29,77.0,0.0,0.0,80.0,70.0,73.0,-4.0,23425700.0,1768955800.0,2886.0,70.9,73.0,260700.0,72.0,1321600.0,1000000000.0,200000000.0,200000000.0,226600.0,55300.0,,0.0,0.0,0.0
2024-01-30,73.0,0.0,0.0,80.0,71.0,73.0,0.0,31344500.0,2322297000.0,2314.0,70.9,74.0,118100.0,73.0,15467500.0,1000000000.0,200000000.0,200000000.0,55300.0,0.0,,0.0,0.0,0.0
2024-01-31,73.0,0.0,0.0,91.0,71.0,73.0,0.0,17586500.0,1289640900.0,2530.0,70.9,73.0,215100.0,72.0,24436000.0,1000000000.0,200000000.0,200000000.0,1549700.0,67900.0,,0.0,0.0,0.0
2024-02-01,73.0,0.0,0.0,82.0,69.0,70.0,-3.0,25873200.0,1843811700.0,4897.0,68.0,71.0,293300.0,70.0,1520700.0,1000000000.0,200000000.0,200000000.0,376900.0,0.0,,0.0,0.0,0.0
2024-02-02,70.0,0.0,0.0,79.0,66.0,67.0,-3.0,32617400.0,2259345400.0,3181.0,65.0,67.0,588700.0,66.0,1261300.0,1000000000.0,200000000.0,200000000.0,29400.0,53200.0,,0.0,0.0,0.0
2024-02-05,67.0,0.0,0.0,76.0,63.0,69.0,2.0,45126300.0,3021962100.0,3843.0,67.0,69.0,671400.0,68.0,6582300.0,1000000000.0,200000000.0,200000000.0,140400.0,52900.0,,0.0,0.0,0.0
2024-02-06,69.0,0.0,0.0,72.0,61.0,65.0,-4.0,53833700.0,3622572300.0,5542.0,63.1,66.0,448300.0,65.0,309200.0,1000000000.0,200000000.0,200000000.0,57300.0,540200.0,,0.0,0.0,0.0
2024-02-07,65.0,0.0,0.0,66.0,60.0,62.0,-3.0,20344500.0,1282373000.0,3354.0,60.2,62.0,233800.0,61.0,1031800.0,1000000000.0,200000000.0,200000000.0,40200.0,61400.0,,0.0,0.0,0.0
2024-02-12,62.0,0.0,0.0,63.0,61.0,63.0,1.0,8159300.0,507192000.0,2876.0,61.2,63.0,422600.0,62.0,1212200.0,1000000000.0,200000000.0,200000000.0,620700.0,0.0,,0.0,0.0,0.0
2024-02-13,63.0,0.0,0.0,81.0,61.0,62.0,-1.0,4430600.0,274328100.0,902.0,60.2,62.0,520600.0,61.0,1386500.0,1000000000.0,200000000.0,200000000.0,10700.0,0.0,,0.0,0.0,0.0
2024-02-15,62.0,0.0,0.0,80.0,58.0,58.0,-4.0,10468300.0,623753600.0,983.0,56.3,58.0,867500.0,57.0,208900.0,1000000000.0,200000000.0,200000000.0,0.0,50100.0,,0.0,0.0,0.0
2024-02-16,58.0,0.0,0.0,60.0,55.0,57.0,-1.0,7557000.0,437583200.0,803.0,55.3,57.0,95600.0,56.0,1118600.0,1000000000.0,200000000.0,200000000.0,50200.0,28900.0,,0.0,0.0,0.0
2024-02-19,57.0,0.0,0.0,76.0,54.0,57.0,0.0,4762400.0,270490100.0,591.0,55.3,57.0,178200.0,56.0,1283100.0,1000000000.0,200000000.0,200000000.0,0.0,0.0,,0.0,0.0,0.0
2024-02-20,57.0,0.0,0.0,76.0,55.0,57.0,0.0,2789900.0,156681800.0,408.0,55.3,57.0,496900.0,56.0,1200400.0,1000000000.0,200000000.0,200000000.0,0.0,0.0,,0.0,0.0,0.0
2024-02-21,57.0,0.0,0.0,76.0,56.0,60.0,3.0,32645100.0,2042060500.0,2895.0,58.3,60.0,475700.0,59.0,1270100.0,1000000000.0,200000000.0,200000000.0,28900.0,0.0,,0.0,0.0,0.0
2024-02-22,60.0,0.0,0.0,80.0,57.0,58.0,-2.0,7927100.0,458016700.0,1178.0,56.3,58.0,275600.0,57.0,1481800.0,1000000000.0,200000000.0,200000000.0,0.0,10000.0,,0.0,0.0,0.0
2024-02-23,58.0,0.0,0.0,62.0,50.0,57.0,-1.0,4930200.0,283399400.0,458.0,55.3,58.0,319600.0,57.0,2049800.0,1000000000.0,200000000.0,200000000.0,0.0,0.0,,0.0,0.0,0.0
2024-02-26,57.0,0.0,0.0,76.0,56.0,57.0,0.0,2798200.0,158690100.0,381.0,55.3,57.0,130000.0,56.0,540800.0,1000000000.0,200000000.0,200000000.0,0.0,0.0,,0.0,0.0,0.0
2024-02-27,57.0,0.0,0.0,67.0,55.0,56.0,-1.0,5924800.0,334937800.0,624.0,54.4,56.0,3000.0,55.0,963300.0,1000000000.0,200000000.0,200000000.0,0.0,0.0,,0.0,0.0,0.0
2024-02-28,56.0,0.0,0.0,65.0,55.0,60.0,4.0,10671300.0,636956600.0,1142.0,58.3,60.0,640400.0,59.0,1170700.0,1000000000.0,200000000.0,200000000.0,0.0,0.0,,1000.0,65000.0,1.0
2024-02-29,60.0,0.0,0.0,69.0,56.0,57.0,-3.0,4650400.0,266447900.0,539.0,55.3,57.0,592700.0,56.0,1594700.0,1000000000.0,200000000.0,200000000.0,256900.0,0.0,,0.0,0.0,0.0
2024-03-01,57.0,0.0,0.0,61.0,50.0,52.0,-5.0,18572700.0,986705500.0,859.0,50.5,52.0,206300.0,51.0,922700.0,1000000000.0,200000000.0,200000000.0,0.0,0.0,,0.0,0.0,0.0
2024-03-04,52.0,0.0,0.0,52.0,50.0,50.0,-2.0,19446000.0,975902400.0,824.0,48.5,51.0,2347900.0,50.0,8375500.0,1000000000.0,200000000.0,200000000.0,218000.0,0.0,,0.0,0.0,0.0
2024-03-05,50.0,0.0,0.0,58.0,50.0,50.0,0.0,4595900.0,230663600.0,578.0,48.5,51.0,2988100.0,50.0,4166400.0,1000000000.0,200000000.0,200000000.0,0.0,0.0,,0.0,0.0,0.0
2024-03-06,50.0,0.0,0.0,58.0,50.0,50.0,0.0,21512700.0,1089279400.0,8416.0,48.5,50.0,321100.0,0.0,0.0,1000000000.0,200000000.0,200000000.0,156100.0,0.0,,0.0,0.0,0.0
2024-03-07,50.0,0.0,0.0,50.0,50.0,50.0,0.0,1728100.0,86405000.0,141.0,48.5,50.0,5666000.0,0.0,0.0,1000000000.0,200000000.0,200000000.0,0.0,0.0,,0.0,0.0,0.0
2024-03-08,50.0,0.0,0.0,50.0,50.0,50.0,0.0,294000.0,14700000.0,61.0,48.5,50.0,5775000.0,0.0,0.0,1000000000.0,200000000.0,200000000.0,0.0,0.0,,0.0,0.0,0.0
2024-03-13,50.0,0.0,0.0,50.0,50.0,50.0,0.0,304800.0,15240000.0,75.0,48.5,50.0,6086400.0,0.0,0.0,1000000000.0,200000000.0,200000000.0,0.0,0.0,,0.0,0.0,0.0
2024-03-14,50.0,0.0,0.0,50.0,50.0,50.0,0.0,2249800.0,112490000.0,115.0,48.5,50.0,2818200.0,0.0,0.0,1000000000.0,200000000.0,200000000.0,0.0,0.0,,0.0,0.0,0.0
2024-03-15,50.0,0.0,0.0,50.0,50.0,50.0,0.0,138200.0,6910000.0,53.0,48.5,50.0,2951100.0,0.0,0.0,1000000000.0,200000000.0,200000000.0,0.0,10000.0,,0.0,0.0,0.0
2024-03-18,50.0,0.0,0.0,50.0,50.0,50.0,0.0,299200.0,14960000.0,34.0,48.5,50.0,4009400.0,0.0,0.0,1000000000.0,200000000.0,200000000.0,0.0,0.0,,0.0,0.0,0.0
2024-03-19,50.0,0.0,0.0,50.0,50.0,50.0,0.0,913700.0,45685000.0,33.0,48.5,50.0,5810800.0,0.0,0.0,1000000000.0,200000000.0,200000000.0,0.0,0.0,,0.0,0.0,0.0
2024-03-20,50.0,0.0,0.0,59.0,50.0,50.0,0.0,107900.0,5395900.0,26.0,48.5,50.0,5057100.0,0.0,0.0,1000000000.0,200000000.0,200000000.0,0.0,0.0,,0.0,0.0,0.0
2024-03-21,50.0,0.0,0.0,50.0,50.0,50.0,0.0,16200.0,810000.0,14.0,48.5,50.0,5779600.0,0.0,0.0,1000000000.0,200000000.0,200000000.0,0.0,0.0,,0.0,0.0,0.0
2024-03-22,50.0,0.0,0.0,50.0,50.0,50.0,0.0,20800.0,1040000.0,17.0,48.5,50.0,4536200.0,0.0,0.0,1000000000.0,200000000.0,200000000.0,0.0,0.0,,15000.0,600000.0,1.0
2024-03-25,50.0,0.0,0.0,50.0,50.0,50.0,0.0,4200.0,210000.0,11.0,48.5,50.0,8219600.0,0.0,0.0,1000000000.0,200000000.0,200000000.0,0.0,0.0,,34400.0,1376000.0,1.0
2024-03-26,50.0,0.0,0.0,50.0,50.0,50.0,0.0,367300.0,18365000.0,28.0,48.5,50.0,9575900.0,0.0,0.0,1000000000.0,200000000.0,200000000.0,0.0,0.0,,0.0,0.0,0.0
2024-03-27,50.0,0.0,0.0,50.0,50.0,50.0,0.0,16300.0,815000.0,6.0,48.5,50.0,9648400.0,0.0,0.0,1000000000.0,200000000.0,200000000.0,0.0,0.0,,0.0,0.0,0.0
2024-03-28,50.0,0.0,0.0,50.0,50.0,50.0,0.0,12600.0,630000.0,8.0,48.5,50.0,9155000.0,0.0,0.0,1000000000.0,200000000.0,200000000.0,0.0,0.0,,0.0,0.0,0.0
