date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2023-07-10,120.0,0.0,0.0,108.0,108.0,108.0,-12.0,7573800.0,817970400.0,1041.0,90.0,108.0,44795900.0,0.0,0.0,1545000000.0,309000000.0,0.0,0.0,254700.0,,66666600.0,7999992000.0,2.0
2023-07-11,108.0,0.0,0.0,98.0,98.0,98.0,-10.0,2971900.0,291246200.0,834.0,81.7,98.0,35943900.0,0.0,0.0,1545000000.0,309000000.0,0.0,0.0,52600.0,,0.0,0.0,0.0
2023-07-12,98.0,0.0,0.0,99.0,89.0,89.0,-9.0,39262900.0,3581371000.0,6750.0,74.2,89.0,5913800.0,0.0,0.0,1545000000.0,309000000.0,0.0,1069600.0,60000.0,,0.0,0.0,0.0
2023-07-13,89.0,0.0,0.0,91.0,81.0,89.0,0.0,61081800.0,5354952200.0,8449.0,74.2,89.0,244200.0,88.0,297900.0,1545000000.0,309000000.0,0.0,30600.0,201000.0,,0.0,0.0,0.0
2023-07-14,89.0,0.0,0.0,89.0,84.0,84.0,-5.0,13725600.0,1174577900.0,2644.0,70.0,84.0,188100.0,83.0,838400.0,1545000000.0,309000000.0,0.0,0.0,10000.0,,0.0,0.0,0.0
2023-07-17,84.0,0.0,0.0,92.0,84.0,92.0,8.0,32209100.0,2931339900.0,2727.0,76.7,0.0,0.0,92.0,7465500.0,1545000000.0,309000000.0,0.0,43000.0,500.0,,0.0,0.0,0.0
2023-07-18,92.0,0.0,0.0,99.0,84.0,86.0,-6.0,43787800.0,4044709000.0,6005.0,71.7,86.0,97200.0,85.0,755100.0,1545000000.0,309000000.0,0.0,16200.0,50000.0,,0.0,0.0,0.0
2023-07-20,86.0,0.0,0.0,89.0,83.0,85.0,-1.0,8140800.0,695073400.0,1435.0,70.8,85.0,285500.0,84.0,53300.0,1545000000.0,309000000.0,0.0,100.0,510500.0,,0.0,0.0,0.0
2023-07-21,85.0,0.0,0.0,86.0,81.0,82.0,-3.0,9101000.0,754658300.0,1425.0,68.3,83.0,213200.0,82.0,209200.0,1545000000.0,309000000.0,0.0,73000.0,20000.0,,0.0,0.0,0.0
2023-07-24,82.0,0.0,0.0,83.0,74.0,74.0,-8.0,26867700.0,2012413900.0,2826.0,61.7,75.0,280300.0,74.0,1941500.0,1545000000.0,309000000.0,0.0,300000.0,11100.0,,0.0,0.0,0.0
