date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2023-02-08,100.0,0.0,0.0,135.0,93.0,117.0,17.0,926245300.0,108055627700.0,72707.0,117.0,118.0,288500.0,117.0,11241700.0,5650000000.0,1130500000.0,1130000000.0,2292300.0,54866500.0,,3750000.0,375000000.0,2.0
2023-02-09,117.0,0.0,0.0,127.0,110.0,118.0,1.0,153682600.0,18316245500.0,14749.0,118.0,118.0,1106300.0,117.0,141200.0,5650000000.0,1130500000.0,1130000000.0,386800.0,6827800.0,,0.0,0.0,0.0
2023-02-10,118.0,0.0,0.0,137.0,117.0,131.0,13.0,445460900.0,58517544400.0,29449.0,131.0,131.0,4734600.0,130.0,507800.0,5650000000.0,1130500000.0,1130000000.0,3904800.0,3972900.0,,65000000.0,6500000000.0,1.0
2023-02-13,131.0,0.0,0.0,133.0,122.0,122.0,-9.0,67187400.0,8267895900.0,4256.0,122.0,122.0,7368000.0,0.0,0.0,5650000000.0,1130500000.0,1130000000.0,1048200.0,3603400.0,,0.0,0.0,0.0
2023-02-14,122.0,0.0,0.0,125.0,114.0,119.0,-3.0,75872900.0,8924789700.0,6588.0,119.0,120.0,568500.0,119.0,3054000.0,5650000000.0,1130500000.0,1130000000.0,1751100.0,6309500.0,,0.0,0.0,0.0
2023-02-15,119.0,0.0,0.0,129.0,118.0,126.0,7.0,131894600.0,16533177000.0,9794.0,126.0,126.0,3590100.0,125.0,243800.0,5650000000.0,1130500000.0,1130000000.0,377600.0,4170100.0,,0.0,0.0,0.0
2023-02-16,126.0,0.0,0.0,127.0,122.0,122.0,-4.0,31275700.0,3876939400.0,3390.0,122.0,123.0,107800.0,122.0,522200.0,5650000000.0,1130500000.0,1130000000.0,321000.0,3099800.0,,0.0,0.0,0.0
2023-02-17,122.0,0.0,0.0,125.0,115.0,116.0,-6.0,28485400.0,3362828200.0,3488.0,116.0,117.0,58100.0,116.0,12500.0,5650000000.0,1130500000.0,1130000000.0,77900.0,616200.0,,292262000.0,35655964000.0,2.0
2023-02-20,116.0,0.0,0.0,122.0,110.0,113.0,-3.0,22631700.0,2614957800.0,2338.0,113.0,113.0,42400.0,112.0,2254000.0,5650000000.0,1130500000.0,1130000000.0,66000.0,349900.0,,15200000.0,1763200000.0,1.0
2023-02-21,113.0,0.0,0.0,116.0,109.0,112.0,-1.0,15316700.0,1718399600.0,1399.0,112.0,114.0,551200.0,112.0,488800.0,5650000000.0,1130500000.0,1130000000.0,62200.0,384500.0,,0.0,0.0,0.0
2023-02-22,112.0,0.0,0.0,118.0,112.0,114.0,2.0,21670800.0,2468606200.0,2016.0,114.0,115.0,294300.0,114.0,51500.0,5650000000.0,1130500000.0,1130000000.0,138700.0,214600.0,,185000000.0,21090000000.0,1.0
2023-02-23,114.0,0.0,0.0,121.0,111.0,115.0,1.0,56298600.0,6569189900.0,5885.0,115.0,115.0,131700.0,114.0,209600.0,5650000000.0,1130500000.0,1130000000.0,2058000.0,64100.0,,0.0,0.0,0.0
2023-02-24,115.0,0.0,0.0,117.0,112.0,112.0,-3.0,26249600.0,3000239300.0,2175.0,112.0,113.0,60400.0,112.0,13100.0,5650000000.0,1130500000.0,1130000000.0,1045900.0,4811400.0,,0.0,0.0,0.0
2023-02-27,112.0,0.0,0.0,114.0,111.0,112.0,0.0,9637000.0,1080088900.0,790.0,112.0,113.0,623500.0,112.0,49700.0,5650000000.0,1130500000.0,1130000000.0,23200.0,1611800.0,,0.0,0.0,0.0
2023-02-28,112.0,0.0,0.0,113.0,111.0,112.0,0.0,4736400.0,529041000.0,584.0,112.0,112.0,499200.0,111.0,2006800.0,5650000000.0,1130500000.0,1130000000.0,217400.0,16600.0,,0.0,0.0,0.0
2023-03-01,112.0,0.0,0.0,113.0,109.0,112.0,0.0,11539600.0,1280833900.0,810.0,112.0,112.0,345000.0,111.0,2500.0,5650000000.0,1130500000.0,1130000000.0,21100.0,21100.0,,0.0,0.0,0.0
2023-03-02,112.0,0.0,0.0,113.0,105.0,109.0,-3.0,19926600.0,2143508400.0,1956.0,109.0,109.0,56400.0,108.0,224200.0,5650000000.0,1130500000.0,1130000000.0,15500.0,15500.0,,0.0,0.0,0.0
2023-03-03,109.0,0.0,0.0,120.0,109.0,114.0,5.0,66258800.0,7588970300.0,6873.0,114.0,114.0,826300.0,113.0,1149400.0,5650000000.0,1130500000.0,1130000000.0,46000.0,7200.0,,0.0,0.0,0.0
2023-03-06,114.0,0.0,0.0,120.0,113.0,117.0,3.0,58858800.0,6858634300.0,6612.0,117.0,117.0,860100.0,116.0,486400.0,5650000000.0,1130500000.0,1130000000.0,107200.0,44200.0,,0.0,0.0,0.0
2023-03-07,117.0,0.0,0.0,118.0,111.0,117.0,0.0,28329100.0,3249915200.0,3704.0,117.0,117.0,1153800.0,116.0,1088200.0,5650000000.0,1130500000.0,1130000000.0,194200.0,43300.0,,0.0,0.0,0.0
2023-03-08,117.0,0.0,0.0,118.0,112.0,116.0,-1.0,24190700.0,2788629000.0,3110.0,116.0,116.0,1042400.0,115.0,3165200.0,5650000000.0,1130500000.0,1130000000.0,35000.0,0.0,,0.0,0.0,0.0
2023-03-09,116.0,0.0,0.0,122.0,114.0,120.0,4.0,45372600.0,5366871800.0,8375.0,120.0,120.0,2588900.0,119.0,42200.0,5650000000.0,1130500000.0,1130000000.0,8300.0,102200.0,,0.0,0.0,0.0
2023-03-10,120.0,0.0,0.0,122.0,116.0,118.0,-2.0,25468800.0,3028822600.0,6134.0,118.0,118.0,758000.0,117.0,373900.0,5650000000.0,1130500000.0,1130000000.0,28600.0,28000.0,,0.0,0.0,0.0
