date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2025-01-09,200.0,250.0,248.0,270.0,208.0,212.0,12.0,795262600.0,191741923600.0,104922.0,106.0,212.0,6458700.0,210.0,6039800.0,6500000000.0,3185000000.0,1300000000.0,3851600.0,6193900.0,,21000.0,4200000.0,21.0
2025-01-10,212.0,210.0,212.0,212.0,163.0,194.0,-18.0,339931000.0,61469305900.0,42514.0,97.0,194.0,432700.0,193.0,2033200.0,6500000000.0,3185000000.0,1300000000.0,3720800.0,2546100.0,,0.0,0.0,0.0
2025-01-13,194.0,196.0,197.0,204.0,186.0,195.0,1.0,100131300.0,19199970900.0,13531.0,97.5,196.0,287500.0,195.0,72000.0,6500000000.0,3185000000.0,1300000000.0,627700.0,914100.0,,0.0,0.0,0.0
2025-01-14,195.0,200.0,202.0,212.0,197.0,206.0,11.0,139612300.0,28552099600.0,13874.0,103.0,208.0,1801800.0,206.0,530800.0,6500000000.0,3185000000.0,1300000000.0,12600.0,808900.0,,0.0,0.0,0.0
2025-01-15,206.0,204.0,202.0,204.0,187.0,195.0,-11.0,84845000.0,16462195900.0,9242.0,97.5,195.0,664500.0,194.0,2124500.0,6500000000.0,3185000000.0,1300000000.0,667900.0,873000.0,,0.0,0.0,0.0
2025-01-16,195.0,195.0,195.0,197.0,183.0,193.0,-2.0,49126800.0,9305934600.0,5436.0,96.5,194.0,128500.0,193.0,955100.0,6500000000.0,3185000000.0,1300000000.0,1356200.0,692200.0,,0.0,0.0,0.0
2025-01-17,193.0,194.0,195.0,195.0,188.0,194.0,1.0,43233800.0,8271327500.0,4502.0,97.0,194.0,1203200.0,193.0,63400.0,6500000000.0,3185000000.0,1300000000.0,1584700.0,704000.0,,0.0,0.0,0.0
2025-01-20,194.0,195.0,195.0,202.0,190.0,194.0,0.0,45749700.0,8932644000.0,5532.0,97.0,195.0,254400.0,193.0,795200.0,6500000000.0,3185000000.0,1300000000.0,965600.0,836400.0,,0.0,0.0,0.0
2025-01-21,194.0,195.0,195.0,198.0,193.0,196.0,2.0,20808100.0,4062488300.0,2122.0,98.0,196.0,484300.0,195.0,2203800.0,6500000000.0,3185000000.0,1300000000.0,371100.0,169000.0,,0.0,0.0,0.0
2025-01-22,196.0,197.0,198.0,228.0,197.0,226.0,30.0,214012800.0,45647730900.0,16853.0,113.0,228.0,1799600.0,226.0,1346300.0,6500000000.0,3185000000.0,1300000000.0,5308500.0,7999000.0,,1000.0,200000.0,1.0
2025-01-23,226.0,218.0,216.0,224.0,202.0,202.0,-24.0,89443300.0,18865386200.0,8751.0,101.0,204.0,141000.0,202.0,3106900.0,6500000000.0,3185000000.0,1300000000.0,2225800.0,1707900.0,,0.0,0.0,0.0
2025-01-24,202.0,202.0,202.0,224.0,202.0,214.0,12.0,109614300.0,23479862200.0,11851.0,107.0,214.0,1433700.0,212.0,12540000.0,6500000000.0,3185000000.0,1300000000.0,2943300.0,3611400.0,,1625000000.0,325000000000.0,3.0
2025-01-30,214.0,216.0,218.0,218.0,206.0,208.0,-6.0,47409700.0,10039889200.0,4983.0,104.0,210.0,3789100.0,208.0,6653800.0,6500000000.0,3185000000.0,1300000000.0,1321300.0,212400.0,,1000000.0,208000000.0,1.0
2025-01-31,208.0,208.0,208.0,208.0,197.0,198.0,-10.0,54784200.0,10959037900.0,4810.0,99.0,199.0,184500.0,198.0,2352100.0,6500000000.0,3185000000.0,1300000000.0,1481500.0,470100.0,,1000000.0,210000000.0,1.0
2025-02-03,198.0,196.0,197.0,197.0,184.0,190.0,-8.0,45867000.0,8681327700.0,5175.0,95.0,191.0,61900.0,190.0,769400.0,6500000000.0,3185000000.0,1300000000.0,1172500.0,1664800.0,,4000000.0,904000000.0,1.0
2025-02-04,190.0,190.0,191.0,195.0,187.0,192.0,2.0,32396600.0,6193191600.0,3726.0,96.0,192.0,2393800.0,191.0,351700.0,6500000000.0,3185000000.0,1300000000.0,1417000.0,2011200.0,,4000000.0,912000000.0,1.0
2025-02-05,192.0,194.0,194.0,195.0,189.0,190.0,-2.0,17742900.0,3392582600.0,3353.0,95.0,191.0,2000.0,190.0,109000.0,6500000000.0,3185000000.0,1300000000.0,2494200.0,137800.0,,1300000.0,267800000.0,1.0
2025-02-06,190.0,191.0,191.0,191.0,185.0,186.0,-4.0,22111900.0,4132272200.0,2570.0,93.0,187.0,85200.0,186.0,163000.0,6500000000.0,3185000000.0,1300000000.0,490600.0,301400.0,,1300000.0,270400000.0,1.0
2025-02-07,186.0,186.0,186.0,189.0,183.0,188.0,2.0,24148800.0,4485623100.0,3470.0,94.0,188.0,513500.0,187.0,1072300.0,6500000000.0,3185000000.0,1300000000.0,366900.0,931800.0,,4000000.0,904000000.0,1.0
2025-02-10,188.0,188.0,188.0,192.0,184.0,191.0,3.0,32295300.0,6110090900.0,4712.0,95.5,192.0,1916700.0,191.0,2101500.0,6500000000.0,3185000000.0,1300000000.0,1022000.0,2596900.0,,4400000.0,998400000.0,2.0
2025-02-11,191.0,192.0,192.0,193.0,187.0,189.0,-2.0,19368100.0,3673536900.0,2232.0,94.5,189.0,191900.0,188.0,273700.0,6500000000.0,3185000000.0,1300000000.0,1132700.0,306800.0,,1410000.0,297280000.0,2.0
2025-02-12,189.0,190.0,190.0,190.0,187.0,190.0,1.0,26939900.0,5084431600.0,5053.0,95.0,190.0,7227800.0,189.0,821500.0,6500000000.0,3185000000.0,1300000000.0,771200.0,2209300.0,,5010000.0,1114080000.0,2.0
2025-02-13,190.0,190.0,189.0,190.0,188.0,189.0,-1.0,10932000.0,2069511800.0,1549.0,94.5,190.0,8247900.0,189.0,494000.0,6500000000.0,3185000000.0,1300000000.0,794900.0,1973500.0,,0.0,0.0,0.0
2025-02-14,189.0,189.0,190.0,193.0,189.0,191.0,2.0,53776400.0,10275735600.0,5997.0,95.5,191.0,357000.0,190.0,1708400.0,6500000000.0,3185000000.0,1300000000.0,4713300.0,7693600.0,,4000000.0,912000000.0,1.0
