date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2023-03-01,1250.0,0.0,0.0,1380.0,1270.0,1330.0,80.0,67971300.0,90160975000.0,16955.0,106.4,1330.0,3010100.0,1325.0,62700.0,2948300000.0,442300000.0,442300000.0,11043800.0,4163100.0,,0.0,0.0,0.0
2023-03-02,1330.0,0.0,0.0,1615.0,1325.0,1495.0,165.0,67748100.0,99604599500.0,19667.0,119.6,1500.0,408500.0,1495.0,5266700.0,2948300000.0,442300000.0,442300000.0,963100.0,1350200.0,,6329900.0,8703612500.0,1.0
2023-03-03,1495.0,0.0,0.0,1540.0,1425.0,1510.0,15.0,44537100.0,66062637000.0,10536.0,120.8,1510.0,1500000.0,1505.0,115600.0,2948300000.0,442300000.0,442300000.0,3479300.0,2628800.0,,0.0,0.0,0.0
2023-03-06,1510.0,0.0,0.0,1570.0,1505.0,1560.0,50.0,24838400.0,38175699000.0,5715.0,124.8,1565.0,216600.0,1560.0,16900.0,2948300000.0,442300000.0,442300000.0,139000.0,890500.0,,0.0,0.0,0.0
2023-03-07,1560.0,0.0,0.0,1610.0,1555.0,1580.0,20.0,15968900.0,25265643000.0,3906.0,126.4,1580.0,737900.0,1575.0,4700.0,2948300000.0,442300000.0,442300000.0,41900.0,240700.0,,0.0,0.0,0.0
2023-03-08,1580.0,0.0,0.0,1660.0,1575.0,1630.0,50.0,19404000.0,31424403500.0,4041.0,130.4,1630.0,283000.0,1625.0,119700.0,2948300000.0,442300000.0,442300000.0,47200.0,242000.0,,106105800.0,167647164000.0,2.0
2023-03-09,1630.0,0.0,0.0,1660.0,1590.0,1640.0,10.0,20286000.0,32962540000.0,3306.0,131.2,1640.0,140800.0,1635.0,46200.0,2948300000.0,442300000.0,442300000.0,60200.0,45000.0,,0.0,0.0,0.0
2023-03-10,1640.0,0.0,0.0,1700.0,1620.0,1700.0,60.0,14211800.0,23581667500.0,2564.0,136.0,1705.0,218200.0,1700.0,56700.0,2948300000.0,442300000.0,442300000.0,61400.0,378200.0,,5832000.0,9185400000.0,1.0
2023-03-13,1700.0,0.0,0.0,1745.0,1690.0,1735.0,35.0,12020800.0,20762452000.0,2646.0,138.8,1735.0,178900.0,1730.0,49400.0,2948300000.0,442300000.0,442300000.0,1550600.0,282700.0,,0.0,0.0,0.0
2023-03-14,1735.0,0.0,0.0,1900.0,1730.0,1820.0,85.0,27873700.0,50231596000.0,6491.0,145.6,1820.0,266900.0,1815.0,138800.0,2948300000.0,442300000.0,442300000.0,3086900.0,2756800.0,,0.0,0.0,0.0
2023-03-15,1820.0,0.0,0.0,2010.0,1820.0,2000.0,180.0,32499700.0,62669025500.0,7879.0,160.0,2010.0,179500.0,2000.0,87100.0,2948300000.0,442300000.0,442300000.0,1977600.0,3942500.0,,0.0,0.0,0.0
2023-03-16,2000.0,0.0,0.0,2180.0,1930.0,2020.0,20.0,45449300.0,93606807000.0,11473.0,161.6,2020.0,309200.0,2010.0,183000.0,2948300000.0,442300000.0,442300000.0,2097300.0,3786300.0,,0.0,0.0,0.0
2023-03-17,2020.0,0.0,0.0,2080.0,1900.0,2040.0,20.0,48588800.0,96217661500.0,9635.0,163.2,2040.0,74600.0,2030.0,245300.0,2948300000.0,442300000.0,442300000.0,1421000.0,2302000.0,,0.0,0.0,0.0
2023-03-20,2040.0,0.0,0.0,2120.0,2030.0,2050.0,10.0,15840800.0,32856233000.0,3789.0,164.0,2050.0,340400.0,2040.0,134400.0,2948300000.0,442300000.0,442300000.0,306600.0,781200.0,,0.0,0.0,0.0
