date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,2300.0,0.0,0.0,2330.0,2280.0,2280.0,-20.0,456900.0,1055727000.0,70.0,213.7,2300.0,500.0,2260.0,22000.0,656249710.0,656249710.0,656249710.0,16500.0,0.0,,0.0,0.0,0.0
2019-07-30,2280.0,0.0,0.0,2290.0,2270.0,2290.0,10.0,339100.0,773913000.0,83.0,214.7,2300.0,100.0,2280.0,300.0,656249710.0,656249710.0,656249710.0,7600.0,0.0,,75.0,258300.0,1.0
2019-07-31,2290.0,0.0,0.0,2290.0,2200.0,2250.0,-40.0,648300.0,1456439000.0,91.0,210.9,2290.0,500.0,2250.0,62100.0,656249710.0,656249710.0,656249710.0,151500.0,0.0,,0.0,0.0,0.0
2019-08-01,2250.0,0.0,0.0,2300.0,2200.0,2300.0,50.0,306600.0,690961000.0,73.0,215.6,2330.0,5100.0,2290.0,400.0,656249710.0,656249710.0,656249710.0,4200.0,0.0,,0.0,0.0,0.0
2019-08-02,2300.0,0.0,0.0,2290.0,2190.0,2290.0,-10.0,279600.0,627818000.0,83.0,214.7,2290.0,3200.0,2260.0,300.0,656249710.0,656249710.0,656249710.0,10300.0,0.0,,0.0,0.0,0.0
2019-08-05,2290.0,0.0,0.0,2430.0,2230.0,2250.0,-40.0,747500.0,1734608000.0,77.0,210.9,2290.0,2500.0,2250.0,900.0,656249710.0,656249710.0,656249710.0,84400.0,0.0,,0.0,0.0,0.0
2019-08-06,2250.0,0.0,0.0,2250.0,2230.0,2230.0,-20.0,310300.0,694182000.0,43.0,209.1,2250.0,900.0,2230.0,1100.0,656249710.0,656249710.0,656249710.0,200300.0,0.0,,0.0,0.0,0.0
2019-08-07,2230.0,0.0,0.0,2240.0,2190.0,2240.0,10.0,238400.0,531978000.0,41.0,210.0,2240.0,300.0,2190.0,187800.0,656249710.0,656249710.0,656249710.0,11400.0,0.0,,0.0,0.0,0.0
2019-08-08,2240.0,0.0,0.0,2250.0,2240.0,2240.0,0.0,170700.0,383917000.0,41.0,210.0,2250.0,2900.0,2240.0,48700.0,656249710.0,656249710.0,656249710.0,2200.0,0.0,,0.0,0.0,0.0
2019-08-09,2240.0,0.0,0.0,2250.0,2180.0,2240.0,0.0,640600.0,1413528000.0,105.0,210.0,2280.0,3000.0,2240.0,41300.0,656249710.0,656249710.0,656249710.0,19500.0,1500.0,,0.0,0.0,0.0
