date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,980.0,0.0,0.0,0.0,0.0,980.0,0.0,0.0,0.0,0.0,211.1,1160.0,400.0,980.0,1700.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-07-30,980.0,0.0,0.0,1160.0,1120.0,1140.0,160.0,1900.0,2154000.0,9.0,245.5,1065.0,100.0,985.0,300.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-07-31,1140.0,0.0,0.0,1140.0,1010.0,1060.0,-80.0,1400.0,1454500.0,11.0,228.3,1055.0,100.0,990.0,100.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-01,1060.0,0.0,0.0,1065.0,1015.0,1055.0,-5.0,1100.0,1161500.0,5.0,227.2,1050.0,400.0,985.0,100.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-02,1055.0,0.0,0.0,1050.0,1010.0,1050.0,-5.0,1600.0,1644500.0,8.0,226.1,1050.0,200.0,880.0,1500.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-05,1050.0,0.0,0.0,0.0,0.0,1050.0,0.0,0.0,0.0,0.0,226.1,1050.0,100.0,990.0,300.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-06,1050.0,0.0,0.0,1000.0,990.0,990.0,-60.0,11400.0,11386000.0,7.0,213.2,1040.0,100.0,990.0,1000.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-07,990.0,0.0,0.0,990.0,990.0,990.0,0.0,100.0,99000.0,1.0,213.2,1175.0,300.0,990.0,600.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-08,990.0,0.0,0.0,990.0,985.0,985.0,-5.0,300.0,296500.0,3.0,212.1,1100.0,100.0,880.0,1500.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-09,985.0,0.0,0.0,0.0,0.0,985.0,0.0,0.0,0.0,0.0,212.1,1105.0,100.0,930.0,1000.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-12,985.0,0.0,0.0,0.0,0.0,985.0,0.0,0.0,0.0,0.0,212.1,1015.0,200.0,885.0,500.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-13,985.0,0.0,0.0,980.0,980.0,980.0,-5.0,200.0,196000.0,1.0,211.1,1160.0,400.0,885.0,1000.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-14,980.0,0.0,0.0,980.0,980.0,980.0,0.0,100.0,98000.0,1.0,211.1,1160.0,400.0,890.0,100.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-15,980.0,0.0,0.0,0.0,0.0,980.0,0.0,0.0,0.0,0.0,211.1,1140.0,400.0,890.0,1000.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-16,980.0,0.0,0.0,0.0,0.0,980.0,0.0,0.0,0.0,0.0,211.1,1055.0,300.0,890.0,1000.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-19,980.0,0.0,0.0,0.0,0.0,980.0,0.0,0.0,0.0,0.0,211.1,1160.0,400.0,895.0,500.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-20,980.0,0.0,0.0,0.0,0.0,980.0,0.0,0.0,0.0,0.0,211.1,1065.0,300.0,895.0,1000.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-21,980.0,0.0,0.0,0.0,0.0,980.0,0.0,0.0,0.0,0.0,211.1,1150.0,400.0,885.0,1000.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-22,980.0,0.0,0.0,0.0,0.0,980.0,0.0,0.0,0.0,0.0,211.1,1150.0,100.0,900.0,500.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-23,980.0,0.0,0.0,0.0,0.0,980.0,0.0,0.0,0.0,0.0,211.1,1150.0,400.0,995.0,71500.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-26,980.0,0.0,0.0,0.0,0.0,980.0,0.0,0.0,0.0,0.0,211.1,1150.0,400.0,895.0,500.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-27,980.0,0.0,0.0,0.0,0.0,980.0,0.0,0.0,0.0,0.0,211.1,1140.0,100.0,905.0,1000.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-28,980.0,0.0,0.0,0.0,0.0,980.0,0.0,0.0,0.0,0.0,211.1,1150.0,400.0,905.0,500.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-29,980.0,0.0,0.0,0.0,0.0,980.0,0.0,0.0,0.0,0.0,211.1,1060.0,500.0,925.0,500.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-08-30,980.0,0.0,0.0,0.0,0.0,980.0,0.0,0.0,0.0,0.0,211.1,1090.0,100.0,915.0,500.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-02,980.0,0.0,0.0,970.0,970.0,970.0,-10.0,100.0,97000.0,1.0,208.9,1015.0,100.0,970.0,1200.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-03,970.0,0.0,0.0,950.0,950.0,950.0,-20.0,200.0,190000.0,1.0,204.6,1060.0,100.0,960.0,100.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-04,950.0,0.0,0.0,950.0,905.0,905.0,-45.0,600.0,565500.0,3.0,194.9,950.0,4500.0,905.0,500.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-05,905.0,0.0,0.0,0.0,0.0,905.0,0.0,0.0,0.0,0.0,194.9,1050.0,100.0,935.0,100.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-06,905.0,0.0,0.0,885.0,885.0,885.0,-20.0,1600.0,1416000.0,5.0,190.6,1015.0,200.0,920.0,100.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-09,885.0,0.0,0.0,925.0,885.0,910.0,25.0,1400.0,1252000.0,7.0,196.0,970.0,100.0,900.0,100.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-10,910.0,0.0,0.0,0.0,0.0,910.0,0.0,0.0,0.0,0.0,196.0,965.0,100.0,910.0,200.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-11,910.0,0.0,0.0,885.0,885.0,885.0,-25.0,100.0,88500.0,1.0,190.6,965.0,100.0,905.0,100.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-12,885.0,0.0,0.0,0.0,0.0,885.0,0.0,0.0,0.0,0.0,190.6,970.0,100.0,895.0,100.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-13,885.0,0.0,0.0,0.0,0.0,885.0,0.0,0.0,0.0,0.0,190.6,965.0,100.0,910.0,100.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-16,885.0,0.0,0.0,0.0,0.0,885.0,0.0,0.0,0.0,0.0,190.6,965.0,100.0,895.0,100.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-17,885.0,0.0,0.0,890.0,890.0,890.0,5.0,200.0,178000.0,1.0,191.7,965.0,100.0,895.0,100.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-18,890.0,0.0,0.0,0.0,0.0,890.0,0.0,0.0,0.0,0.0,191.7,965.0,100.0,905.0,100.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-19,890.0,0.0,0.0,0.0,0.0,890.0,0.0,0.0,0.0,0.0,191.7,965.0,100.0,895.0,100.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-20,890.0,0.0,0.0,0.0,0.0,890.0,0.0,0.0,0.0,0.0,191.7,965.0,100.0,825.0,300.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-23,890.0,0.0,0.0,890.0,825.0,840.0,-50.0,400.0,338500.0,4.0,180.9,960.0,300.0,850.0,100.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-24,840.0,0.0,0.0,0.0,0.0,840.0,0.0,0.0,0.0,0.0,180.9,965.0,100.0,820.0,100.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-25,840.0,0.0,0.0,0.0,0.0,840.0,0.0,0.0,0.0,0.0,180.9,965.0,100.0,890.0,500.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-26,840.0,0.0,0.0,815.0,815.0,815.0,-25.0,100.0,81500.0,1.0,175.5,950.0,100.0,870.0,100.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-27,815.0,0.0,0.0,810.0,810.0,810.0,-5.0,400.0,324000.0,2.0,174.4,965.0,100.0,810.0,600.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-09-30,810.0,0.0,0.0,0.0,0.0,810.0,0.0,0.0,0.0,0.0,174.4,955.0,100.0,810.0,3200.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-01,810.0,0.0,0.0,0.0,0.0,810.0,0.0,0.0,0.0,0.0,174.4,965.0,100.0,815.0,1000.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-02,810.0,0.0,0.0,0.0,0.0,810.0,0.0,0.0,0.0,0.0,174.4,985.0,100.0,810.0,1000.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-03,810.0,0.0,0.0,0.0,0.0,810.0,0.0,0.0,0.0,0.0,174.4,980.0,100.0,825.0,300.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-04,810.0,0.0,0.0,810.0,810.0,810.0,0.0,2000.0,1620000.0,3.0,174.4,985.0,100.0,820.0,10000.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-07,810.0,0.0,0.0,0.0,0.0,810.0,0.0,0.0,0.0,0.0,174.4,945.0,100.0,810.0,2300.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-08,810.0,0.0,0.0,0.0,0.0,810.0,0.0,0.0,0.0,0.0,174.4,945.0,100.0,640.0,100.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-09,810.0,0.0,0.0,0.0,0.0,810.0,0.0,0.0,0.0,0.0,174.4,945.0,100.0,825.0,1000.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-10,810.0,0.0,0.0,0.0,0.0,810.0,0.0,0.0,0.0,0.0,174.4,945.0,100.0,825.0,1000.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-11,810.0,0.0,0.0,945.0,930.0,935.0,125.0,500.0,468000.0,5.0,201.4,950.0,100.0,915.0,100.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-14,935.0,0.0,0.0,945.0,935.0,935.0,0.0,200.0,188000.0,2.0,201.4,950.0,100.0,825.0,700.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-15,935.0,0.0,0.0,950.0,950.0,950.0,15.0,100.0,95000.0,1.0,204.6,1090.0,100.0,770.0,1000.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-16,950.0,0.0,0.0,0.0,0.0,950.0,0.0,0.0,0.0,0.0,204.6,995.0,100.0,790.0,600.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-17,950.0,0.0,0.0,0.0,0.0,950.0,0.0,0.0,0.0,0.0,204.6,1000.0,1000.0,770.0,1000.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-18,950.0,0.0,0.0,0.0,0.0,950.0,0.0,0.0,0.0,0.0,204.6,1090.0,200.0,885.0,200.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-21,950.0,0.0,0.0,0.0,0.0,950.0,0.0,0.0,0.0,0.0,204.6,1075.0,1000.0,780.0,400.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-22,950.0,0.0,0.0,850.0,850.0,850.0,-100.0,200.0,170000.0,2.0,183.1,1065.0,900.0,865.0,1000.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-23,850.0,0.0,0.0,0.0,0.0,850.0,0.0,0.0,0.0,0.0,183.1,1040.0,200.0,855.0,1000.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-24,850.0,0.0,0.0,0.0,0.0,850.0,0.0,0.0,0.0,0.0,183.1,1045.0,1000.0,815.0,1000.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-25,850.0,0.0,0.0,900.0,900.0,900.0,50.0,100.0,90000.0,1.0,193.8,985.0,100.0,815.0,300.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-28,900.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,193.8,1080.0,400.0,815.0,1000.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-29,900.0,0.0,0.0,900.0,900.0,900.0,0.0,1000.0,900000.0,2.0,193.8,1085.0,400.0,835.0,100.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-30,900.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,193.8,1070.0,100.0,835.0,100.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-10-31,900.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,193.8,1105.0,100.0,815.0,700.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
2019-11-01,900.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,193.8,995.0,700.0,815.0,600.0,2318736000.0,2318736000.0,2318736000.0,0.0,0.0,,0.0,0.0,0.0
