date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2023-10-06,120.0,0.0,0.0,142.0,84.0,84.0,-36.0,554147700.0,57183573700.0,45075.0,70.0,85.0,97600.0,84.0,724300.0,4415590000.0,450000000.0,889620000.0,15127100.0,14799800.0,,0.0,0.0,0.0
2023-10-09,84.0,0.0,0.0,86.0,60.0,68.0,-16.0,129297000.0,9842149900.0,11748.0,56.7,69.0,275300.0,68.0,5140900.0,4415590000.0,450000000.0,889620000.0,4206800.0,5217700.0,,0.0,0.0,0.0
2023-10-10,68.0,0.0,0.0,78.0,69.0,77.0,9.0,101527200.0,7518052600.0,8765.0,64.2,78.0,2017100.0,77.0,535600.0,4415590000.0,450000000.0,889620000.0,4356700.0,4150300.0,,1500.0,175500.0,1.0
2023-10-11,77.0,0.0,0.0,78.0,70.0,72.0,-5.0,37749700.0,2775914400.0,3200.0,60.0,73.0,76300.0,72.0,2149700.0,4415590000.0,450000000.0,889620000.0,50000.0,127000.0,,0.0,0.0,0.0
2023-10-12,72.0,0.0,0.0,74.0,68.0,69.0,-3.0,24588700.0,1741093900.0,2372.0,57.5,70.0,23300.0,69.0,386100.0,4415590000.0,450000000.0,889620000.0,29400.0,101800.0,,0.0,0.0,0.0
2023-10-13,69.0,0.0,0.0,71.0,61.0,67.0,-2.0,16164200.0,1107224800.0,1508.0,55.8,68.0,394600.0,67.0,5209600.0,4415590000.0,450000000.0,889620000.0,14700.0,104300.0,,0.0,0.0,0.0
2023-10-16,67.0,0.0,0.0,73.0,66.0,69.0,2.0,35695300.0,2463368400.0,3365.0,57.5,69.0,5000.0,68.0,7300.0,4415590000.0,450000000.0,889620000.0,22000.0,16200.0,,0.0,0.0,0.0
2023-10-17,69.0,0.0,0.0,70.0,66.0,67.0,-2.0,18816000.0,1269621800.0,1051.0,55.8,68.0,268300.0,67.0,105600.0,4415590000.0,450000000.0,889620000.0,27100.0,74600.0,,0.0,0.0,0.0
2023-10-18,67.0,0.0,0.0,68.0,64.0,66.0,-1.0,17682300.0,1162057400.0,1135.0,55.0,67.0,1372400.0,66.0,12227900.0,4415590000.0,450000000.0,889620000.0,0.0,42500.0,,0.0,0.0,0.0
2023-10-19,66.0,0.0,0.0,75.0,65.0,66.0,0.0,20144700.0,1348197800.0,3442.0,55.0,66.0,113200.0,65.0,1947700.0,4415590000.0,450000000.0,889620000.0,42500.0,28800.0,,0.0,0.0,0.0
