date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2025-01-08,452.0,545.0,540.0,565.0,492.0,565.0,113.0,85871200.0,46167234600.0,35132.0,125.0,0.0,0.0,565.0,16137800.0,2137831800.0,2137831800.0,320674800.0,350900.0,873700.0,,7800.0,4258000.0,16.0
2025-01-09,565.0,610.0,610.0,635.0,424.0,424.0,-141.0,169130100.0,87315975500.0,52633.0,93.8,424.0,795000.0,0.0,0.0,2137831800.0,2137831800.0,320674800.0,1586200.0,108400.0,,0.0,0.0,0.0
2025-01-10,424.0,406.0,408.0,426.0,320.0,326.0,-98.0,92887600.0,32168776200.0,18964.0,72.1,328.0,83400.0,326.0,9600.0,2137831800.0,2137831800.0,320674800.0,1001400.0,1025100.0,,0.0,0.0,0.0
2025-01-13,326.0,338.0,338.0,350.0,322.0,326.0,0.0,32127800.0,10682230600.0,7221.0,72.1,328.0,68300.0,326.0,75100.0,2137831800.0,2137831800.0,320674800.0,73600.0,422300.0,,0.0,0.0,0.0
2025-01-14,326.0,326.0,328.0,338.0,308.0,312.0,-14.0,11140000.0,3582504200.0,3596.0,69.0,312.0,169500.0,310.0,7600.0,2137831800.0,2137831800.0,320674800.0,42200.0,95500.0,,0.0,0.0,0.0
2025-01-15,312.0,310.0,310.0,310.0,276.0,290.0,-22.0,13512800.0,3952681400.0,4239.0,64.2,290.0,829100.0,288.0,167200.0,2137831800.0,2137831800.0,320674800.0,637300.0,156700.0,,0.0,0.0,0.0
2025-01-16,290.0,290.0,290.0,348.0,254.0,320.0,30.0,39631000.0,12491641600.0,10134.0,70.8,322.0,19500.0,320.0,200.0,2137831800.0,2137831800.0,320674800.0,861200.0,1198500.0,,0.0,0.0,0.0
2025-01-17,320.0,320.0,320.0,322.0,292.0,300.0,-20.0,9739700.0,2978031600.0,3137.0,66.4,302.0,5400.0,300.0,20800.0,2137831800.0,2137831800.0,320674800.0,144300.0,164800.0,,0.0,0.0,0.0
2025-01-20,300.0,304.0,306.0,308.0,288.0,292.0,-8.0,3747400.0,1103058400.0,1796.0,64.6,292.0,14500.0,290.0,24500.0,2137831800.0,2137831800.0,320674800.0,104800.0,258400.0,,0.0,0.0,0.0
2025-01-21,292.0,292.0,292.0,298.0,278.0,282.0,-10.0,4451800.0,1259278400.0,1727.0,62.4,284.0,15500.0,282.0,12800.0,2137831800.0,2137831800.0,320674800.0,166900.0,81700.0,,0.0,0.0,0.0
2025-01-22,282.0,282.0,282.0,292.0,272.0,274.0,-8.0,5658300.0,1576424200.0,1923.0,60.6,278.0,15700.0,272.0,164300.0,2137831800.0,2137831800.0,320674800.0,166200.0,108000.0,,0.0,0.0,0.0
2025-01-23,274.0,274.0,276.0,292.0,270.0,274.0,0.0,7067200.0,1971139800.0,1903.0,60.6,276.0,1600.0,274.0,114800.0,2137831800.0,2137831800.0,320674800.0,264600.0,145900.0,,0.0,0.0,0.0
2025-01-24,274.0,274.0,274.0,274.0,264.0,270.0,-4.0,2258800.0,608014600.0,856.0,59.7,270.0,105900.0,268.0,137700.0,2137831800.0,2137831800.0,320674800.0,140200.0,221400.0,,0.0,0.0,0.0
2025-01-30,270.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,59.7,0.0,0.0,0.0,0.0,2137831800.0,2137831800.0,320674800.0,0.0,0.0,,0.0,0.0,0.0
2025-01-31,270.0,292.0,290.0,300.0,266.0,272.0,2.0,7674400.0,2159607200.0,2479.0,60.2,274.0,18300.0,272.0,92800.0,2137831800.0,2137831800.0,320674800.0,352500.0,384700.0,,0.0,0.0,0.0
2025-02-03,272.0,272.0,272.0,272.0,246.0,252.0,-20.0,4561900.0,1160713400.0,1335.0,55.8,252.0,39700.0,250.0,35800.0,2137831800.0,2137831800.0,320674800.0,188500.0,237900.0,,0.0,0.0,0.0
2025-02-04,252.0,250.0,250.0,252.0,236.0,238.0,-14.0,2924800.0,710748800.0,923.0,52.7,240.0,33600.0,238.0,63400.0,2137831800.0,2137831800.0,320674800.0,126900.0,590100.0,,0.0,0.0,0.0
2025-02-05,238.0,238.0,236.0,254.0,230.0,236.0,-2.0,3923400.0,943799800.0,1847.0,52.2,238.0,20500.0,234.0,47700.0,2137831800.0,2137831800.0,320674800.0,418100.0,99400.0,,0.0,0.0,0.0
2025-02-06,236.0,242.0,240.0,242.0,224.0,226.0,-10.0,2851900.0,650461400.0,854.0,50.0,228.0,2500.0,226.0,3400.0,2137831800.0,2137831800.0,320674800.0,112500.0,47200.0,,0.0,0.0,0.0
2025-02-07,226.0,226.0,226.0,226.0,212.0,218.0,-8.0,2136300.0,465980200.0,802.0,48.2,220.0,28400.0,218.0,15100.0,2137831800.0,2137831800.0,320674800.0,67900.0,101700.0,,0.0,0.0,0.0
2025-02-10,218.0,210.0,210.0,242.0,200.0,218.0,0.0,7977600.0,1804839800.0,2536.0,48.2,224.0,6000.0,218.0,129000.0,2137831800.0,2137831800.0,320674800.0,212400.0,28000.0,,0.0,0.0,0.0
2025-02-11,218.0,220.0,220.0,238.0,214.0,220.0,2.0,2626500.0,587619400.0,1173.0,48.7,222.0,4500.0,220.0,38800.0,2137831800.0,2137831800.0,320674800.0,16900.0,0.0,,0.0,0.0,0.0
2025-02-12,220.0,220.0,220.0,230.0,218.0,222.0,2.0,790100.0,176651800.0,529.0,49.1,226.0,69500.0,222.0,23200.0,2137831800.0,2137831800.0,320674800.0,20800.0,138600.0,,0.0,0.0,0.0
2025-02-13,222.0,228.0,224.0,228.0,218.0,222.0,0.0,442700.0,97700800.0,419.0,49.1,224.0,47500.0,218.0,109400.0,2137831800.0,2137831800.0,320674800.0,32800.0,15400.0,,0.0,0.0,0.0
2025-02-14,222.0,222.0,222.0,228.0,216.0,216.0,-6.0,818900.0,179713800.0,444.0,47.8,218.0,4200.0,216.0,170100.0,2137831800.0,2137831800.0,320674800.0,120800.0,91100.0,,0.0,0.0,0.0
2025-02-17,216.0,214.0,214.0,234.0,210.0,224.0,8.0,1259300.0,274218400.0,926.0,49.6,224.0,95400.0,220.0,800.0,2137831800.0,2137831800.0,320674800.0,93500.0,34400.0,,0.0,0.0,0.0
2025-02-18,224.0,220.0,220.0,228.0,220.0,224.0,0.0,739800.0,165867400.0,322.0,49.6,226.0,26000.0,224.0,14400.0,2137831800.0,2137831800.0,320674800.0,9300.0,50700.0,,0.0,0.0,0.0
2025-02-19,224.0,230.0,228.0,236.0,222.0,230.0,6.0,1355500.0,310920000.0,712.0,50.9,232.0,5000.0,230.0,1084900.0,2137831800.0,2137831800.0,320674800.0,41300.0,68100.0,,0.0,0.0,0.0
2025-02-20,230.0,234.0,234.0,236.0,222.0,222.0,-8.0,1404200.0,318831400.0,557.0,49.1,228.0,22000.0,222.0,60600.0,2137831800.0,2137831800.0,320674800.0,26500.0,6900.0,,0.0,0.0,0.0
2025-02-21,222.0,222.0,224.0,228.0,218.0,220.0,-2.0,745200.0,164427000.0,327.0,48.7,222.0,12100.0,220.0,400.0,2137831800.0,2137831800.0,320674800.0,27100.0,0.0,,0.0,0.0,0.0
2025-02-24,220.0,222.0,222.0,224.0,218.0,220.0,0.0,525100.0,115578800.0,273.0,48.7,222.0,1600.0,220.0,3000.0,2137831800.0,2137831800.0,320674800.0,4100.0,0.0,,0.0,0.0,0.0
2025-02-25,220.0,212.0,216.0,224.0,208.0,212.0,-8.0,1486800.0,320597400.0,538.0,46.9,214.0,600.0,212.0,22100.0,2137831800.0,2137831800.0,320674800.0,18600.0,24500.0,,0.0,0.0,0.0
2025-02-26,212.0,212.0,212.0,222.0,208.0,216.0,4.0,647200.0,138933000.0,263.0,47.8,216.0,77800.0,210.0,43500.0,2137831800.0,2137831800.0,320674800.0,19100.0,0.0,,0.0,0.0,0.0
2025-02-27,216.0,216.0,214.0,218.0,208.0,210.0,-6.0,537200.0,114337400.0,202.0,46.5,214.0,1600.0,210.0,6400.0,2137831800.0,2137831800.0,320674800.0,13300.0,0.0,,0.0,0.0,0.0
2025-02-28,210.0,210.0,208.0,216.0,190.0,191.0,-19.0,1343900.0,271943300.0,487.0,42.3,198.0,1000.0,191.0,17700.0,2137831800.0,2137831800.0,320674800.0,100.0,248600.0,,0.0,0.0,0.0
2025-03-03,191.0,0.0,0.0,0.0,0.0,191.0,0.0,0.0,0.0,0.0,42.3,0.0,0.0,0.0,0.0,2137831800.0,2137831800.0,320674800.0,0.0,0.0,,0.0,0.0,0.0
2025-03-04,191.0,0.0,0.0,0.0,0.0,191.0,0.0,0.0,0.0,0.0,42.3,0.0,0.0,0.0,0.0,2137831800.0,2137831800.0,320674800.0,0.0,0.0,,0.0,0.0,0.0
2025-03-05,191.0,0.0,0.0,179.0,175.0,178.0,-13.0,846300.0,148838700.0,235.0,39.4,178.0,300.0,177.0,12300.0,2137831800.0,2137831800.0,320674800.0,0.0,0.0,,0.0,0.0,0.0
2025-03-06,178.0,0.0,0.0,182.0,175.0,182.0,4.0,575200.0,103228300.0,170.0,40.3,183.0,1300.0,182.0,8700.0,2137831800.0,2137831800.0,320674800.0,0.0,0.0,,0.0,0.0,0.0
