date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2023-01-27,100.0,0.0,0.0,135.0,135.0,135.0,35.0,34839600.0,4703346000.0,5821.0,135.0,0.0,0.0,135.0,387460500.0,2149840000.0,700000000.0,700000000.0,15400.0,0.0,,285900.0,30811500.0,10.0
2023-01-30,135.0,0.0,0.0,182.0,139.0,139.0,4.0,553018400.0,84393589200.0,61761.0,139.0,140.0,137400.0,139.0,2165800.0,2149840000.0,700000000.0,700000000.0,801500.0,24498100.0,,0.0,0.0,0.0
2023-01-31,139.0,0.0,0.0,148.0,130.0,130.0,-9.0,103415300.0,14179415900.0,14330.0,130.0,130.0,2870600.0,0.0,0.0,2149840000.0,700000000.0,700000000.0,919200.0,142000.0,,0.0,0.0,0.0
2023-02-01,130.0,0.0,0.0,135.0,121.0,131.0,1.0,43444600.0,5690948700.0,5498.0,131.0,132.0,74400.0,131.0,1148600.0,2149840000.0,700000000.0,700000000.0,272900.0,0.0,,0.0,0.0,0.0
2023-02-02,131.0,0.0,0.0,145.0,129.0,141.0,10.0,104934400.0,14707836700.0,11345.0,141.0,142.0,335400.0,141.0,2075100.0,2149840000.0,700000000.0,700000000.0,1570400.0,6713900.0,,0.0,0.0,0.0
2023-02-03,141.0,0.0,0.0,157.0,138.0,153.0,12.0,269269200.0,40455243200.0,43821.0,153.0,153.0,10086400.0,152.0,15021900.0,2149840000.0,700000000.0,700000000.0,4222200.0,606200.0,,0.0,0.0,0.0
2023-02-06,153.0,0.0,0.0,159.0,144.0,144.0,-9.0,89838200.0,13789224200.0,12449.0,144.0,144.0,112500.0,143.0,1080300.0,2149840000.0,700000000.0,700000000.0,413900.0,774500.0,,0.0,0.0,0.0
2023-02-07,144.0,0.0,0.0,156.0,144.0,152.0,8.0,70084000.0,10694275300.0,23257.0,152.0,153.0,404100.0,152.0,520700.0,2149840000.0,700000000.0,700000000.0,4312200.0,132100.0,,0.0,0.0,0.0
2023-02-08,152.0,0.0,0.0,181.0,151.0,173.0,21.0,208499300.0,34933209500.0,30604.0,173.0,173.0,108200.0,172.0,321600.0,2149840000.0,700000000.0,700000000.0,5280900.0,440900.0,,0.0,0.0,0.0
2023-02-09,173.0,0.0,0.0,210.0,167.0,206.0,33.0,324717100.0,61991743100.0,30472.0,206.0,208.0,1686000.0,206.0,2289200.0,2149840000.0,700000000.0,700000000.0,3651800.0,319100.0,,0.0,0.0,0.0
2023-02-10,206.0,0.0,0.0,250.0,202.0,244.0,38.0,200114100.0,46642814400.0,23307.0,244.0,246.0,1543900.0,244.0,42500.0,2149840000.0,700000000.0,700000000.0,8516200.0,381000.0,,0.0,0.0,0.0
2023-02-13,244.0,0.0,0.0,280.0,228.0,228.0,-16.0,192780800.0,49189259600.0,39602.0,228.0,228.0,9299000.0,0.0,0.0,2149840000.0,700000000.0,700000000.0,2142100.0,227100.0,,0.0,0.0,0.0
2023-02-14,228.0,0.0,0.0,284.0,214.0,214.0,-14.0,21290700.0,4556463200.0,910.0,214.0,214.0,28993200.0,0.0,0.0,2149840000.0,700000000.0,700000000.0,0.0,100000.0,,0.0,0.0,0.0
2023-02-15,214.0,0.0,0.0,210.0,200.0,200.0,-14.0,10601800.0,2120460000.0,844.0,200.0,200.0,28905400.0,0.0,0.0,2149840000.0,700000000.0,700000000.0,0.0,28500.0,,0.0,0.0,0.0
