date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2024-12-19,1650.0,1550.0,1540.0,1900.0,1240.0,1690.0,40.0,428916600.0,721217364500.0,106344.0,102.4,1700.0,28200.0,1690.0,1426200.0,25190392000.0,3598887400.0,2519039400.0,86589900.0,196039000.0,,68195575.0,118322032750.0,6.0
2024-12-20,1690.0,1650.0,1645.0,1765.0,1550.0,1700.0,10.0,56948100.0,96538162500.0,16364.0,103.0,1700.0,539700.0,1695.0,8400.0,25190392000.0,3598887400.0,2519039400.0,12815200.0,15516300.0,,0.0,0.0,0.0
2024-12-23,1700.0,1700.0,1705.0,1750.0,1690.0,1710.0,10.0,11707400.0,20004999500.0,5942.0,103.6,1715.0,11400.0,1710.0,70300.0,25190392000.0,3598887400.0,2519039400.0,626000.0,3980100.0,,0.0,0.0,0.0
2024-12-24,1710.0,1710.0,1715.0,1775.0,1695.0,1755.0,45.0,15376400.0,26731779500.0,4184.0,106.4,1755.0,122000.0,1750.0,23800.0,25190392000.0,3598887400.0,2519039400.0,3645600.0,4974700.0,,0.0,0.0,0.0
2024-12-27,1755.0,1780.0,1780.0,1815.0,1725.0,1790.0,35.0,19720200.0,35251485000.0,4680.0,108.5,1795.0,253900.0,1790.0,6200.0,25190392000.0,3598887400.0,2519039400.0,6342200.0,5936400.0,,0.0,0.0,0.0
2024-12-30,1790.0,1790.0,1795.0,1825.0,1760.0,1780.0,-10.0,4866300.0,8724669500.0,2220.0,107.9,1790.0,15000.0,1780.0,2400.0,25190392000.0,3598887400.0,2519039400.0,481700.0,1419100.0,,10400000.0,22152000000.0,1.0
2025-01-02,1780.0,1780.0,1785.0,1795.0,1675.0,1730.0,-50.0,6036000.0,10417432000.0,2999.0,104.8,1735.0,12100.0,1730.0,66400.0,25190392000.0,3598887400.0,2519039400.0,950300.0,2309500.0,,0.0,0.0,0.0
2025-01-03,1730.0,1735.0,1735.0,1745.0,1690.0,1700.0,-30.0,4580200.0,7830056000.0,1536.0,103.0,1705.0,8000.0,1700.0,800.0,25190392000.0,3598887400.0,2519039400.0,1277800.0,2258200.0,,0.0,0.0,0.0
2025-01-06,1700.0,1700.0,1700.0,1735.0,1600.0,1710.0,10.0,4453400.0,7564377500.0,1788.0,103.6,1710.0,17200.0,1705.0,11100.0,25190392000.0,3598887400.0,2519039400.0,1708500.0,2762100.0,,0.0,0.0,0.0
2025-01-07,1710.0,1710.0,1710.0,1725.0,1695.0,1705.0,-5.0,2060900.0,3512406000.0,666.0,103.3,1710.0,5000.0,1705.0,343100.0,25190392000.0,3598887400.0,2519039400.0,981900.0,1387800.0,,0.0,0.0,0.0
2025-01-08,1705.0,1705.0,1710.0,1785.0,1700.0,1770.0,65.0,2673100.0,4676607500.0,1665.0,107.3,1770.0,997900.0,1760.0,1100.0,25190392000.0,3598887400.0,2519039400.0,801900.0,1249400.0,,0.0,0.0,0.0
2025-01-09,1770.0,1765.0,1770.0,1770.0,1730.0,1730.0,-40.0,1526400.0,2648039500.0,674.0,104.8,1735.0,13100.0,1730.0,307500.0,25190392000.0,3598887400.0,2519039400.0,932400.0,578800.0,,290100.0,503903700.0,12.0
2025-01-10,1730.0,1730.0,1730.0,1730.0,1690.0,1705.0,-25.0,2001700.0,3410687500.0,533.0,103.3,1705.0,22400.0,1700.0,7100.0,25190392000.0,3598887400.0,2519039400.0,624700.0,908200.0,,0.0,0.0,0.0
2025-01-13,1705.0,1700.0,1700.0,1730.0,1675.0,1700.0,-5.0,1801100.0,3061471500.0,619.0,103.0,1715.0,1100.0,1700.0,95000.0,25190392000.0,3598887400.0,2519039400.0,545600.0,1093800.0,,1364300.0,2322038600.0,8.0
2025-01-14,1700.0,1700.0,1705.0,1710.0,1700.0,1700.0,0.0,369900.0,630181500.0,260.0,103.0,1705.0,67900.0,1700.0,139900.0,25190392000.0,3598887400.0,2519039400.0,67000.0,85600.0,,0.0,0.0,0.0
2025-01-15,1700.0,1700.0,1700.0,1700.0,1665.0,1675.0,-25.0,892400.0,1494962000.0,435.0,101.5,1680.0,958500.0,1675.0,16300.0,25190392000.0,3598887400.0,2519039400.0,221000.0,564000.0,,0.0,0.0,0.0
