date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2022-08-10,125.0,0.0,0.0,168.0,168.0,168.0,43.0,55249600.0,9281932800.0,7132.0,134.4,0.0,0.0,168.0,56542400.0,1562500000.0,312500000.0,312500000.0,3473900.0,2359700.0,,0.0,0.0,0.0
2022-08-11,168.0,0.0,0.0,226.0,157.0,186.0,18.0,317716000.0,62883067100.0,38917.0,148.8,187.0,348300.0,186.0,1545000.0,1562500000.0,312500000.0,312500000.0,4074100.0,4131300.0,,0.0,0.0,0.0
2022-08-12,186.0,0.0,0.0,195.0,173.0,192.0,6.0,50919900.0,9420556600.0,7687.0,153.6,193.0,76900.0,192.0,763600.0,1562500000.0,312500000.0,312500000.0,1369400.0,1390000.0,,0.0,0.0,0.0
2022-08-15,192.0,0.0,0.0,258.0,188.0,258.0,66.0,182428500.0,41439258100.0,18919.0,206.4,0.0,0.0,258.0,7005000.0,1562500000.0,312500000.0,312500000.0,4171900.0,1715400.0,,0.0,0.0,0.0
2022-08-16,258.0,0.0,0.0,316.0,240.0,284.0,26.0,266788800.0,74687752200.0,33037.0,227.2,284.0,776600.0,282.0,25100.0,1562500000.0,312500000.0,312500000.0,4976700.0,5218900.0,,0.0,0.0,0.0
2022-08-18,284.0,0.0,0.0,346.0,270.0,342.0,58.0,149165100.0,48565143800.0,20998.0,273.6,344.0,158500.0,342.0,2002200.0,1562500000.0,312500000.0,312500000.0,436000.0,422300.0,,0.0,0.0,0.0
2022-08-19,342.0,0.0,0.0,426.0,344.0,426.0,84.0,139502700.0,55986173200.0,22332.0,340.8,0.0,0.0,426.0,8010800.0,1562500000.0,312500000.0,312500000.0,1944400.0,769800.0,,0.0,0.0,0.0
2022-08-22,426.0,0.0,0.0,515.0,398.0,476.0,50.0,210900300.0,99037350700.0,37354.0,380.8,478.0,57100.0,476.0,461800.0,1562500000.0,312500000.0,312500000.0,4446500.0,2178500.0,,0.0,0.0,0.0
2022-08-23,476.0,0.0,0.0,520.0,444.0,444.0,-32.0,104808500.0,48605988300.0,17830.0,355.2,444.0,3236000.0,0.0,0.0,1562500000.0,312500000.0,312500000.0,5652000.0,5450700.0,,0.0,0.0,0.0
2022-08-24,444.0,0.0,0.0,454.0,414.0,414.0,-30.0,32131600.0,13911793000.0,4791.0,331.2,414.0,7321900.0,0.0,0.0,1562500000.0,312500000.0,312500000.0,664000.0,2788600.0,,0.0,0.0,0.0
2022-08-25,414.0,0.0,0.0,408.0,386.0,386.0,-28.0,8723000.0,3402722600.0,1511.0,308.8,386.0,8090500.0,0.0,0.0,1562500000.0,312500000.0,312500000.0,442400.0,689400.0,,0.0,0.0,0.0
2022-08-26,386.0,0.0,0.0,458.0,360.0,430.0,44.0,175003000.0,72459305800.0,23179.0,344.0,430.0,437500.0,428.0,342900.0,1562500000.0,312500000.0,312500000.0,3422700.0,1997300.0,,0.0,0.0,0.0
2022-08-29,430.0,0.0,0.0,440.0,400.0,400.0,-30.0,84455900.0,34756026400.0,8286.0,320.0,400.0,3018000.0,0.0,0.0,1562500000.0,312500000.0,312500000.0,6224100.0,5086800.0,,0.0,0.0,0.0
2022-08-30,400.0,0.0,0.0,402.0,372.0,372.0,-28.0,46279400.0,17491173400.0,6709.0,297.6,372.0,959300.0,0.0,0.0,1562500000.0,312500000.0,312500000.0,1535600.0,2649300.0,,0.0,0.0,0.0
2022-08-31,372.0,0.0,0.0,376.0,346.0,346.0,-26.0,44951900.0,15689702400.0,5800.0,276.8,346.0,1111700.0,0.0,0.0,1562500000.0,312500000.0,312500000.0,2869300.0,3313200.0,,0.0,0.0,0.0
2022-09-01,346.0,0.0,0.0,354.0,322.0,322.0,-24.0,23036200.0,7530463400.0,2269.0,257.6,322.0,2565700.0,0.0,0.0,1562500000.0,312500000.0,312500000.0,99700.0,170600.0,,0.0,0.0,0.0
2022-09-02,322.0,0.0,0.0,332.0,300.0,300.0,-22.0,35768500.0,10811688000.0,3178.0,240.0,300.0,5018600.0,0.0,0.0,1562500000.0,312500000.0,312500000.0,873600.0,107500.0,,0.0,0.0,0.0
2022-09-05,300.0,0.0,0.0,300.0,280.0,280.0,-20.0,16012300.0,4515695400.0,1304.0,224.0,280.0,5770600.0,0.0,0.0,1562500000.0,312500000.0,312500000.0,55500.0,780700.0,,0.0,0.0,0.0
2022-09-06,280.0,0.0,0.0,312.0,262.0,282.0,2.0,157032500.0,44907655400.0,16275.0,225.6,282.0,606300.0,280.0,247300.0,1562500000.0,312500000.0,312500000.0,7653400.0,6300500.0,,0.0,0.0,0.0
2022-09-07,282.0,0.0,0.0,292.0,272.0,274.0,-8.0,27096600.0,7616886000.0,3480.0,219.2,274.0,18000.0,272.0,312500.0,1562500000.0,312500000.0,312500000.0,1074800.0,773800.0,,0.0,0.0,0.0
2022-09-08,274.0,0.0,0.0,286.0,256.0,278.0,4.0,60085100.0,16320633600.0,7956.0,222.4,278.0,33000.0,276.0,120400.0,1562500000.0,312500000.0,312500000.0,1019200.0,2493500.0,,0.0,0.0,0.0
2022-09-09,278.0,0.0,0.0,282.0,266.0,268.0,-10.0,22933100.0,6271640000.0,3558.0,214.4,270.0,119300.0,268.0,117600.0,1562500000.0,312500000.0,312500000.0,572700.0,230300.0,,0.0,0.0,0.0
2022-09-12,268.0,0.0,0.0,270.0,250.0,252.0,-16.0,10237700.0,2628516800.0,2107.0,201.6,252.0,86900.0,250.0,2728300.0,1562500000.0,312500000.0,312500000.0,861800.0,200400.0,,0.0,0.0,0.0
2022-09-13,252.0,0.0,0.0,296.0,252.0,284.0,32.0,87183500.0,24600880400.0,11998.0,227.2,286.0,44800.0,284.0,282300.0,1562500000.0,312500000.0,312500000.0,1254400.0,1301200.0,,0.0,0.0,0.0
2022-09-14,284.0,0.0,0.0,308.0,274.0,290.0,6.0,70639000.0,20804066000.0,10010.0,232.0,292.0,165600.0,290.0,197100.0,1562500000.0,312500000.0,312500000.0,1553100.0,1471900.0,,0.0,0.0,0.0
2022-09-15,290.0,0.0,0.0,296.0,270.0,282.0,-8.0,72545100.0,20413583400.0,8030.0,225.6,282.0,1266000.0,280.0,18100.0,1562500000.0,312500000.0,312500000.0,1692300.0,2958200.0,,0.0,0.0,0.0
2022-09-16,282.0,0.0,0.0,292.0,276.0,276.0,-6.0,14342800.0,4061629200.0,4332.0,220.8,276.0,826300.0,274.0,304900.0,1562500000.0,312500000.0,312500000.0,1504500.0,417300.0,,0.0,0.0,0.0
2022-09-19,276.0,0.0,0.0,286.0,262.0,286.0,10.0,21066700.0,5844989200.0,3656.0,228.8,286.0,851600.0,284.0,75200.0,1562500000.0,312500000.0,312500000.0,746800.0,97700.0,,0.0,0.0,0.0
