date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2024-02-07,268.0,0.0,0.0,334.0,278.0,334.0,66.0,65982300.0,22033823600.0,8941.0,124.6,0.0,0.0,334.0,247597800.0,1562500000.0,312500000.0,312500000.0,884400.0,17000.0,,1100.0,308000.0,1.0
2024-02-12,334.0,0.0,0.0,416.0,252.0,252.0,-82.0,907187500.0,311714681200.0,206399.0,94.0,252.0,13993500.0,0.0,0.0,1562500000.0,312500000.0,312500000.0,3124700.0,16066300.0,,0.0,0.0,0.0
2024-02-13,252.0,0.0,0.0,306.0,189.0,189.0,-63.0,171220000.0,37997766000.0,32299.0,70.5,189.0,19922300.0,0.0,0.0,1562500000.0,312500000.0,312500000.0,807300.0,2259600.0,,18500000.0,3496500000.0,1.0
2024-02-15,189.0,0.0,0.0,170.0,125.0,135.0,-54.0,135906200.0,19369842100.0,18182.0,50.4,136.0,85000.0,135.0,43400.0,1562500000.0,312500000.0,312500000.0,535800.0,85800.0,,0.0,0.0,0.0
2024-02-16,135.0,0.0,0.0,149.0,127.0,142.0,7.0,88925000.0,12508598100.0,11797.0,53.0,142.0,1036200.0,141.0,84119900.0,1562500000.0,312500000.0,312500000.0,81800.0,101400.0,,0.0,0.0,0.0
2024-02-19,142.0,0.0,0.0,153.0,136.0,136.0,-6.0,101804600.0,14690893400.0,15326.0,50.7,137.0,51000.0,136.0,112500.0,1562500000.0,312500000.0,312500000.0,69000.0,90000.0,,0.0,0.0,0.0
2024-02-20,136.0,0.0,0.0,142.0,133.0,135.0,-1.0,39738000.0,5500246700.0,27542.0,50.4,135.0,841600.0,134.0,76000.0,1562500000.0,312500000.0,312500000.0,89100.0,265800.0,,0.0,0.0,0.0
2024-02-21,135.0,0.0,0.0,134.0,120.0,130.0,-5.0,15139200.0,1982541600.0,13138.0,48.5,131.0,263700.0,130.0,3435000.0,1562500000.0,312500000.0,312500000.0,123400.0,0.0,,9000.0,1260000.0,9.0
2024-02-22,130.0,0.0,0.0,163.0,131.0,163.0,33.0,350059400.0,53729063600.0,78377.0,60.8,164.0,708800.0,163.0,14035000.0,1562500000.0,312500000.0,312500000.0,22599600.0,22937900.0,,0.0,0.0,0.0
2024-02-23,163.0,0.0,0.0,179.0,153.0,153.0,-10.0,519749400.0,85125489500.0,77469.0,57.1,153.0,993700.0,152.0,68684200.0,1562500000.0,312500000.0,312500000.0,80101500.0,79787000.0,,0.0,0.0,0.0
2024-02-26,153.0,0.0,0.0,162.0,129.0,131.0,-22.0,292335700.0,42151181900.0,71458.0,48.9,131.0,3734800.0,130.0,67525200.0,1562500000.0,312500000.0,312500000.0,43252200.0,43537200.0,,0.0,0.0,0.0
2024-02-27,131.0,0.0,0.0,137.0,119.0,126.0,-5.0,187021100.0,24174808600.0,57140.0,47.0,126.0,1212300.0,125.0,59034500.0,1562500000.0,312500000.0,312500000.0,10821800.0,10857400.0,,0.0,0.0,0.0
2024-02-28,126.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,1562500000.0,312500000.0,312500000.0,0.0,0.0,,0.0,0.0,0.0
2024-02-29,126.0,0.0,0.0,142.0,115.0,123.0,-3.0,368625800.0,47003524000.0,88703.0,45.9,123.0,1682500.0,122.0,54346300.0,1562500000.0,312500000.0,312500000.0,39589900.0,39372300.0,,0.0,0.0,0.0
2024-03-01,123.0,0.0,0.0,127.0,120.0,125.0,2.0,54712100.0,6805995800.0,14588.0,46.6,125.0,1437300.0,124.0,65418800.0,1562500000.0,312500000.0,312500000.0,270600.0,1427400.0,,0.0,0.0,0.0
2024-03-04,125.0,0.0,0.0,129.0,120.0,121.0,-4.0,18363200.0,2266694100.0,2466.0,45.1,121.0,65700.0,120.0,453400.0,1562500000.0,312500000.0,312500000.0,505800.0,4000.0,,0.0,0.0,0.0
2024-03-05,121.0,0.0,0.0,148.0,118.0,147.0,26.0,158804700.0,21739290000.0,32739.0,54.9,148.0,842300.0,147.0,5272600.0,1562500000.0,312500000.0,312500000.0,592500.0,1282200.0,,0.0,0.0,0.0
2024-03-06,147.0,0.0,0.0,177.0,135.0,175.0,28.0,397551300.0,61650044100.0,72611.0,65.3,175.0,3256800.0,174.0,8638000.0,1562500000.0,312500000.0,312500000.0,14872800.0,13445300.0,,0.0,0.0,0.0
2024-03-07,175.0,0.0,0.0,191.0,130.0,133.0,-42.0,604212200.0,97371851600.0,98060.0,49.6,133.0,3018100.0,132.0,96691400.0,1562500000.0,312500000.0,312500000.0,44825500.0,44911100.0,,0.0,0.0,0.0
2024-03-08,133.0,0.0,0.0,142.0,95.0,97.0,-36.0,777992900.0,87461319700.0,73283.0,36.2,98.0,370800.0,97.0,1085000.0,1562500000.0,312500000.0,312500000.0,59130400.0,60644300.0,,0.0,0.0,0.0
2024-03-13,97.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,36.2,0.0,0.0,0.0,0.0,1562500000.0,312500000.0,312500000.0,0.0,0.0,,0.0,0.0,0.0
2024-03-14,97.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,36.2,0.0,0.0,0.0,0.0,1562500000.0,312500000.0,312500000.0,0.0,0.0,,0.0,0.0,0.0
2024-03-15,97.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,36.2,0.0,0.0,0.0,0.0,1562500000.0,312500000.0,312500000.0,0.0,0.0,,0.0,0.0,0.0
2024-03-18,97.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,36.2,0.0,0.0,0.0,0.0,1562500000.0,312500000.0,312500000.0,0.0,0.0,,0.0,0.0,0.0
2024-03-19,97.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,36.2,0.0,0.0,0.0,0.0,1562500000.0,312500000.0,312500000.0,0.0,0.0,,0.0,0.0,0.0
2024-03-20,97.0,0.0,0.0,101.0,88.0,88.0,-9.0,118128700.0,10983290700.0,13392.0,32.8,89.0,325100.0,88.0,14040600.0,1562500000.0,312500000.0,312500000.0,1093100.0,1036100.0,,0.0,0.0,0.0
2024-03-21,88.0,0.0,0.0,92.0,85.0,85.0,-3.0,26983000.0,2378441900.0,2549.0,31.7,86.0,1249000.0,85.0,481100.0,1562500000.0,312500000.0,312500000.0,78500.0,137800.0,,0.0,0.0,0.0
2024-03-22,85.0,0.0,0.0,89.0,80.0,88.0,3.0,50805000.0,4336258800.0,5715.0,32.8,89.0,1208200.0,87.0,26592100.0,1562500000.0,312500000.0,312500000.0,137800.0,482200.0,,0.0,0.0,0.0
2024-03-25,88.0,0.0,0.0,81.0,80.0,81.0,-7.0,37812300.0,3034047900.0,774.0,30.2,82.0,12000.0,81.0,4341200.0,1562500000.0,312500000.0,312500000.0,0.0,0.0,,0.0,0.0,0.0
2024-03-26,81.0,0.0,0.0,73.0,73.0,73.0,-8.0,7381600.0,538856800.0,349.0,27.2,73.0,13521900.0,0.0,0.0,1562500000.0,312500000.0,312500000.0,33400.0,0.0,,600.0,47800.0,2.0
2024-03-27,73.0,0.0,0.0,66.0,66.0,66.0,-7.0,27799900.0,1834793400.0,764.0,24.6,67.0,135800.0,66.0,6536900.0,1562500000.0,312500000.0,312500000.0,15000.0,0.0,,0.0,0.0,0.0
2024-03-28,66.0,0.0,0.0,60.0,60.0,60.0,-6.0,13501100.0,810066000.0,496.0,22.4,61.0,50200.0,60.0,203800.0,1562500000.0,312500000.0,312500000.0,0.0,0.0,,0.0,0.0,0.0
