date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2023-04-12,1250.0,0.0,0.0,1410.0,1205.0,1305.0,55.0,658210300.0,846035099000.0,39589.0,104.4,1305.0,367100.0,1300.0,28727800.0,63098600000.0,7997600000.0,7997600000.0,240694600.0,223539800.0,,1887500.0,2430588000.0,9.0
2023-04-13,1305.0,0.0,0.0,1355.0,1305.0,1345.0,40.0,209967600.0,281702824500.0,15117.0,107.6,1345.0,4559800.0,1340.0,11009900.0,63098600000.0,7997600000.0,7997600000.0,114917600.0,106025000.0,,0.0,0.0,0.0
2023-04-14,1345.0,0.0,0.0,1380.0,1345.0,1375.0,30.0,191316400.0,261382356500.0,9891.0,110.0,1375.0,773800.0,1370.0,4244200.0,63098600000.0,7997600000.0,7997600000.0,133023900.0,122235600.0,,11323800.0,15479634600.0,4.0
2023-04-17,1375.0,0.0,0.0,1405.0,1365.0,1400.0,25.0,110359700.0,153867545000.0,11678.0,112.0,1400.0,1586300.0,1395.0,5965900.0,63098600000.0,7997600000.0,7997600000.0,51188800.0,50899200.0,,0.0,0.0,0.0
2023-04-18,1400.0,0.0,0.0,1470.0,1385.0,1445.0,45.0,219861600.0,317586213000.0,13220.0,115.6,1450.0,1530200.0,1445.0,1707300.0,63098600000.0,7997600000.0,7997600000.0,136125200.0,148799500.0,,0.0,0.0,0.0
2023-04-26,1445.0,0.0,0.0,1470.0,1345.0,1345.0,-100.0,261585500.0,354386604500.0,13666.0,107.6,1345.0,486400.0,0.0,0.0,63098600000.0,7997600000.0,7997600000.0,133481300.0,83671800.0,,0.0,0.0,0.0
2023-04-27,1345.0,0.0,0.0,1395.0,1265.0,1365.0,20.0,94496800.0,126628260500.0,10685.0,109.2,1370.0,57900.0,1365.0,377000.0,63098600000.0,7997600000.0,7997600000.0,39090600.0,12655800.0,,11448100.0,15649552700.0,1.0
2023-04-28,1365.0,0.0,0.0,1415.0,1370.0,1405.0,40.0,89338700.0,125153406000.0,14306.0,112.4,1405.0,1870800.0,1400.0,740200.0,63098600000.0,7997600000.0,7997600000.0,51597900.0,37146900.0,,191900.0,269119500.0,2.0
2023-05-02,1405.0,0.0,0.0,1435.0,1395.0,1405.0,0.0,135858700.0,192673844000.0,23037.0,112.4,1405.0,135000.0,1400.0,3191400.0,63098600000.0,7997600000.0,7997600000.0,76521700.0,111508800.0,,0.0,0.0,0.0
2023-05-03,1405.0,0.0,0.0,1420.0,1310.0,1335.0,-70.0,114870400.0,154440750000.0,25172.0,106.8,1340.0,3800.0,1335.0,33600.0,63098600000.0,7997600000.0,7997600000.0,72736600.0,70145700.0,,0.0,0.0,0.0
