date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2022-05-17,100.0,0.0,0.0,110.0,100.0,101.0,1.0,324042700.0,33417700300.0,32787.0,101.0,101.0,2301400.0,100.0,32551400.0,1900000000.0,400000000.0,0.0,846800.0,1739100.0,,0.0,0.0,0.0
2022-05-18,101.0,0.0,0.0,101.0,100.0,100.0,-1.0,59890400.0,5990560400.0,5281.0,100.0,101.0,5475200.0,100.0,18396400.0,1900000000.0,400000000.0,0.0,112900.0,0.0,,0.0,0.0,0.0
2022-05-19,100.0,0.0,0.0,101.0,100.0,100.0,0.0,14980100.0,1499346800.0,2408.0,100.0,101.0,3882900.0,100.0,29131200.0,1900000000.0,400000000.0,0.0,20000.0,0.0,,0.0,0.0,0.0
2022-05-20,100.0,0.0,0.0,103.0,100.0,101.0,1.0,13429200.0,1349131500.0,2170.0,101.0,101.0,1983400.0,100.0,29836500.0,1900000000.0,400000000.0,0.0,2055500.0,12400.0,,0.0,0.0,0.0
2022-05-23,101.0,0.0,0.0,101.0,100.0,100.0,-1.0,11457500.0,1146225700.0,1402.0,100.0,101.0,2188900.0,100.0,28287200.0,1900000000.0,400000000.0,0.0,5000.0,0.0,,0.0,0.0,0.0
2022-05-24,100.0,0.0,0.0,101.0,100.0,100.0,0.0,5758200.0,576220600.0,933.0,100.0,101.0,2658700.0,100.0,35160300.0,1900000000.0,400000000.0,0.0,3000.0,0.0,,0.0,0.0,0.0
2022-05-25,100.0,0.0,0.0,105.0,100.0,101.0,1.0,13801500.0,1404810300.0,2247.0,101.0,102.0,378400.0,101.0,128200.0,1900000000.0,400000000.0,0.0,38800.0,240000.0,,0.0,0.0,0.0
2022-05-27,101.0,0.0,0.0,102.0,100.0,100.0,-1.0,3352400.0,336615600.0,777.0,100.0,101.0,611500.0,100.0,36200900.0,1900000000.0,400000000.0,0.0,200000.0,0.0,,0.0,0.0,0.0
2022-05-30,100.0,0.0,0.0,101.0,100.0,100.0,0.0,3672400.0,367598400.0,687.0,100.0,101.0,901700.0,100.0,33076400.0,1900000000.0,400000000.0,0.0,16000.0,0.0,,0.0,0.0,0.0
2022-05-31,100.0,0.0,0.0,102.0,100.0,100.0,0.0,3277900.0,330720100.0,1059.0,100.0,101.0,187200.0,100.0,34843900.0,1900000000.0,400000000.0,0.0,17000.0,0.0,,0.0,0.0,0.0
2022-06-02,100.0,0.0,0.0,101.0,100.0,100.0,0.0,3208000.0,320856500.0,459.0,100.0,101.0,927800.0,100.0,32576600.0,1900000000.0,400000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-06-03,100.0,0.0,0.0,102.0,100.0,101.0,1.0,3580000.0,361721400.0,839.0,101.0,102.0,1018700.0,101.0,422600.0,1900000000.0,400000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-06-06,101.0,0.0,0.0,102.0,100.0,100.0,-1.0,1869400.0,187170100.0,361.0,100.0,101.0,721600.0,100.0,33835400.0,1900000000.0,400000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-06-07,100.0,0.0,0.0,102.0,100.0,101.0,1.0,5791900.0,584155400.0,797.0,101.0,102.0,685000.0,101.0,714200.0,1900000000.0,400000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-06-08,101.0,0.0,0.0,102.0,100.0,101.0,0.0,1441800.0,145512300.0,523.0,101.0,102.0,773300.0,101.0,35276000.0,1900000000.0,400000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-06-09,101.0,0.0,0.0,102.0,100.0,102.0,1.0,1033000.0,104285400.0,430.0,102.0,102.0,1146200.0,101.0,902700.0,1900000000.0,400000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-06-10,102.0,0.0,0.0,102.0,100.0,101.0,-1.0,1143200.0,115487900.0,336.0,101.0,102.0,1437300.0,101.0,530400.0,1900000000.0,400000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-06-13,101.0,0.0,0.0,103.0,100.0,101.0,0.0,2166700.0,219740000.0,493.0,101.0,102.0,224600.0,101.0,37768000.0,1900000000.0,400000000.0,0.0,2000.0,0.0,,0.0,0.0,0.0
2022-06-14,101.0,0.0,0.0,104.0,101.0,103.0,2.0,3825900.0,390693500.0,718.0,103.0,103.0,135900.0,102.0,3276500.0,1900000000.0,400000000.0,0.0,57800.0,0.0,,0.0,0.0,0.0
2022-06-15,103.0,0.0,0.0,103.0,100.0,103.0,0.0,2952000.0,299573200.0,428.0,103.0,104.0,150800.0,103.0,192100.0,1900000000.0,400000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-06-16,103.0,0.0,0.0,103.0,101.0,101.0,-2.0,967900.0,97896300.0,184.0,101.0,102.0,337200.0,101.0,1411400.0,1900000000.0,400000000.0,0.0,3500.0,0.0,,0.0,0.0,0.0
2022-06-17,101.0,0.0,0.0,102.0,101.0,101.0,0.0,604000.0,61021300.0,159.0,101.0,102.0,323800.0,101.0,1023200.0,1900000000.0,400000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-06-20,101.0,0.0,0.0,102.0,101.0,102.0,1.0,1085300.0,110402200.0,290.0,102.0,102.0,93800.0,101.0,1211000.0,1900000000.0,400000000.0,0.0,0.0,100.0,,0.0,0.0,0.0
2022-06-21,102.0,0.0,0.0,102.0,101.0,101.0,-1.0,495900.0,50105300.0,141.0,101.0,102.0,513500.0,101.0,539100.0,1900000000.0,400000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-06-22,101.0,0.0,0.0,102.0,101.0,101.0,0.0,854100.0,86381500.0,147.0,101.0,102.0,392600.0,101.0,708500.0,1900000000.0,400000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-06-23,101.0,0.0,0.0,102.0,101.0,101.0,0.0,1087400.0,109936500.0,156.0,101.0,102.0,501600.0,101.0,700900.0,1900000000.0,400000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-06-24,101.0,0.0,0.0,102.0,101.0,101.0,0.0,230900.0,23352400.0,132.0,101.0,102.0,603900.0,101.0,1032400.0,1900000000.0,400000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-06-27,101.0,0.0,0.0,102.0,100.0,100.0,-1.0,1437200.0,145000600.0,158.0,100.0,101.0,2100.0,100.0,2202800.0,1900000000.0,400000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-06-28,100.0,0.0,0.0,102.0,100.0,101.0,1.0,467200.0,47097600.0,159.0,101.0,102.0,392600.0,101.0,262300.0,1900000000.0,400000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-06-29,101.0,0.0,0.0,102.0,100.0,102.0,1.0,252500.0,25467300.0,117.0,102.0,102.0,539100.0,101.0,203500.0,1900000000.0,400000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-06-30,102.0,0.0,0.0,102.0,101.0,101.0,-1.0,867300.0,87604800.0,143.0,101.0,102.0,478100.0,101.0,16300.0,1900000000.0,400000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-07-01,101.0,0.0,0.0,102.0,100.0,100.0,-1.0,1631300.0,164759100.0,221.0,100.0,101.0,244100.0,100.0,2300900.0,1900000000.0,400000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-07-04,100.0,0.0,0.0,104.0,100.0,101.0,1.0,4497600.0,455677900.0,581.0,101.0,101.0,60000.0,100.0,131100.0,1900000000.0,400000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-07-05,101.0,0.0,0.0,101.0,100.0,100.0,-1.0,1401500.0,140245100.0,145.0,100.0,101.0,18600.0,100.0,538000.0,1900000000.0,400000000.0,0.0,0.0,30000.0,,0.0,0.0,0.0
2022-07-06,100.0,0.0,0.0,102.0,100.0,100.0,0.0,654600.0,65880400.0,217.0,100.0,101.0,8200.0,100.0,714500.0,1900000000.0,400000000.0,0.0,24700.0,0.0,,0.0,0.0,0.0
2022-07-07,100.0,0.0,0.0,101.0,100.0,101.0,1.0,488300.0,49081600.0,179.0,101.0,101.0,197800.0,100.0,1139700.0,1900000000.0,400000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-07-08,101.0,0.0,0.0,101.0,100.0,101.0,0.0,1786500.0,180291300.0,440.0,101.0,101.0,8700.0,100.0,1307100.0,1900000000.0,400000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-07-11,101.0,0.0,0.0,101.0,100.0,100.0,-1.0,514200.0,51882100.0,274.0,100.0,101.0,23000.0,100.0,1677800.0,1900000000.0,400000000.0,0.0,30000.0,0.0,,0.0,0.0,0.0
2022-07-12,100.0,0.0,0.0,101.0,100.0,100.0,0.0,2726700.0,273697900.0,333.0,100.0,101.0,451300.0,100.0,157900.0,1900000000.0,400000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-07-13,100.0,0.0,0.0,101.0,100.0,101.0,1.0,625400.0,62792000.0,193.0,101.0,101.0,47200.0,100.0,795800.0,1900000000.0,400000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-07-14,101.0,0.0,0.0,101.0,100.0,101.0,0.0,390600.0,39356000.0,124.0,101.0,101.0,58200.0,100.0,1104900.0,1900000000.0,400000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-07-15,101.0,0.0,0.0,101.0,100.0,100.0,-1.0,208100.0,20947400.0,181.0,100.0,101.0,36700.0,100.0,42966900.0,1900000000.0,400000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-07-18,100.0,0.0,0.0,101.0,90.0,90.0,-10.0,1891000.0,177145600.0,513.0,90.0,94.0,13300.0,90.0,39985300.0,1900000000.0,400000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-07-19,90.0,0.0,0.0,90.0,81.0,88.0,-2.0,1852000.0,154865700.0,589.0,88.0,88.0,80200.0,86.0,21100.0,1900000000.0,400000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-07-20,88.0,0.0,0.0,86.0,81.0,84.0,-4.0,764500.0,63798900.0,382.0,84.0,85.0,1800.0,84.0,4700.0,1900000000.0,400000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-07-21,84.0,0.0,0.0,86.0,83.0,84.0,0.0,271800.0,22884200.0,180.0,84.0,85.0,19900.0,84.0,46932300.0,1900000000.0,400000000.0,0.0,2400.0,0.0,,0.0,0.0,0.0
2022-07-22,84.0,0.0,0.0,85.0,80.0,85.0,1.0,401500.0,33655300.0,220.0,85.0,85.0,400.0,84.0,1600.0,1900000000.0,400000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-07-25,85.0,0.0,0.0,93.0,87.0,93.0,8.0,29412900.0,2723507100.0,462.0,93.0,0.0,0.0,93.0,6872800.0,1900000000.0,400000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
2022-07-26,93.0,0.0,0.0,102.0,96.0,102.0,9.0,31513300.0,3190159700.0,747.0,102.0,0.0,0.0,102.0,9415400.0,1900000000.0,400000000.0,0.0,3300.0,0.0,,0.0,0.0,0.0
