date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2019-07-29,715.0,0.0,0.0,720.0,705.0,710.0,-5.0,21500.0,15356500.0,24.0,1404.7,715.0,37500.0,700.0,6000.0,11307246524.0,11307246524.0,11307246524.0,0.0,0.0,,24685999.0,16184382271.0,46.0
2019-07-30,710.0,0.0,0.0,800.0,700.0,760.0,50.0,537300.0,404307000.0,189.0,1503.6,775.0,1500.0,755.0,100000.0,11307246524.0,11307246524.0,11307246524.0,0.0,0.0,,30357130.0,19626788024.0,29.0
2019-07-31,760.0,0.0,0.0,765.0,725.0,765.0,5.0,124100.0,93615000.0,26.0,1513.5,765.0,25100.0,750.0,16800.0,11307246524.0,11307246524.0,11307246524.0,0.0,0.0,,22451437.0,15263311350.0,25.0
2019-08-01,765.0,0.0,0.0,0.0,0.0,765.0,0.0,0.0,0.0,0.0,1513.5,755.0,10300.0,730.0,500.0,11307246524.0,11307246524.0,11307246524.0,0.0,0.0,,34563068.0,23665210148.0,20.0
2019-08-02,765.0,0.0,0.0,830.0,725.0,795.0,30.0,882500.0,704975500.0,348.0,1572.9,795.0,400.0,790.0,25600.0,11307246524.0,11307246524.0,11307246524.0,1000.0,1000.0,,25665565.0,19056598719.0,25.0
2019-08-05,795.0,0.0,0.0,800.0,745.0,745.0,-50.0,79200.0,59911000.0,28.0,1473.9,740.0,1000.0,725.0,1800.0,11307246524.0,11307246524.0,11307246524.0,0.0,0.0,,7394843.0,5212581379.0,15.0
2019-08-06,745.0,0.0,0.0,745.0,670.0,725.0,-20.0,195800.0,137982500.0,124.0,1434.4,725.0,600.0,710.0,1100.0,11307246524.0,11307246524.0,11307246524.0,0.0,0.0,,17880095.0,12196540969.0,29.0
2019-08-07,725.0,0.0,0.0,725.0,700.0,725.0,0.0,25900.0,18650000.0,14.0,1434.4,725.0,1300.0,715.0,1200.0,11307246524.0,11307246524.0,11307246524.0,0.0,0.0,,19038245.0,13546253885.0,17.0
2019-08-08,725.0,0.0,0.0,730.0,705.0,725.0,0.0,9300.0,6745000.0,10.0,1434.4,730.0,14900.0,725.0,300.0,11307246524.0,11307246524.0,11307246524.0,0.0,0.0,,30872396.0,20062422019.0,21.0
2019-08-09,725.0,0.0,0.0,805.0,695.0,765.0,40.0,739900.0,565806000.0,325.0,1513.5,765.0,400.0,760.0,110000.0,11307246524.0,11307246524.0,11307246524.0,0.0,0.0,,28370519.0,17182857652.0,16.0
2019-08-12,765.0,0.0,0.0,770.0,720.0,720.0,-45.0,100000.0,72525500.0,45.0,1424.5,725.0,2000.0,720.0,200.0,11307246524.0,11307246524.0,11307246524.0,0.0,1100.0,,27407169.0,18852954565.0,23.0
2019-08-13,720.0,0.0,0.0,725.0,715.0,720.0,0.0,16700.0,12022500.0,11.0,1424.5,720.0,4100.0,715.0,500.0,11307246524.0,11307246524.0,11307246524.0,0.0,0.0,,58274667.0,40430656231.0,33.0
2019-08-14,720.0,0.0,0.0,720.0,710.0,715.0,-5.0,4100.0,2934500.0,7.0,1414.6,715.0,4600.0,710.0,2100.0,11307246524.0,11307246524.0,11307246524.0,0.0,0.0,,37396407.0,25863618362.0,25.0
