date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2023-04-10,105.0,0.0,0.0,141.0,135.0,141.0,36.0,20508000.0,2891518200.0,4042.0,134.3,0.0,0.0,141.0,343013200.0,3425000000.0,2425000000.0,925000000.0,9200.0,704600.0,,38167938.0,4999999878.0,1.0
2023-04-11,141.0,0.0,0.0,190.0,190.0,190.0,49.0,18197600.0,3457544000.0,3488.0,181.0,0.0,0.0,190.0,236761800.0,3425000000.0,2425000000.0,925000000.0,63400.0,0.0,,122000.0,25620000.0,3.0
2023-04-12,190.0,0.0,0.0,256.0,184.0,193.0,3.0,562196200.0,126520717500.0,57949.0,183.8,193.0,1568300.0,192.0,282600.0,3425000000.0,2425000000.0,925000000.0,6903300.0,5957100.0,,0.0,0.0,0.0
2023-04-13,193.0,0.0,0.0,208.0,180.0,180.0,-13.0,153265300.0,29169782600.0,15656.0,171.4,180.0,3058800.0,0.0,0.0,3425000000.0,2425000000.0,925000000.0,1840700.0,3504200.0,,7900.0,1422000.0,1.0
2023-04-14,180.0,0.0,0.0,185.0,168.0,168.0,-12.0,79290900.0,13813327300.0,5920.0,160.0,168.0,4022500.0,0.0,0.0,3425000000.0,2425000000.0,925000000.0,70400.0,694600.0,,0.0,0.0,0.0
2023-04-17,168.0,0.0,0.0,172.0,157.0,157.0,-11.0,27040500.0,4400735400.0,1251.0,149.5,157.0,19736200.0,0.0,0.0,3425000000.0,2425000000.0,925000000.0,0.0,1391100.0,,0.0,0.0,0.0
2023-04-18,157.0,0.0,0.0,162.0,147.0,147.0,-10.0,109318500.0,16584784200.0,11365.0,140.0,147.0,1139900.0,0.0,0.0,3425000000.0,2425000000.0,925000000.0,253400.0,232000.0,,0.0,0.0,0.0
2023-04-26,147.0,0.0,0.0,149.0,137.0,142.0,-5.0,65276100.0,9160016000.0,6808.0,135.2,142.0,527600.0,141.0,352900.0,3425000000.0,2425000000.0,925000000.0,11500.0,2903300.0,,0.0,0.0,0.0
2023-04-27,142.0,0.0,0.0,146.0,133.0,133.0,-9.0,51827600.0,7108604000.0,5232.0,126.7,133.0,2919400.0,0.0,0.0,3425000000.0,2425000000.0,925000000.0,0.0,33300.0,,80291900.0,10999990300.0,1.0
2023-04-28,133.0,0.0,0.0,136.0,124.0,124.0,-9.0,51750900.0,6589396600.0,3469.0,118.1,124.0,3654600.0,0.0,0.0,3425000000.0,2425000000.0,925000000.0,0.0,18000.0,,0.0,0.0,0.0
