date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2023-05-08,234.0,0.0,0.0,292.0,292.0,292.0,58.0,4227100.0,1234313200.0,2417.0,124.8,0.0,0.0,292.0,548439400.0,6194200000.0,929200000.0,929200000.0,7400.0,0.0,,1004800.0,245330200.0,4.0
2023-05-09,292.0,0.0,0.0,364.0,364.0,364.0,72.0,3287400.0,1196613600.0,1636.0,155.6,0.0,0.0,364.0,365914400.0,6194200000.0,929200000.0,929200000.0,4200.0,0.0,,15194000.0,5526983400.0,11.0
2023-05-10,364.0,0.0,0.0,454.0,434.0,454.0,90.0,55992000.0,25420324800.0,4578.0,194.0,0.0,0.0,454.0,126258600.0,6194200000.0,929200000.0,929200000.0,100500.0,4700000.0,,3847500.0,1400635600.0,2.0
2023-05-11,454.0,0.0,0.0,565.0,450.0,565.0,111.0,522545200.0,277069855600.0,64809.0,241.5,0.0,0.0,565.0,15305000.0,6194200000.0,929200000.0,929200000.0,3786300.0,5950800.0,,4800000.0,2035200000.0,3.0
2023-05-12,565.0,0.0,0.0,705.0,600.0,705.0,140.0,123339700.0,82992689000.0,18124.0,301.3,0.0,0.0,705.0,22863800.0,6194200000.0,929200000.0,929200000.0,384400.0,274300.0,,91400.0,48442000.0,1.0
2023-05-15,705.0,0.0,0.0,785.0,660.0,660.0,-45.0,41758200.0,29629643000.0,4041.0,282.1,660.0,33974900.0,0.0,0.0,6194200000.0,929200000.0,929200000.0,0.0,2469900.0,,51200.0,35852000.0,2.0
2023-05-16,660.0,0.0,0.0,615.0,615.0,615.0,-45.0,2983100.0,1834606500.0,429.0,262.8,615.0,39974100.0,0.0,0.0,6194200000.0,929200000.0,929200000.0,0.0,20000.0,,1200.0,846000.0,1.0
2023-05-17,615.0,0.0,0.0,710.0,575.0,595.0,-20.0,252912800.0,154733548000.0,33793.0,254.3,600.0,307100.0,595.0,9674500.0,6194200000.0,929200000.0,929200000.0,996700.0,421700.0,,2400.0,1380000.0,2.0
2023-05-19,595.0,0.0,0.0,650.0,570.0,605.0,10.0,92898900.0,57324609000.0,17948.0,258.5,605.0,2750600.0,600.0,10050100.0,6194200000.0,929200000.0,929200000.0,420900.0,3399500.0,,47700.0,28719000.0,22.0
2023-05-22,605.0,0.0,0.0,625.0,565.0,565.0,-40.0,55458100.0,32055114000.0,8156.0,241.5,565.0,2980000.0,0.0,0.0,6194200000.0,929200000.0,929200000.0,142600.0,2662800.0,,17000.0,10285000.0,17.0
2023-05-23,565.0,0.0,0.0,600.0,535.0,565.0,0.0,47576900.0,27042827000.0,7969.0,241.5,570.0,17000.0,565.0,346900.0,6194200000.0,929200000.0,929200000.0,1988300.0,1572500.0,,0.0,0.0,0.0
2023-05-24,565.0,0.0,0.0,590.0,550.0,570.0,5.0,23352700.0,13304076500.0,3843.0,243.6,570.0,60300.0,565.0,263700.0,6194200000.0,929200000.0,929200000.0,96900.0,247400.0,,0.0,0.0,0.0
2023-05-25,570.0,0.0,0.0,575.0,545.0,545.0,-25.0,17270300.0,9628665500.0,2404.0,232.9,550.0,10000.0,545.0,3013300.0,6194200000.0,929200000.0,929200000.0,30800.0,53800.0,,78500.0,41997500.0,1.0
2023-05-26,545.0,0.0,0.0,580.0,545.0,560.0,15.0,16553400.0,9314604500.0,2505.0,239.3,560.0,71600.0,555.0,713100.0,6194200000.0,929200000.0,929200000.0,29700.0,86500.0,,0.0,0.0,0.0
2023-05-29,560.0,0.0,0.0,570.0,545.0,545.0,-15.0,11681900.0,6469174000.0,1717.0,232.9,550.0,86200.0,545.0,1142200.0,6194200000.0,929200000.0,929200000.0,326900.0,1596500.0,,0.0,0.0,0.0
2023-05-30,545.0,0.0,0.0,640.0,550.0,600.0,55.0,116076000.0,70277409500.0,15089.0,256.4,605.0,49100.0,600.0,2772300.0,6194200000.0,929200000.0,929200000.0,7712800.0,5415200.0,,0.0,0.0,0.0
2023-05-31,600.0,0.0,0.0,630.0,580.0,595.0,-5.0,48917700.0,29406497500.0,7378.0,254.3,600.0,132500.0,595.0,18526000.0,6194200000.0,929200000.0,929200000.0,2194100.0,3456500.0,,565600.0,345016000.0,1.0
2023-06-05,595.0,0.0,0.0,610.0,570.0,580.0,-15.0,24278700.0,14176667000.0,3034.0,247.9,585.0,792900.0,580.0,2043100.0,6194200000.0,929200000.0,929200000.0,1844600.0,2399900.0,,10006000.0,6003570000.0,6.0
2023-06-06,580.0,0.0,0.0,620.0,570.0,610.0,30.0,49164000.0,29762937500.0,4450.0,260.7,615.0,1102400.0,610.0,2508200.0,6194200000.0,929200000.0,929200000.0,2411700.0,7621000.0,,0.0,0.0,0.0
2023-06-07,610.0,0.0,0.0,760.0,615.0,760.0,150.0,155704500.0,110566144500.0,20092.0,324.8,0.0,0.0,760.0,17839700.0,6194200000.0,929200000.0,929200000.0,10630700.0,11972000.0,,0.0,0.0,0.0
2023-06-08,760.0,0.0,0.0,845.0,730.0,810.0,50.0,143532400.0,112613707000.0,20512.0,346.2,815.0,387200.0,810.0,3865700.0,6194200000.0,929200000.0,929200000.0,9833400.0,11478200.0,,0.0,0.0,0.0
2023-06-09,810.0,0.0,0.0,930.0,790.0,860.0,50.0,135780900.0,120205730500.0,23339.0,367.5,865.0,49300.0,860.0,3538700.0,6194200000.0,929200000.0,929200000.0,17309600.0,12900700.0,,0.0,0.0,0.0
2023-06-12,860.0,0.0,0.0,905.0,825.0,875.0,15.0,70743500.0,61052829500.0,12126.0,373.9,880.0,106100.0,875.0,3867500.0,6194200000.0,929200000.0,929200000.0,2367700.0,12724800.0,,0.0,0.0,0.0
2023-06-13,875.0,0.0,0.0,940.0,870.0,905.0,30.0,60010000.0,55095759500.0,10083.0,386.8,910.0,264600.0,905.0,2875900.0,6194200000.0,929200000.0,929200000.0,2998600.0,14296300.0,,0.0,0.0,0.0
2023-06-14,905.0,0.0,0.0,920.0,770.0,770.0,-135.0,94960300.0,78106362000.0,14426.0,329.1,770.0,1667000.0,0.0,0.0,6194200000.0,929200000.0,929200000.0,11926500.0,7164300.0,,0.0,0.0,0.0
2023-06-15,770.0,0.0,0.0,810.0,700.0,770.0,0.0,53263100.0,40537458000.0,10439.0,329.1,775.0,173800.0,770.0,221000.0,6194200000.0,929200000.0,929200000.0,10818700.0,2474800.0,,0.0,0.0,0.0
2023-06-16,770.0,0.0,0.0,810.0,740.0,760.0,-10.0,41131500.0,31823798000.0,6340.0,324.8,760.0,931300.0,755.0,361200.0,6194200000.0,929200000.0,929200000.0,10409800.0,1934200.0,,0.0,0.0,0.0
2023-06-19,760.0,0.0,0.0,770.0,725.0,725.0,-35.0,17095400.0,12740176500.0,3615.0,309.8,725.0,2427600.0,720.0,1333000.0,6194200000.0,929200000.0,929200000.0,920300.0,1211200.0,,0.0,0.0,0.0
2023-06-20,725.0,0.0,0.0,750.0,710.0,725.0,0.0,15066100.0,10906342000.0,3569.0,309.8,730.0,312200.0,725.0,1395500.0,6194200000.0,929200000.0,929200000.0,645500.0,1112700.0,,0.0,0.0,0.0
2023-06-21,725.0,0.0,0.0,760.0,720.0,730.0,5.0,8846600.0,6480074500.0,2401.0,312.0,735.0,77700.0,730.0,3820500.0,6194200000.0,929200000.0,929200000.0,126500.0,1215400.0,,0.0,0.0,0.0
2023-06-22,730.0,0.0,0.0,785.0,730.0,740.0,10.0,29431000.0,22264185000.0,5821.0,316.2,745.0,334700.0,740.0,4873900.0,6194200000.0,929200000.0,929200000.0,1326900.0,1292800.0,,0.0,0.0,0.0
2023-06-23,740.0,0.0,0.0,760.0,645.0,650.0,-90.0,62951700.0,43557279500.0,9847.0,277.8,655.0,231000.0,650.0,326500.0,6194200000.0,929200000.0,929200000.0,9576400.0,2378900.0,,0.0,0.0,0.0
