date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2025-01-08,1150.0,1435.0,1435.0,1435.0,1435.0,1435.0,285.0,632900.0,908211500.0,2772.0,124.8,0.0,0.0,1435.0,960328200.0,2715053800.0,2715053800.0,543010800.0,600.0,0.0,,48190800.0,68829222500.0,100.0
2025-01-09,1435.0,1790.0,1790.0,1790.0,1790.0,1790.0,355.0,411600.0,736764000.0,1823.0,155.7,0.0,0.0,1790.0,515737500.0,2715053800.0,2715053800.0,543010800.0,600.0,0.0,,24595050.0,41446847500.0,60.0
2025-01-10,1790.0,2230.0,2230.0,2230.0,2230.0,2230.0,440.0,1196800.0,2668864000.0,3746.0,193.9,0.0,0.0,2230.0,359371600.0,2715053800.0,2715053800.0,543010800.0,200.0,0.0,,13332700.0,29956251000.0,111.0
2025-01-13,2230.0,2780.0,2780.0,2780.0,2780.0,2780.0,550.0,2317400.0,6442372000.0,4452.0,241.7,0.0,0.0,2780.0,233397000.0,2715053800.0,2715053800.0,543010800.0,37900.0,0.0,,13336400.0,35828996000.0,60.0
2025-01-14,2780.0,3470.0,3470.0,3470.0,3470.0,3470.0,690.0,1552200.0,5386134000.0,6107.0,301.7,0.0,0.0,3470.0,175643100.0,2715053800.0,2715053800.0,543010800.0,10300.0,0.0,,3082000.0,9883313000.0,21.0
2025-01-15,3470.0,4330.0,4330.0,4330.0,4330.0,4330.0,860.0,4836600.0,20942478000.0,17873.0,376.5,0.0,0.0,4330.0,88399600.0,2715053800.0,2715053800.0,543010800.0,4500.0,0.0,,23961800.0,72836833000.0,49.0
2025-01-16,4330.0,0.0,0.0,0.0,0.0,4330.0,0.0,0.0,0.0,0.0,376.5,0.0,0.0,0.0,0.0,2715053800.0,2715053800.0,543010800.0,0.0,0.0,,1261600.0,6684781000.0,10.0
2025-01-17,4330.0,5400.0,5400.0,5400.0,5400.0,5400.0,1070.0,20148800.0,108803520000.0,36753.0,469.6,0.0,0.0,5400.0,40307100.0,2715053800.0,2715053800.0,543010800.0,56000.0,0.0,,6301700.0,35608500000.0,17.0
2025-01-20,5400.0,0.0,0.0,0.0,0.0,5400.0,0.0,0.0,0.0,0.0,469.6,0.0,0.0,0.0,0.0,2715053800.0,2715053800.0,543010800.0,0.0,0.0,,4235700.0,22196425000.0,10.0
2025-01-21,5400.0,0.0,0.0,0.0,0.0,5400.0,0.0,0.0,0.0,0.0,469.6,0.0,0.0,0.0,0.0,2715053800.0,2715053800.0,543010800.0,0.0,0.0,,3352800.0,21039620000.0,11.0
2025-01-22,5400.0,0.0,0.0,5925.0,5925.0,5925.0,525.0,2369500.0,14039287500.0,8103.0,515.2,0.0,0.0,5925.0,43054200.0,2715053800.0,2715053800.0,543010800.0,2500.0,0.0,,8287900.0,51194737500.0,39.0
2025-01-23,5925.0,0.0,0.0,6500.0,6500.0,6500.0,575.0,1059700.0,6888050000.0,3669.0,565.2,0.0,0.0,6500.0,31104000.0,2715053800.0,2715053800.0,543010800.0,700.0,21200.0,,1918300.0,13247025000.0,17.0
2025-01-24,6500.0,0.0,0.0,7150.0,7150.0,7150.0,650.0,3328500.0,23798775000.0,4472.0,621.7,0.0,0.0,7150.0,20969500.0,2715053800.0,2715053800.0,543010800.0,22800.0,0.0,,1118600.0,8401045000.0,21.0
2025-01-30,7150.0,0.0,0.0,7775.0,6450.0,7500.0,350.0,26406700.0,181064322500.0,15122.0,652.2,7575.0,500.0,7500.0,529600.0,2715053800.0,2715053800.0,543010800.0,5100.0,739600.0,,0.0,0.0,0.0
2025-01-31,7500.0,0.0,0.0,8250.0,7850.0,8200.0,700.0,10307300.0,82987735000.0,8215.0,713.0,8225.0,12800.0,8200.0,445200.0,2715053800.0,2715053800.0,543010800.0,6800.0,432600.0,,1300300.0,9101980000.0,2.0
2025-02-03,8200.0,0.0,0.0,8400.0,7900.0,8400.0,200.0,9619600.0,77611365000.0,8028.0,730.4,8400.0,6000.0,8350.0,100.0,2715053800.0,2715053800.0,543010800.0,618300.0,117600.0,,0.0,0.0,0.0
2025-02-04,8400.0,0.0,0.0,8800.0,8600.0,8650.0,250.0,3781400.0,32871435000.0,3392.0,752.2,8675.0,1700.0,8650.0,828300.0,2715053800.0,2715053800.0,543010800.0,5200.0,7600.0,,0.0,0.0,0.0
2025-02-05,8650.0,8800.0,8825.0,9900.0,8375.0,9200.0,550.0,49461200.0,450534210000.0,45583.0,800.0,9200.0,5000.0,9175.0,7300.0,2715053800.0,2715053800.0,543010800.0,181800.0,1507000.0,,4000400.0,32002800000.0,3.0
2025-02-06,9200.0,9225.0,9250.0,9425.0,8700.0,8850.0,-350.0,19628500.0,177335197500.0,17124.0,769.6,8850.0,117400.0,8825.0,700.0,2715053800.0,2715053800.0,543010800.0,331100.0,646100.0,,159400.0,1436715000.0,3.0
2025-02-07,8850.0,7500.0,7500.0,8475.0,7100.0,7550.0,-1300.0,33749900.0,262230770000.0,21805.0,656.5,7575.0,12600.0,7550.0,28200.0,2715053800.0,2715053800.0,543010800.0,1549200.0,2017300.0,,0.0,0.0,0.0
2025-02-10,7550.0,7600.0,7625.0,7900.0,6150.0,7725.0,175.0,20958400.0,147020912500.0,16959.0,671.7,7750.0,60000.0,7725.0,189300.0,2715053800.0,2715053800.0,543010800.0,754800.0,1465300.0,,0.0,0.0,0.0
2025-02-11,7725.0,7875.0,7850.0,7925.0,6575.0,6575.0,-1150.0,13488200.0,96212195000.0,11106.0,571.7,6600.0,7100.0,6575.0,58000.0,2715053800.0,2715053800.0,543010800.0,1093000.0,1643300.0,,0.0,0.0,0.0
2025-02-12,6575.0,6650.0,6650.0,7375.0,6575.0,7200.0,625.0,9055900.0,63276127500.0,7507.0,626.1,7200.0,83700.0,7175.0,24400.0,2715053800.0,2715053800.0,543010800.0,143600.0,903600.0,,500000.0,3250000000.0,1.0
2025-02-13,7200.0,7250.0,7250.0,7475.0,6925.0,7300.0,100.0,5811800.0,41872097500.0,5594.0,634.8,7300.0,419500.0,7275.0,15400.0,2715053800.0,2715053800.0,543010800.0,469900.0,250900.0,,0.0,0.0,0.0
2025-02-14,7300.0,7375.0,7375.0,7875.0,7150.0,7800.0,500.0,12895600.0,97118035000.0,9209.0,678.3,7825.0,127400.0,7800.0,32100.0,2715053800.0,2715053800.0,543010800.0,498600.0,1419900.0,,0.0,0.0,0.0
2025-02-17,7800.0,7825.0,7850.0,9350.0,7725.0,9100.0,1300.0,31239700.0,279599690000.0,20949.0,791.3,9125.0,55500.0,9100.0,181400.0,2715053800.0,2715053800.0,543010800.0,376800.0,5516900.0,,0.0,0.0,0.0
2025-02-18,9100.0,9300.0,9300.0,9700.0,8775.0,9000.0,-100.0,21002800.0,194078415000.0,19589.0,782.6,9025.0,5200.0,9000.0,9400.0,2715053800.0,2715053800.0,543010800.0,1998300.0,2276600.0,,1800.0,17197500.0,2.0
2025-02-19,9000.0,9025.0,9025.0,9375.0,8825.0,8950.0,-50.0,8444600.0,76700422500.0,7948.0,778.3,8975.0,600.0,8950.0,4300.0,2715053800.0,2715053800.0,543010800.0,838800.0,748500.0,,1500.0,11520000.0,1.0
2025-02-20,8950.0,8975.0,9000.0,9125.0,8650.0,8950.0,0.0,4792400.0,42723920000.0,5119.0,778.3,8950.0,88200.0,8925.0,1900.0,2715053800.0,2715053800.0,543010800.0,757100.0,357500.0,,0.0,0.0,0.0
2025-02-21,8950.0,8950.0,8975.0,9000.0,8325.0,8600.0,-350.0,8359300.0,72202722500.0,7797.0,747.8,8625.0,600.0,8600.0,81700.0,2715053800.0,2715053800.0,543010800.0,1174900.0,1207200.0,,0.0,0.0,0.0
2025-02-24,8600.0,8600.0,8625.0,8725.0,7725.0,8000.0,-600.0,12123800.0,98097992500.0,9556.0,695.7,8025.0,800.0,8000.0,325100.0,2715053800.0,2715053800.0,543010800.0,1498000.0,1276600.0,,0.0,0.0,0.0
2025-02-25,8000.0,8050.0,8075.0,8175.0,7150.0,7400.0,-600.0,10504900.0,79358782500.0,7603.0,643.5,7400.0,80700.0,7375.0,2900.0,2715053800.0,2715053800.0,543010800.0,2124700.0,1982000.0,,55000.0,500500000.0,2.0
2025-02-26,7400.0,7400.0,7400.0,7725.0,7125.0,7200.0,-200.0,4911700.0,36352937500.0,3812.0,626.1,7225.0,3000.0,7200.0,146300.0,2715053800.0,2715053800.0,543010800.0,1297900.0,925900.0,,0.0,0.0,0.0
2025-02-27,7200.0,7275.0,7300.0,7400.0,6900.0,7300.0,100.0,5022900.0,35959952500.0,3641.0,634.8,7325.0,37200.0,7300.0,209700.0,2715053800.0,2715053800.0,543010800.0,1126900.0,702800.0,,8900.0,79210000.0,1.0
2025-02-28,7300.0,7250.0,7200.0,7375.0,6625.0,6775.0,-525.0,4388900.0,30760820000.0,3105.0,589.1,6800.0,13800.0,6775.0,472500.0,2715053800.0,2715053800.0,543010800.0,1047500.0,773700.0,,28500.0,237975000.0,1.0
2025-03-03,6775.0,6950.0,6950.0,7475.0,6800.0,7200.0,425.0,7851000.0,56918375000.0,5622.0,626.1,7250.0,36700.0,7200.0,163400.0,2715053800.0,2715053800.0,543010800.0,1095400.0,1760300.0,,200.0,500000.0,1.0
2025-03-04,7200.0,7200.0,7175.0,7200.0,5775.0,5850.0,-1350.0,34799400.0,213179817500.0,20066.0,508.7,5850.0,207600.0,5825.0,28600.0,2715053800.0,2715053800.0,543010800.0,4005100.0,1349900.0,,0.0,0.0,0.0
2025-03-05,5850.0,5875.0,5900.0,6150.0,5850.0,5975.0,125.0,19930000.0,119668822500.0,7205.0,519.6,6000.0,37300.0,5975.0,190400.0,2715053800.0,2715053800.0,543010800.0,1405700.0,10306100.0,,126521500.0,148662762500.0,1.0
2025-03-06,5975.0,6200.0,6225.0,6725.0,6125.0,6325.0,350.0,11952000.0,76694670000.0,8482.0,550.0,6325.0,114600.0,6300.0,37200.0,2715053800.0,2715053800.0,543010800.0,900100.0,1759300.0,,0.0,0.0,0.0
2025-03-07,6325.0,6225.0,6200.0,6650.0,6050.0,6300.0,-25.0,6891400.0,44000705000.0,5116.0,547.8,6325.0,27100.0,6300.0,35900.0,2715053800.0,2715053800.0,543010800.0,831800.0,1142500.0,,0.0,0.0,0.0
2025-03-10,6300.0,6300.0,6275.0,6300.0,5800.0,5825.0,-475.0,7543100.0,45161020000.0,5849.0,506.5,5850.0,2000.0,5825.0,161500.0,2715053800.0,2715053800.0,543010800.0,1263400.0,998600.0,,0.0,0.0,0.0
2025-03-11,5825.0,5800.0,5800.0,6050.0,5375.0,5475.0,-350.0,11519700.0,65825642500.0,8470.0,476.1,5500.0,3800.0,5475.0,14100.0,2715053800.0,2715053800.0,543010800.0,1730500.0,835800.0,,0.0,0.0,0.0
2025-03-12,5475.0,5400.0,5375.0,5450.0,4800.0,5175.0,-300.0,35621900.0,181391695000.0,13222.0,450.0,5175.0,37600.0,5150.0,24200.0,2715053800.0,2715053800.0,543010800.0,895300.0,21985900.0,,0.0,0.0,0.0
2025-03-13,5175.0,5250.0,5225.0,5300.0,4850.0,5075.0,-100.0,5733700.0,29146847500.0,4196.0,441.3,5100.0,23500.0,5075.0,3700.0,2715053800.0,2715053800.0,543010800.0,621900.0,1193500.0,,0.0,0.0,0.0
2025-03-14,5075.0,4940.0,4950.0,5075.0,4840.0,4950.0,-125.0,24665500.0,122037482000.0,3715.0,430.4,4950.0,56100.0,4940.0,10100.0,2715053800.0,2715053800.0,543010800.0,1972800.0,21950400.0,,20500.0,122487500.0,1.0
2025-03-17,4950.0,4950.0,4950.0,5350.0,4930.0,5175.0,225.0,18021100.0,90744148000.0,4891.0,450.0,5175.0,31700.0,5150.0,4000.0,2715053800.0,2715053800.0,543010800.0,1803000.0,13624400.0,,144983800.0,170355965000.0,2.0
2025-03-18,5175.0,5175.0,5200.0,5225.0,4150.0,4800.0,-375.0,10987200.0,52221927000.0,6666.0,417.4,4820.0,1600.0,4800.0,7600.0,2715053800.0,2715053800.0,543010800.0,3476800.0,5031100.0,,0.0,0.0,0.0
2025-03-19,4800.0,4860.0,4880.0,5100.0,4630.0,4900.0,100.0,14499200.0,70654979000.0,3887.0,426.1,4950.0,800.0,4900.0,197500.0,2715053800.0,2715053800.0,543010800.0,1795700.0,10276900.0,,0.0,0.0,0.0
2025-03-20,4900.0,5100.0,5050.0,5425.0,4950.0,5375.0,475.0,12564400.0,65495721000.0,4664.0,467.4,5375.0,134700.0,5350.0,1400.0,2715053800.0,2715053800.0,543010800.0,1232600.0,6378700.0,,0.0,0.0,0.0
2025-03-21,5375.0,5450.0,5475.0,5500.0,4820.0,4850.0,-525.0,5801800.0,29410090500.0,4982.0,421.7,4860.0,600.0,4850.0,150700.0,2715053800.0,2715053800.0,543010800.0,2235100.0,593700.0,,0.0,0.0,0.0
2025-03-24,4850.0,4840.0,4830.0,4840.0,4090.0,4110.0,-740.0,7205500.0,31190903000.0,5222.0,357.4,4150.0,10200.0,4110.0,91500.0,2715053800.0,2715053800.0,543010800.0,1905700.0,1528300.0,,0.0,0.0,0.0
2025-03-25,4110.0,4170.0,4170.0,4250.0,3950.0,4180.0,70.0,8739300.0,35726859000.0,3215.0,363.5,4180.0,155500.0,4170.0,500.0,2715053800.0,2715053800.0,543010800.0,861900.0,5413900.0,,0.0,0.0,0.0
2025-03-26,4180.0,4210.0,4220.0,4600.0,4180.0,4340.0,160.0,5353800.0,23603247000.0,3358.0,377.4,4360.0,500.0,4340.0,62700.0,2715053800.0,2715053800.0,543010800.0,755700.0,847400.0,,300.0,1254000.0,1.0
2025-03-27,4340.0,4340.0,4350.0,4820.0,4200.0,4810.0,470.0,4203700.0,19141587000.0,3095.0,418.3,4820.0,2400.0,4810.0,347800.0,2715053800.0,2715053800.0,543010800.0,1184200.0,1217300.0,,0.0,0.0,0.0
2025-04-08,4810.0,4090.0,4090.0,4270.0,4090.0,4090.0,-720.0,2866000.0,11743374000.0,2165.0,355.7,4090.0,706000.0,0.0,0.0,2715053800.0,2715053800.0,543010760.0,647500.0,210400.0,,0.0,0.0,0.0
2025-04-09,4090.0,4010.0,4000.0,4010.0,3480.0,3480.0,-610.0,7431800.0,26885688000.0,5198.0,302.6,3490.0,1000.0,3480.0,3051600.0,2715053800.0,2715053800.0,543010760.0,2673600.0,1208400.0,,0.0,0.0,0.0
2025-04-10,3480.0,3980.0,3990.0,4280.0,3740.0,4070.0,590.0,6106400.0,24698170000.0,4074.0,353.9,4080.0,1200.0,4070.0,32100.0,2715053800.0,2715053800.0,543010760.0,614600.0,2565500.0,,0.0,0.0,0.0
2025-04-11,4070.0,4080.0,4080.0,4350.0,3970.0,4130.0,60.0,2889200.0,12129593000.0,2613.0,359.1,4140.0,7700.0,4130.0,50400.0,2715053800.0,2715053800.0,543010760.0,726100.0,683500.0,,0.0,0.0,0.0
2025-04-14,4130.0,4130.0,4130.0,5000.0,4130.0,4860.0,730.0,7275800.0,34343638000.0,6404.0,422.6,4870.0,78800.0,4860.0,125700.0,2715053800.0,2715053800.0,543010760.0,1815600.0,1466400.0,,0.0,0.0,0.0
2025-04-15,4860.0,4870.0,4890.0,5350.0,4800.0,5000.0,140.0,8027900.0,40767863000.0,5718.0,434.8,5025.0,14200.0,5000.0,4200.0,2715053800.0,2715053800.0,543010760.0,2367300.0,1066300.0,,0.0,0.0,0.0
2025-04-16,5000.0,5075.0,5100.0,5350.0,4860.0,5000.0,0.0,7198500.0,36881062000.0,4644.0,434.8,5000.0,74800.0,4990.0,9200.0,2715053800.0,2715053800.0,543010760.0,1839100.0,1299500.0,,0.0,0.0,0.0
2025-04-17,5000.0,5100.0,5100.0,5175.0,4890.0,4900.0,-100.0,1941700.0,9666327000.0,1860.0,426.1,4910.0,100.0,4900.0,20300.0,2715053800.0,2715053800.0,543010760.0,591400.0,174400.0,,0.0,0.0,0.0
2025-04-21,4900.0,4900.0,4910.0,5025.0,4770.0,4800.0,-100.0,1616900.0,7897183000.0,2032.0,417.4,4810.0,500.0,4800.0,76800.0,2715053800.0,2715053800.0,543010760.0,603500.0,166400.0,,0.0,0.0,0.0
2025-04-22,4800.0,4800.0,4830.0,5150.0,4720.0,5075.0,275.0,5826300.0,29030429500.0,3644.0,441.3,5100.0,92700.0,5075.0,31300.0,2715053800.0,2715053800.0,543010760.0,919600.0,1233300.0,,95900.0,508270000.0,1.0
2025-04-23,5075.0,5200.0,5225.0,5425.0,5050.0,5175.0,100.0,4797500.0,25044725000.0,3375.0,450.0,5200.0,4100.0,5175.0,180100.0,2715053800.0,2715053800.0,543010760.0,1346000.0,496600.0,,0.0,0.0,0.0
2025-04-24,5175.0,5300.0,5300.0,5400.0,5025.0,5075.0,-100.0,4972900.0,25956092500.0,3133.0,441.3,5100.0,11600.0,5075.0,37200.0,2715053800.0,2715053800.0,543010760.0,1044600.0,196100.0,,0.0,0.0,0.0
2025-04-25,5075.0,5175.0,5175.0,5450.0,5025.0,5400.0,325.0,7508300.0,39797360000.0,4349.0,469.6,5425.0,50800.0,5400.0,468600.0,2715053800.0,2715053800.0,543010760.0,1115000.0,759500.0,,0.0,0.0,0.0
2025-04-28,5400.0,5450.0,5475.0,5900.0,5225.0,5650.0,250.0,14561200.0,81404777500.0,7514.0,491.3,5675.0,16000.0,5650.0,201900.0,2715053800.0,2715053800.0,543010760.0,3122900.0,747000.0,,0.0,0.0,0.0
2025-04-29,5650.0,5675.0,5675.0,5700.0,5325.0,5375.0,-275.0,7246300.0,39712040000.0,4906.0,467.4,5400.0,4400.0,5375.0,99300.0,2715053800.0,2715053800.0,543010760.0,1827400.0,265500.0,,0.0,0.0,0.0
2025-04-30,5375.0,5525.0,5525.0,5825.0,5400.0,5475.0,100.0,12198700.0,68320980000.0,6726.0,476.1,5500.0,75000.0,5475.0,145000.0,2715053800.0,2715053800.0,543010760.0,1719400.0,1174400.0,,0.0,0.0,0.0
2025-05-02,5475.0,5650.0,5675.0,5750.0,5400.0,5475.0,0.0,8013700.0,44638472500.0,4098.0,476.1,5475.0,16000.0,5450.0,33400.0,2715053800.0,2715053800.0,543010760.0,1052300.0,52900.0,,5000.0,27500000.0,1.0
2025-05-05,5475.0,5500.0,5500.0,5625.0,5450.0,5450.0,-25.0,5623800.0,30936902500.0,2889.0,473.9,5450.0,8900.0,5425.0,214800.0,2715053800.0,2715053800.0,543010760.0,188100.0,868600.0,,0.0,0.0,0.0
2025-05-06,5450.0,5450.0,5500.0,5600.0,5375.0,5575.0,125.0,8213800.0,45363750000.0,3374.0,484.8,5600.0,377900.0,5575.0,10000.0,2715053800.0,2715053800.0,543010760.0,749100.0,3087100.0,,0.0,0.0,0.0
2025-05-07,5575.0,5650.0,5650.0,5800.0,5550.0,5575.0,0.0,14753600.0,83590817500.0,6105.0,484.8,5600.0,8200.0,5575.0,84700.0,2715053800.0,2715053800.0,543010760.0,1127900.0,2841500.0,,0.0,0.0,0.0
2025-05-08,5575.0,5600.0,5600.0,5675.0,5400.0,5575.0,0.0,9803800.0,54699075000.0,3165.0,484.8,5600.0,13200.0,5575.0,25900.0,2715053800.0,2715053800.0,543010760.0,1221400.0,5894100.0,,0.0,0.0,0.0
2025-05-09,5575.0,5575.0,5600.0,5800.0,5450.0,5500.0,-75.0,8979000.0,50329017500.0,4172.0,478.3,5525.0,1500.0,5500.0,67200.0,2715053800.0,2715053800.0,543010760.0,920200.0,2248300.0,,200.0,1005000.0,1.0
