date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2020-09-10,1340.0,0.0,0.0,1675.0,1675.0,1675.0,335.0,42900.0,71857500.0,28.0,125.0,0.0,0.0,1675.0,1354300.0,1435185100.0,1062037000.0,1435185100.0,0.0,0.0,,0.0,0.0,0.0
2020-09-11,1675.0,0.0,0.0,2090.0,1930.0,2090.0,415.0,133800.0,277401000.0,90.0,156.0,0.0,0.0,2090.0,613900.0,1435185100.0,1062037000.0,1435185100.0,11800.0,38600.0,,0.0,0.0,0.0
2020-09-14,2090.0,0.0,0.0,2610.0,1945.0,1945.0,-145.0,889700.0,1955149500.0,649.0,145.1,1945.0,166400.0,0.0,0.0,1435185100.0,1062037000.0,1435185100.0,4500.0,100.0,,0.0,0.0,0.0
2020-09-15,1945.0,0.0,0.0,1895.0,1810.0,1810.0,-135.0,42800.0,77565000.0,31.0,135.1,1810.0,240100.0,0.0,0.0,1435185100.0,1062037000.0,1435185100.0,0.0,0.0,,0.0,0.0,0.0
2020-09-16,1810.0,0.0,0.0,1685.0,1685.0,1685.0,-125.0,76800.0,129408000.0,28.0,125.7,1685.0,224500.0,0.0,0.0,1435185100.0,1062037000.0,1435185100.0,0.0,0.0,,0.0,0.0,0.0
2020-09-17,1685.0,0.0,0.0,1570.0,1570.0,1570.0,-115.0,1600.0,2512000.0,8.0,117.2,1570.0,396100.0,0.0,0.0,1435185100.0,1062037000.0,1435185100.0,0.0,0.0,,0.0,0.0,0.0
2020-09-18,1570.0,0.0,0.0,1465.0,1465.0,1465.0,-105.0,6200.0,9083000.0,19.0,109.3,1465.0,230500.0,0.0,0.0,1435185100.0,1062037000.0,1435185100.0,0.0,0.0,,0.0,0.0,0.0
2020-09-21,1465.0,0.0,0.0,1460.0,1365.0,1395.0,-70.0,9800.0,13749000.0,21.0,104.1,1365.0,225000.0,0.0,0.0,1435185100.0,1062037000.0,1435185100.0,0.0,0.0,,0.0,0.0,0.0
2020-09-22,1395.0,0.0,0.0,1300.0,1300.0,1300.0,-95.0,3200.0,4160000.0,9.0,97.0,1300.0,194000.0,0.0,0.0,1435185100.0,1062037000.0,1435185100.0,0.0,0.0,,0.0,0.0,0.0
2020-09-23,1300.0,0.0,0.0,1625.0,1210.0,1625.0,325.0,882900.0,1334881000.0,850.0,121.3,0.0,0.0,1625.0,262700.0,1435185100.0,1062037000.0,1435185100.0,4200.0,0.0,,0.0,0.0,0.0
2020-09-24,1625.0,0.0,0.0,2000.0,1515.0,1515.0,-110.0,1184800.0,2034928500.0,1374.0,113.1,1515.0,167300.0,0.0,0.0,1435185100.0,1062037000.0,1435185100.0,0.0,0.0,,0.0,0.0,0.0
2020-09-25,1515.0,0.0,0.0,1450.0,1410.0,1410.0,-105.0,29800.0,42045000.0,23.0,105.2,1410.0,197100.0,0.0,0.0,1435185100.0,1062037000.0,1435185100.0,0.0,0.0,,0.0,0.0,0.0
2020-09-28,1410.0,0.0,0.0,1580.0,1315.0,1330.0,-80.0,420900.0,562055000.0,372.0,99.3,1315.0,600.0,0.0,0.0,1435185100.0,1062037000.0,1435185100.0,22300.0,0.0,,0.0,0.0,0.0
2020-09-29,1330.0,0.0,0.0,1330.0,1240.0,1240.0,-90.0,121500.0,151828500.0,146.0,92.5,1240.0,35400.0,0.0,0.0,1435185100.0,1062037000.0,1435185100.0,0.0,0.0,,0.0,0.0,0.0
2020-09-30,1240.0,0.0,0.0,1390.0,1155.0,1160.0,-80.0,226000.0,268788000.0,306.0,86.6,1190.0,400.0,1160.0,26400.0,1435185100.0,1062037000.0,1435185100.0,400.0,0.0,,0.0,0.0,0.0
2020-10-01,1160.0,0.0,0.0,1280.0,1145.0,1190.0,30.0,34300.0,40585500.0,56.0,88.8,1195.0,10000.0,1170.0,800.0,1435185100.0,1062037000.0,1435185100.0,0.0,0.0,,0.0,0.0,0.0
2020-10-02,1190.0,0.0,0.0,1400.0,1110.0,1350.0,160.0,449900.0,586397000.0,444.0,100.7,1360.0,4500.0,1350.0,106500.0,1435185100.0,1062037000.0,1435185100.0,12500.0,21500.0,,0.0,0.0,0.0
2020-10-05,1350.0,0.0,0.0,1395.0,1270.0,1345.0,-5.0,1162100.0,1569300500.0,548.0,100.4,1380.0,6000.0,1345.0,12800.0,1435185100.0,1062037000.0,1435185100.0,24500.0,15500.0,,100.0,134000.0,1.0
2020-10-06,1345.0,0.0,0.0,1550.0,1345.0,1345.0,0.0,1260000.0,1781682000.0,1117.0,100.4,1345.0,29300.0,1340.0,5100.0,1435185100.0,1062037000.0,1435185100.0,2000.0,2500.0,,0.0,0.0,0.0
2020-10-07,1345.0,0.0,0.0,1345.0,1255.0,1255.0,-90.0,136300.0,173082000.0,115.0,93.7,1255.0,12000.0,0.0,0.0,1435185100.0,1062037000.0,1435185100.0,500.0,0.0,,0.0,0.0,0.0
2020-10-08,1255.0,0.0,0.0,1275.0,1170.0,1170.0,-85.0,222600.0,271744000.0,282.0,87.3,1200.0,8000.0,1170.0,2000.0,1435185100.0,1062037000.0,1435185100.0,0.0,0.0,,0.0,0.0,0.0
2020-10-09,1170.0,0.0,0.0,1260.0,1155.0,1240.0,70.0,160000.0,189296000.0,81.0,92.5,1240.0,7500.0,1160.0,10200.0,1435185100.0,1062037000.0,1435185100.0,0.0,0.0,,0.0,0.0,0.0
2020-10-12,1240.0,0.0,0.0,1240.0,1155.0,1155.0,-85.0,142500.0,165948000.0,93.0,86.2,1155.0,1900.0,0.0,0.0,1435185100.0,1062037000.0,1435185100.0,0.0,0.0,,0.0,0.0,0.0
2020-10-13,1155.0,0.0,0.0,1220.0,1150.0,1150.0,-5.0,331800.0,390776000.0,63.0,85.8,1150.0,300.0,1145.0,800.0,1435185100.0,1062037000.0,1435185100.0,0.0,0.0,,0.0,0.0,0.0
2020-10-14,1150.0,0.0,0.0,1150.0,1105.0,1130.0,-20.0,141200.0,159426000.0,53.0,84.3,1140.0,2600.0,1130.0,1200.0,1435185100.0,1062037000.0,1435185100.0,0.0,0.0,,0.0,0.0,0.0
2020-10-15,1130.0,0.0,0.0,1145.0,1065.0,1130.0,0.0,91500.0,102349000.0,58.0,84.3,1130.0,6700.0,1100.0,2100.0,1435185100.0,1062037000.0,1435185100.0,0.0,0.0,,0.0,0.0,0.0
