date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2020-09-08,1820.0,0.0,0.0,2270.0,2270.0,2270.0,450.0,4900.0,11123000.0,32.0,124.7,0.0,0.0,2270.0,5560400.0,1269168239.0,1217466939.0,1269168239.0,0.0,0.0,,200.0,365000.0,2.0
2020-09-09,2270.0,0.0,0.0,2830.0,2830.0,2830.0,560.0,11700.0,33111000.0,39.0,155.5,0.0,0.0,2830.0,2880600.0,1269168239.0,1217466939.0,1269168239.0,0.0,0.0,,0.0,0.0,0.0
2020-09-10,2830.0,0.0,0.0,3530.0,3000.0,3530.0,700.0,420100.0,1465530000.0,188.0,194.0,0.0,0.0,3530.0,1920400.0,1269168239.0,1217466939.0,1269168239.0,0.0,900.0,,0.0,0.0,0.0
2020-09-11,3530.0,0.0,0.0,4410.0,3290.0,4410.0,880.0,1558200.0,6438841000.0,1996.0,242.3,0.0,0.0,4410.0,296500.0,1269168239.0,1217466939.0,1269168239.0,3900.0,3600.0,,0.0,0.0,0.0
2020-09-14,4410.0,0.0,0.0,5500.0,4420.0,5500.0,1090.0,666300.0,3574793000.0,596.0,302.2,0.0,0.0,5500.0,339900.0,1269168239.0,1217466939.0,1269168239.0,0.0,17900.0,,0.0,0.0,0.0
2020-09-15,5500.0,0.0,0.0,6600.0,5600.0,6600.0,1100.0,425500.0,2789665000.0,375.0,362.6,0.0,0.0,6600.0,175700.0,1269168239.0,1217466939.0,1269168239.0,16300.0,67600.0,,0.0,0.0,0.0
2020-09-16,6600.0,0.0,0.0,7900.0,6700.0,7900.0,1300.0,148200.0,1167072500.0,216.0,434.1,0.0,0.0,7900.0,376000.0,1269168239.0,1217466939.0,1269168239.0,0.0,2000.0,,0.0,0.0,0.0
2020-09-17,7900.0,0.0,0.0,9475.0,8000.0,9475.0,1575.0,252900.0,2374712500.0,307.0,520.6,0.0,0.0,9475.0,214800.0,1269168239.0,1217466939.0,1269168239.0,0.0,1800.0,,0.0,0.0,0.0
2020-09-18,9475.0,0.0,0.0,11350.0,9850.0,11350.0,1875.0,127000.0,1437235000.0,214.0,623.6,0.0,0.0,11350.0,246800.0,1269168239.0,1217466939.0,1269168239.0,0.0,22300.0,,0.0,0.0,0.0
2020-09-21,11350.0,0.0,0.0,13600.0,12225.0,13600.0,2250.0,51100.0,693880000.0,109.0,747.3,0.0,0.0,13600.0,363500.0,1269168239.0,1217466939.0,1269168239.0,0.0,1000.0,,0.0,0.0,0.0
2020-09-22,13600.0,0.0,0.0,0.0,0.0,13600.0,0.0,0.0,0.0,0.0,747.3,0.0,0.0,0.0,0.0,1269168239.0,1217466939.0,1269168239.0,0.0,0.0,,0.0,0.0,0.0
2020-09-23,13600.0,0.0,0.0,16300.0,12650.0,12650.0,-950.0,319300.0,5018872500.0,570.0,695.1,12650.0,339700.0,0.0,0.0,1269168239.0,1217466939.0,1269168239.0,5300.0,1000.0,,0.0,0.0,0.0
2020-09-24,12650.0,0.0,0.0,12500.0,11775.0,11775.0,-875.0,7900.0,95922500.0,19.0,647.0,11775.0,426600.0,0.0,0.0,1269168239.0,1217466939.0,1269168239.0,0.0,0.0,,0.0,0.0,0.0
2020-09-25,11775.0,0.0,0.0,10975.0,10975.0,10975.0,-800.0,9000.0,98775000.0,37.0,603.0,10975.0,424100.0,0.0,0.0,1269168239.0,1217466939.0,1269168239.0,0.0,0.0,,0.0,0.0,0.0
2020-09-28,10975.0,0.0,0.0,10225.0,10225.0,10225.0,-750.0,4000.0,40900000.0,21.0,561.8,10225.0,383300.0,0.0,0.0,1269168239.0,1217466939.0,1269168239.0,0.0,0.0,,0.0,0.0,0.0
2020-09-29,10225.0,0.0,0.0,9525.0,9525.0,9525.0,-700.0,2100.0,20002500.0,15.0,523.4,9525.0,391700.0,0.0,0.0,1269168239.0,1217466939.0,1269168239.0,0.0,0.0,,0.0,0.0,0.0
2020-09-30,9525.0,0.0,0.0,9525.0,8875.0,8875.0,-650.0,3800.0,34752500.0,19.0,487.6,8875.0,369100.0,0.0,0.0,1269168239.0,1217466939.0,1269168239.0,0.0,0.0,,0.0,0.0,0.0
2020-10-01,8875.0,0.0,0.0,8275.0,8275.0,8275.0,-600.0,54200.0,448505000.0,60.0,454.7,8275.0,311300.0,0.0,0.0,1269168239.0,1217466939.0,1269168239.0,0.0,0.0,,0.0,0.0,0.0
2020-10-02,8275.0,0.0,0.0,8000.0,7700.0,7700.0,-575.0,9100.0,70130000.0,25.0,423.1,7700.0,253500.0,0.0,0.0,1269168239.0,1217466939.0,1269168239.0,0.0,0.0,,0.0,0.0,0.0
2020-10-05,7700.0,0.0,0.0,8150.0,7175.0,7175.0,-525.0,850000.0,6313130000.0,1327.0,394.2,7175.0,79800.0,0.0,0.0,1269168239.0,1217466939.0,1269168239.0,3900.0,17000.0,,0.0,0.0,0.0
2020-10-06,7175.0,0.0,0.0,6825.0,6675.0,6675.0,-500.0,146100.0,980802500.0,178.0,366.8,6675.0,151400.0,0.0,0.0,1269168239.0,1217466939.0,1269168239.0,500.0,500.0,,0.0,0.0,0.0
2020-10-07,6675.0,0.0,0.0,6225.0,6225.0,6225.0,-450.0,13100.0,81547500.0,52.0,342.0,6225.0,129200.0,0.0,0.0,1269168239.0,1217466939.0,1269168239.0,0.0,0.0,,0.0,0.0,0.0
2020-10-08,6225.0,0.0,0.0,7250.0,5800.0,5950.0,-275.0,1502900.0,9594627500.0,2426.0,326.9,5975.0,1200.0,5950.0,14500.0,1269168239.0,1217466939.0,1269168239.0,4100.0,2200.0,,0.0,0.0,0.0
2020-10-09,5950.0,0.0,0.0,6350.0,5800.0,6000.0,50.0,232000.0,1395005000.0,504.0,329.7,6025.0,200.0,6000.0,3600.0,1269168239.0,1217466939.0,1269168239.0,100.0,24700.0,,0.0,0.0,0.0
