date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2022-03-10,600.0,0.0,0.0,750.0,600.0,750.0,150.0,118709200.0,83869557500.0,21574.0,125.0,0.0,0.0,750.0,18387100.0,10903372600.0,896300600.0,4899129400.0,373100.0,237000.0,,6109200.0,3665520000.0,3.0
2022-03-11,750.0,0.0,0.0,935.0,750.0,935.0,185.0,163744200.0,142248383500.0,28960.0,155.8,935.0,1984400.0,930.0,177400.0,10903372600.0,896300600.0,4899129400.0,3416100.0,1480000.0,,680400.0,508900000.0,3.0
2022-03-14,935.0,0.0,0.0,1085.0,870.0,870.0,-65.0,11744100.0,10544926000.0,11414.0,145.0,870.0,19163500.0,0.0,0.0,10903372600.0,896300600.0,4899129400.0,0.0,293600.0,,30000.0,28050000.0,1.0
2022-03-15,870.0,0.0,0.0,810.0,810.0,810.0,-60.0,8414600.0,6815826000.0,3947.0,135.0,810.0,28459800.0,0.0,0.0,10903372600.0,896300600.0,4899129400.0,0.0,0.0,,0.0,0.0,0.0
2022-03-16,810.0,0.0,0.0,840.0,760.0,815.0,5.0,162744800.0,130192221000.0,16221.0,135.8,815.0,686000.0,810.0,2871100.0,10903372600.0,896300600.0,4899129400.0,133100.0,92500.0,,0.0,0.0,0.0
2022-03-17,815.0,0.0,0.0,850.0,795.0,815.0,0.0,58051100.0,47609989500.0,6437.0,135.8,815.0,824400.0,810.0,1761300.0,10903372600.0,896300600.0,4899129400.0,175000.0,112300.0,,0.0,0.0,0.0
2022-03-18,815.0,0.0,0.0,835.0,775.0,780.0,-35.0,39853600.0,31624978500.0,3635.0,130.0,785.0,46000.0,780.0,281400.0,10903372600.0,896300600.0,4899129400.0,24900.0,39000.0,,0.0,0.0,0.0
2022-03-21,780.0,0.0,0.0,795.0,730.0,750.0,-30.0,42346000.0,31686286500.0,5332.0,125.0,750.0,764900.0,745.0,584000.0,10903372600.0,896300600.0,4899129400.0,104800.0,115200.0,,0.0,0.0,0.0
2022-03-22,750.0,0.0,0.0,760.0,725.0,755.0,5.0,38711200.0,28836977500.0,3465.0,125.8,755.0,545400.0,750.0,2935100.0,10903372600.0,896300600.0,4899129400.0,10000.0,0.0,,0.0,0.0,0.0
2022-03-23,755.0,0.0,0.0,770.0,740.0,765.0,10.0,11623800.0,8793277500.0,1606.0,127.5,765.0,515000.0,760.0,1830300.0,10903372600.0,896300600.0,4899129400.0,400.0,253400.0,,0.0,0.0,0.0
2022-03-24,765.0,0.0,0.0,775.0,745.0,750.0,-15.0,15950000.0,12095022000.0,1477.0,125.0,750.0,308500.0,745.0,1720400.0,10903372600.0,896300600.0,4899129400.0,0.0,0.0,,0.0,0.0,0.0
2022-03-25,750.0,0.0,0.0,780.0,735.0,775.0,25.0,17965500.0,13681042000.0,1083.0,129.2,780.0,280400.0,775.0,2471200.0,10903372600.0,896300600.0,4899129400.0,238800.0,269300.0,,0.0,0.0,0.0
2022-03-28,775.0,0.0,0.0,825.0,780.0,795.0,20.0,26734100.0,21560040500.0,4665.0,132.5,800.0,59800.0,795.0,167100.0,10903372600.0,896300600.0,4899129400.0,392500.0,403700.0,,0.0,0.0,0.0
2022-03-29,795.0,0.0,0.0,840.0,785.0,800.0,5.0,8963400.0,7140743000.0,969.0,133.3,800.0,856500.0,795.0,100800.0,10903372600.0,896300600.0,4899129400.0,0.0,86400.0,,0.0,0.0,0.0
2022-03-30,800.0,0.0,0.0,830.0,785.0,795.0,-5.0,14925400.0,11947703000.0,1154.0,132.5,795.0,54400.0,790.0,232600.0,10903372600.0,896300600.0,4899129400.0,48700.0,1477700.0,,0.0,0.0,0.0
2022-03-31,795.0,0.0,0.0,805.0,785.0,795.0,0.0,13681300.0,10885028000.0,688.0,132.5,795.0,544200.0,790.0,277700.0,10903372600.0,896300600.0,4899129400.0,315400.0,97700.0,,0.0,0.0,0.0
2022-04-01,795.0,0.0,0.0,795.0,780.0,795.0,0.0,10077200.0,7959882500.0,826.0,132.5,795.0,745400.0,790.0,596500.0,10903372600.0,896300600.0,903889589.0,157200.0,0.0,,0.0,0.0,0.0
2022-04-04,795.0,0.0,0.0,840.0,785.0,835.0,40.0,25378600.0,20689365500.0,1907.0,139.2,835.0,275100.0,830.0,1128500.0,10903372600.0,896300600.0,903889589.0,1092100.0,163800.0,,0.0,0.0,0.0
2022-04-05,835.0,0.0,0.0,960.0,840.0,930.0,95.0,59237900.0,53715865000.0,6336.0,155.0,930.0,293500.0,925.0,405200.0,10903372600.0,896300600.0,903889589.0,3324400.0,3390400.0,,6450000.0,4998750000.0,1.0
2022-04-06,930.0,0.0,0.0,935.0,890.0,910.0,-20.0,38052700.0,34619200000.0,4023.0,151.7,910.0,494500.0,905.0,842000.0,10903372600.0,896300600.0,903889589.0,3021600.0,4650800.0,,301000.0,260365000.0,1.0
2022-04-07,910.0,0.0,0.0,915.0,880.0,900.0,-10.0,16525000.0,14743876000.0,1872.0,150.0,900.0,171600.0,895.0,500900.0,10903372600.0,896300600.0,903889589.0,874600.0,450600.0,,0.0,0.0,0.0
2022-04-08,900.0,0.0,0.0,910.0,895.0,910.0,10.0,11999300.0,10860664500.0,1713.0,151.7,910.0,38900.0,905.0,642500.0,10903372600.0,896300600.0,903889589.0,1400100.0,615800.0,,0.0,0.0,0.0
2022-04-11,910.0,0.0,0.0,925.0,895.0,905.0,-5.0,15621600.0,14131654500.0,1251.0,150.8,905.0,151400.0,900.0,2900.0,10903372600.0,896300600.0,903889589.0,507800.0,334000.0,,0.0,0.0,0.0
