date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2023-12-07,170.0,0.0,0.0,190.0,160.0,162.0,-8.0,196563200.0,33712312800.0,26539.0,95.3,162.0,2936900.0,161.0,457100.0,6334375000.0,1266875000.0,1266875000.0,2877000.0,2799900.0,,100.0,100.0,1.0
2023-12-08,162.0,0.0,0.0,182.0,160.0,170.0,8.0,84473700.0,14390226300.0,11611.0,100.0,171.0,51200.0,170.0,446600.0,6334375000.0,1266875000.0,1266875000.0,884600.0,0.0,,0.0,0.0,0.0
2023-12-11,170.0,0.0,0.0,175.0,162.0,165.0,-5.0,42388800.0,7136831600.0,6525.0,97.1,166.0,530700.0,165.0,1800.0,6334375000.0,1266875000.0,1266875000.0,44800.0,185000.0,,0.0,0.0,0.0
2023-12-12,165.0,0.0,0.0,172.0,159.0,171.0,6.0,64075500.0,10650960100.0,8825.0,100.6,171.0,515700.0,170.0,301700.0,6334375000.0,1266875000.0,1266875000.0,33700.0,73400.0,,0.0,0.0,0.0
2023-12-13,171.0,0.0,0.0,172.0,159.0,164.0,-7.0,24851200.0,4080434500.0,3773.0,96.5,164.0,410800.0,163.0,162600.0,6334375000.0,1266875000.0,1266875000.0,104400.0,48700.0,,0.0,0.0,0.0
2023-12-14,164.0,0.0,0.0,177.0,160.0,160.0,-4.0,52250500.0,8727495700.0,4606.0,94.1,161.0,10800.0,160.0,374200.0,6334375000.0,1266875000.0,1266875000.0,549000.0,85000.0,,0.0,0.0,0.0
2023-12-15,160.0,0.0,0.0,165.0,159.0,161.0,1.0,20473700.0,3291128800.0,2522.0,94.7,162.0,353400.0,161.0,512300.0,6334375000.0,1266875000.0,1266875000.0,0.0,0.0,,0.0,0.0,0.0
2023-12-18,161.0,0.0,0.0,166.0,156.0,164.0,3.0,66574500.0,10736969000.0,3878.0,96.5,164.0,142900.0,163.0,168300.0,6334375000.0,1266875000.0,1266875000.0,55000.0,65100.0,,0.0,0.0,0.0
2023-12-19,164.0,0.0,0.0,158.0,151.0,151.0,-13.0,29296200.0,4543817200.0,2723.0,88.8,152.0,90300.0,151.0,72900.0,6334375000.0,1266875000.0,1266875000.0,105100.0,73700.0,,0.0,0.0,0.0
2023-12-20,151.0,0.0,0.0,171.0,135.0,170.0,19.0,100486700.0,15880978600.0,9035.0,100.0,171.0,712300.0,170.0,90800.0,6334375000.0,1266875000.0,1266875000.0,321200.0,53200.0,,0.0,0.0,0.0
2023-12-21,170.0,0.0,0.0,171.0,162.0,167.0,-3.0,12392500.0,2058500500.0,2235.0,98.2,167.0,157600.0,166.0,2500.0,6334375000.0,1266875000.0,1266875000.0,39000.0,21400.0,,0.0,0.0,0.0
2023-12-22,167.0,0.0,0.0,176.0,163.0,167.0,0.0,12361500.0,2089278300.0,2966.0,98.2,167.0,1246200.0,166.0,5500.0,6334375000.0,1266875000.0,1266875000.0,36200.0,21100.0,,0.0,0.0,0.0
2023-12-27,167.0,0.0,0.0,168.0,160.0,161.0,-6.0,3156600.0,509951300.0,556.0,94.7,162.0,123600.0,161.0,1600.0,6334375000.0,1266875000.0,1266875000.0,9300.0,9000.0,,0.0,0.0,0.0
2023-12-28,161.0,0.0,0.0,168.0,160.0,161.0,0.0,7290400.0,1214576300.0,976.0,94.7,163.0,15600.0,161.0,770400.0,6334375000.0,1266875000.0,1266875000.0,1700.0,2700.0,,1000.0,109000.0,1.0
2023-12-29,161.0,0.0,0.0,172.0,161.0,164.0,3.0,10904900.0,1821916700.0,762.0,96.5,164.0,108400.0,163.0,293700.0,6334375000.0,1266875000.0,1266875000.0,26400.0,0.0,,0.0,0.0,0.0
2024-01-02,164.0,0.0,0.0,169.0,163.0,165.0,1.0,2600900.0,431108500.0,527.0,97.1,165.0,4000.0,164.0,133500.0,6334375000.0,1266875000.0,1266875000.0,0.0,1500.0,,0.0,0.0,0.0
2024-01-03,165.0,0.0,0.0,168.0,164.0,168.0,3.0,4659700.0,776813700.0,1374.0,98.8,169.0,264500.0,167.0,50000.0,6334375000.0,1266875000.0,1266875000.0,1500.0,125500.0,,0.0,0.0,0.0
2024-01-04,168.0,0.0,0.0,170.0,166.0,169.0,1.0,5209100.0,875781800.0,1036.0,99.4,169.0,1078400.0,168.0,21200.0,6334375000.0,1266875000.0,1266875000.0,4500.0,267400.0,,0.0,0.0,0.0
2024-01-05,169.0,0.0,0.0,169.0,164.0,168.0,-1.0,3777500.0,628485900.0,1344.0,98.8,168.0,1657800.0,165.0,5200.0,6334375000.0,1266875000.0,1266875000.0,88900.0,259600.0,,0.0,0.0,0.0
2024-01-08,168.0,0.0,0.0,172.0,165.0,170.0,2.0,5692500.0,957815300.0,1284.0,100.0,170.0,82200.0,169.0,15200.0,6334375000.0,1266875000.0,1266875000.0,3900.0,559700.0,,0.0,0.0,0.0
2024-01-09,170.0,0.0,0.0,170.0,165.0,166.0,-4.0,4162000.0,693825700.0,1620.0,97.6,167.0,31400.0,166.0,617100.0,6334375000.0,1266875000.0,1266875000.0,6400.0,343600.0,,0.0,0.0,0.0
2024-01-10,166.0,0.0,0.0,170.0,165.0,166.0,0.0,7871800.0,1311440300.0,1302.0,97.6,168.0,700.0,166.0,210300.0,6334375000.0,1266875000.0,1266875000.0,9200.0,1133500.0,,0.0,0.0,0.0
2024-01-11,166.0,0.0,0.0,167.0,164.0,164.0,-2.0,10998900.0,1816707800.0,1320.0,96.5,165.0,100.0,164.0,429600.0,6334375000.0,1266875000.0,1266875000.0,16100.0,655600.0,,0.0,0.0,0.0
