date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2023-10-31,100.0,0.0,0.0,110.0,90.0,110.0,10.0,39068300.0,4284664400.0,4304.0,110.0,0.0,0.0,110.0,631170800.0,1750000000.0,500000000.0,0.0,1155600.0,0.0,,0.0,0.0,0.0
2023-11-01,110.0,0.0,0.0,121.0,99.0,106.0,-4.0,385162900.0,42437994400.0,22859.0,106.0,106.0,4567100.0,99.0,226500.0,1750000000.0,500000000.0,0.0,2051000.0,3158800.0,,0.0,0.0,0.0
2023-11-02,106.0,0.0,0.0,108.0,96.0,96.0,-10.0,58260700.0,5737699500.0,7566.0,96.0,96.0,12673000.0,0.0,0.0,1750000000.0,500000000.0,0.0,1354800.0,10000.0,,0.0,0.0,0.0
2023-11-03,96.0,0.0,0.0,98.0,87.0,96.0,0.0,153304500.0,13849026700.0,13184.0,96.0,96.0,645800.0,95.0,1039800.0,1750000000.0,500000000.0,0.0,702800.0,0.0,,0.0,0.0,0.0
2023-11-06,96.0,0.0,0.0,98.0,91.0,95.0,-1.0,19818200.0,1858433800.0,2614.0,95.0,96.0,225900.0,95.0,216300.0,1750000000.0,500000000.0,0.0,7400.0,0.0,,0.0,0.0,0.0
2023-11-07,95.0,0.0,0.0,100.0,91.0,94.0,-1.0,116348700.0,11133519900.0,9803.0,94.0,94.0,103900.0,93.0,966600.0,1750000000.0,500000000.0,0.0,0.0,10000.0,,0.0,0.0,0.0
2023-11-08,94.0,0.0,0.0,94.0,90.0,94.0,0.0,31356900.0,2897569100.0,2581.0,94.0,94.0,940500.0,93.0,524500.0,1750000000.0,500000000.0,0.0,0.0,36400.0,,0.0,0.0,0.0
2023-11-09,94.0,0.0,0.0,97.0,92.0,94.0,0.0,110056000.0,10456007600.0,4658.0,94.0,94.0,409200.0,93.0,43300.0,1750000000.0,500000000.0,0.0,35400.0,47900.0,,0.0,0.0,0.0
2023-11-10,94.0,0.0,0.0,97.0,88.0,96.0,2.0,46262000.0,4345203300.0,6452.0,96.0,96.0,1652100.0,95.0,590000.0,1750000000.0,500000000.0,0.0,47900.0,66500.0,,0.0,0.0,0.0
2023-11-13,96.0,0.0,0.0,98.0,90.0,98.0,2.0,53968900.0,5131578700.0,4782.0,98.0,98.0,642400.0,97.0,1001000.0,1750000000.0,500000000.0,0.0,49600.0,57600.0,,0.0,0.0,0.0
2023-11-14,98.0,0.0,0.0,101.0,96.0,100.0,2.0,77901600.0,7739123700.0,2976.0,100.0,100.0,453900.0,99.0,612400.0,1750000000.0,500000000.0,0.0,51600.0,30300.0,,0.0,0.0,0.0
2023-11-15,100.0,0.0,0.0,103.0,98.0,102.0,2.0,42849300.0,4331170700.0,7824.0,102.0,102.0,147000.0,101.0,1128100.0,1750000000.0,500000000.0,0.0,997900.0,57100.0,,0.0,0.0,0.0
2023-11-16,102.0,0.0,0.0,109.0,101.0,106.0,4.0,126189100.0,13138773400.0,8326.0,106.0,106.0,1154800.0,105.0,52900.0,1750000000.0,500000000.0,0.0,265200.0,37700.0,,0.0,0.0,0.0
2023-11-17,106.0,0.0,0.0,110.0,103.0,109.0,3.0,49679100.0,5306143000.0,5913.0,109.0,109.0,366100.0,108.0,2326000.0,1750000000.0,500000000.0,0.0,126300.0,34400.0,,0.0,0.0,0.0
2023-11-20,109.0,0.0,0.0,115.0,108.0,113.0,4.0,82127900.0,9238067000.0,7888.0,113.0,113.0,575300.0,112.0,887800.0,1750000000.0,500000000.0,0.0,280300.0,88600.0,,0.0,0.0,0.0
2023-11-21,113.0,0.0,0.0,115.0,105.0,112.0,-1.0,79631700.0,8699864300.0,4011.0,112.0,112.0,357400.0,111.0,1500.0,1750000000.0,500000000.0,0.0,841100.0,3000.0,,0.0,0.0,0.0
2023-11-22,112.0,0.0,0.0,113.0,110.0,112.0,0.0,60147300.0,6688733500.0,3830.0,112.0,112.0,440600.0,111.0,269600.0,1750000000.0,500000000.0,0.0,4000.0,0.0,,0.0,0.0,0.0
2023-11-23,112.0,0.0,0.0,114.0,107.0,112.0,0.0,93937500.0,10550204400.0,5362.0,112.0,112.0,93600.0,111.0,1092000.0,1750000000.0,500000000.0,0.0,213300.0,69000.0,,0.0,0.0,0.0
2023-11-24,112.0,0.0,0.0,114.0,110.0,114.0,2.0,63244200.0,7095154600.0,5844.0,114.0,114.0,123300.0,113.0,307000.0,1750000000.0,500000000.0,0.0,69000.0,36300.0,,0.0,0.0,0.0
2023-11-27,114.0,0.0,0.0,120.0,113.0,117.0,3.0,66751300.0,7785245300.0,9272.0,117.0,117.0,226300.0,116.0,90800.0,1750000000.0,500000000.0,0.0,163700.0,68500.0,,0.0,0.0,0.0
2023-11-28,117.0,0.0,0.0,120.0,114.0,118.0,1.0,65163100.0,7658270400.0,5819.0,118.0,118.0,264900.0,117.0,1500.0,1750000000.0,500000000.0,0.0,68500.0,35800.0,,0.0,0.0,0.0
2023-11-29,118.0,0.0,0.0,123.0,117.0,120.0,2.0,35204700.0,4207334400.0,8175.0,120.0,120.0,282300.0,119.0,250000.0,1750000000.0,500000000.0,0.0,35800.0,65100.0,,0.0,0.0,0.0
2023-11-30,120.0,0.0,0.0,122.0,108.0,114.0,-6.0,77346800.0,8827126100.0,8591.0,114.0,114.0,852800.0,113.0,238100.0,1750000000.0,500000000.0,0.0,45100.0,28300.0,,0.0,0.0,0.0
2023-12-01,114.0,0.0,0.0,116.0,110.0,114.0,0.0,52272400.0,5944762300.0,8826.0,114.0,114.0,276000.0,113.0,1000000.0,1750000000.0,500000000.0,0.0,8300.0,17300.0,,0.0,0.0,0.0
2023-12-04,114.0,0.0,0.0,114.0,108.0,111.0,-3.0,96214300.0,10720963300.0,10843.0,111.0,111.0,204200.0,110.0,736300.0,1750000000.0,500000000.0,0.0,17300.0,0.0,,0.0,0.0,0.0
2023-12-05,111.0,0.0,0.0,114.0,105.0,105.0,-6.0,44195000.0,4880282500.0,9787.0,105.0,105.0,304300.0,104.0,1555700.0,1750000000.0,500000000.0,0.0,0.0,105800.0,,0.0,0.0,0.0
2023-12-06,105.0,0.0,0.0,109.0,101.0,107.0,2.0,45626000.0,4842489300.0,7994.0,107.0,107.0,116100.0,106.0,300000.0,1750000000.0,500000000.0,0.0,26900.0,15500.0,,0.0,0.0,0.0
2023-12-07,107.0,0.0,0.0,107.0,100.0,100.0,-7.0,85742900.0,9053400800.0,6411.0,100.0,102.0,500.0,100.0,514300.0,1750000000.0,500000000.0,0.0,8100.0,592200.0,,0.0,0.0,0.0
2023-12-08,100.0,0.0,0.0,103.0,98.0,100.0,0.0,116664400.0,11728717900.0,7526.0,100.0,100.0,312400.0,99.0,250200.0,1750000000.0,500000000.0,0.0,73500.0,0.0,,0.0,0.0,0.0
