date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2025-01-08,100.0,120.0,119.0,135.0,112.0,135.0,35.0,530888200.0,68879266400.0,49972.0,135.0,0.0,0.0,135.0,29698800.0,3424687500.0,1041867500.0,412087500.0,1357100.0,4880800.0,,0.0,0.0,0.0
2025-01-09,135.0,148.0,148.0,149.0,100.0,105.0,-30.0,282914800.0,33539168800.0,28869.0,105.0,105.0,1957000.0,104.0,757600.0,3424687500.0,1041867500.0,412087500.0,698800.0,1255000.0,,0.0,0.0,0.0
2025-01-10,105.0,104.0,104.0,108.0,87.0,105.0,0.0,145910700.0,14092743100.0,12717.0,105.0,105.0,175500.0,104.0,696200.0,3424687500.0,1041867500.0,412087500.0,2945000.0,1471800.0,,0.0,0.0,0.0
2025-01-13,105.0,110.0,110.0,114.0,100.0,104.0,-1.0,83581900.0,8976668400.0,8527.0,104.0,104.0,1877200.0,103.0,166500.0,3424687500.0,1041867500.0,412087500.0,690600.0,453900.0,,0.0,0.0,0.0
2025-01-14,104.0,105.0,105.0,114.0,102.0,109.0,5.0,65215800.0,7114837000.0,4490.0,109.0,110.0,188200.0,109.0,269000.0,3424687500.0,1041867500.0,412087500.0,493800.0,617100.0,,0.0,0.0,0.0
2025-01-15,109.0,105.0,105.0,108.0,102.0,102.0,-7.0,15778500.0,1653614300.0,2019.0,102.0,103.0,114000.0,102.0,536900.0,3424687500.0,1041867500.0,412087500.0,361200.0,5200.0,,0.0,0.0,0.0
2025-01-16,102.0,102.0,102.0,102.0,92.0,95.0,-7.0,23608400.0,2257441000.0,2578.0,95.0,95.0,153100.0,94.0,262200.0,3424687500.0,1041867500.0,412087500.0,185900.0,332500.0,,0.0,0.0,0.0
2025-01-17,95.0,90.0,91.0,102.0,90.0,97.0,2.0,16638500.0,1618026600.0,2047.0,97.0,97.0,168100.0,96.0,272100.0,3424687500.0,1041867500.0,412087500.0,420100.0,408300.0,,0.0,0.0,0.0
2025-01-20,97.0,98.0,98.0,102.0,94.0,97.0,0.0,9749000.0,949814600.0,1641.0,97.0,97.0,29900.0,96.0,229000.0,3424687500.0,1041867500.0,412087500.0,278300.0,159200.0,,0.0,0.0,0.0
2025-01-21,97.0,97.0,97.0,97.0,93.0,93.0,-4.0,5034600.0,477701800.0,791.0,93.0,93.0,132600.0,92.0,266100.0,3424687500.0,1041867500.0,412087500.0,152600.0,20400.0,,0.0,0.0,0.0
