date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2022-11-10,100.0,0.0,0.0,135.0,135.0,135.0,35.0,45586300.0,6154150500.0,4866.0,135.0,0.0,0.0,135.0,502016200.0,8496000000.0,1700000000.0,1700000000.0,13300.0,0.0,,408400.0,42990400.0,7.0
2022-11-11,135.0,0.0,0.0,182.0,134.0,182.0,47.0,264005200.0,41544802400.0,13204.0,182.0,0.0,0.0,182.0,267639500.0,8496000000.0,1700000000.0,1700000000.0,334300.0,4604100.0,,250000.0,25000000.0,1.0
2022-11-14,182.0,0.0,0.0,244.0,196.0,244.0,62.0,562713100.0,130192302800.0,48291.0,244.0,0.0,0.0,244.0,42522100.0,8496000000.0,1700000000.0,1700000000.0,3093100.0,2730000.0,,0.0,0.0,0.0
2022-11-15,244.0,0.0,0.0,304.0,244.0,302.0,58.0,469691300.0,133613031200.0,41271.0,302.0,302.0,6303200.0,300.0,1386100.0,8496000000.0,1700000000.0,1700000000.0,2767300.0,4038500.0,,0.0,0.0,0.0
2022-11-16,302.0,0.0,0.0,358.0,282.0,282.0,-20.0,445365600.0,146494133400.0,46125.0,282.0,282.0,32783400.0,0.0,0.0,8496000000.0,1700000000.0,1700000000.0,4644600.0,5477400.0,,0.0,0.0,0.0
2022-11-17,282.0,0.0,0.0,326.0,264.0,264.0,-18.0,408851900.0,116920659800.0,32581.0,264.0,264.0,12972100.0,0.0,0.0,8496000000.0,1700000000.0,1700000000.0,4967600.0,2797300.0,,0.0,0.0,0.0
2022-11-18,264.0,0.0,0.0,304.0,246.0,246.0,-18.0,78172000.0,19774996200.0,8694.0,246.0,246.0,16354500.0,0.0,0.0,8496000000.0,1700000000.0,1700000000.0,1109100.0,251000.0,,0.0,0.0,0.0
2022-11-21,246.0,0.0,0.0,256.0,230.0,238.0,-8.0,184727400.0,44496053200.0,15816.0,238.0,240.0,46100.0,238.0,366400.0,8496000000.0,1700000000.0,1700000000.0,285500.0,934400.0,,2368500.0,710550000.0,2.0
2022-11-22,238.0,0.0,0.0,260.0,232.0,246.0,8.0,133668700.0,33064331600.0,13855.0,246.0,248.0,1930800.0,246.0,1710300.0,8496000000.0,1700000000.0,1700000000.0,2689900.0,2636700.0,,208836900.0,48651070000.0,9.0
2022-11-23,246.0,0.0,0.0,254.0,234.0,234.0,-12.0,37233200.0,8934662600.0,4209.0,234.0,234.0,875300.0,232.0,2313800.0,8496000000.0,1700000000.0,1700000000.0,2065000.0,2119300.0,,25000.0,6400000.0,1.0
2022-11-24,234.0,0.0,0.0,236.0,218.0,220.0,-14.0,41934000.0,9356428000.0,4005.0,220.0,220.0,399900.0,218.0,9569700.0,8496000000.0,1700000000.0,1700000000.0,2023100.0,2339700.0,,150000.0,37500000.0,1.0
